obs,Egamma,CosThetaK0,value,std,syst_unc,lower_unc,upper_unc
Sigma,1.23,-0.81,0.502,0.185,0.042,0.16,0.223
Sigma,1.23,-0.53,0.299,0.199,0.033,0.176,0.217
Sigma,1.23,-0.28,0.663,0.163,0.049,0.164,0.176
Sigma,1.23,-0.03,0.472,0.177,0.04,0.178,0.193
Sigma,1.23,0.21,0.518,0.173,0.042,0.194,0.167
Sigma,1.23,0.68,0.186,0.217,0.028,0.207,0.227
Sigma,1.48,-0.78,0.29,0.191,0.032,0.162,0.213
Sigma,1.48,-0.44,0.482,0.136,0.041,0.119,0.157
Sigma,1.48,-0.24,0.752,0.13,0.052,0.159,0.102
Sigma,1.48,-0.09,0.723,0.109,0.051,0.09,0.123
Sigma,1.48,0.07,0.777,0.1,0.053,0.123,0.066
Sigma,1.48,0.24,0.7,0.143,0.05,0.187,0.122
Sigma,1.48,0.43,0.594,0.117,0.046,0.153,0.084
Sigma,1.48,0.77,0.207,0.146,0.029,0.145,0.15
Sigma,1.73,-0.57,0.217,0.197,0.029,0.206,0.197
Sigma,1.73,-0.02,0.415,0.171,0.038,0.143,0.195
Sigma,1.73,0.24,0.351,0.168,0.035,0.157,0.173
Sigma,1.73,0.45,0.275,0.169,0.032,0.197,0.147
Sigma,1.73,0.76,0.457,0.173,0.04,0.14,0.206
Sigma,1.98,-0.42,0.206,0.213,0.033,0.128,0.297
Sigma,1.98,0.58,0.173,0.195,0.031,0.165,0.233
O_x,1.23,-0.81,0.555,0.219,0.044,0.233,0.225
O_x,1.23,-0.53,0.17,0.303,0.027,0.267,0.353
O_x,1.23,-0.28,-0.291,0.21,0.033,0.143,0.253
O_x,1.23,-0.03,0.621,0.219,0.047,0.28,0.174
O_x,1.23,0.21,0.61,0.255,0.046,0.314,0.14
O_x,1.23,0.68,0.838,0.28,0.056,0.54,0.028
O_x,1.48,-0.78,0.009,0.364,0.02,0.455,0.283
O_x,1.48,-0.44,-0.014,0.276,0.021,0.229,0.358
O_x,1.48,-0.24,0.247,0.179,0.031,0.236,0.127
O_x,1.48,-0.09,0.531,0.171,0.043,0.241,0.11
O_x,1.48,0.07,0.515,0.14,0.042,0.2,0.071
O_x,1.48,0.24,0.341,0.269,0.035,0.352,0.173
O_x,1.48,0.43,0.546,0.28,0.043,0.419,0.09
O_x,1.48,0.77,-0.208,0.262,0.029,0.15,0.384
O_x,1.73,-0.57,0.345,0.315,0.035,0.36,0.287
O_x,1.73,-0.02,0.256,0.244,0.031,0.339,0.179
O_x,1.73,0.24,0.6,0.201,0.046,0.293,0.106
O_x,1.73,0.45,0.412,0.29,0.038,0.385,0.239
O_x,1.73,0.76,0.223,0.269,0.03,0.318,0.226
O_x,1.98,-0.42,-0.112,0.327,0.027,0.22,0.473
O_x,1.98,0.58,-0.124,0.418,0.028,0.303,0.572
O_z,1.23,-0.81,0.244,0.282,0.03,0.351,0.202
O_z,1.23,-0.53,-0.115,0.332,0.025,0.327,0.342
O_z,1.23,-0.28,0.194,0.254,0.028,0.428,0.099
O_z,1.23,-0.03,0.281,0.268,0.032,0.315,0.251
O_z,1.23,0.21,-0.271,0.349,0.032,0.166,0.576
O_z,1.23,0.68,-0.078,0.33,0.023,0.416,0.274
O_z,1.48,-0.78,-0.151,0.358,0.026,0.401,0.329
O_z,1.48,-0.44,-0.477,0.281,0.041,0.094,0.481
O_z,1.48,-0.24,-0.109,0.224,0.025,0.126,0.355
O_z,1.48,-0.09,-0.039,0.217,0.022,0.175,0.269
O_z,1.48,0.07,-0.018,0.175,0.021,0.154,0.191
O_z,1.48,0.24,0.233,0.266,0.03,0.37,0.197
O_z,1.48,0.43,0.257,0.32,0.031,0.466,0.225
O_z,1.48,0.77,0.26,0.252,0.031,0.179,0.322
O_z,1.73,-0.57,-0.143,0.306,0.026,0.288,0.344
O_z,1.73,-0.02,0.055,0.214,0.022,0.289,0.148
O_z,1.73,0.24,-0.433,0.212,0.039,0.2,0.231
O_z,1.73,0.45,-0.718,0.196,0.051,0.105,0.285
O_z,1.73,0.76,-0.34,0.258,0.035,0.287,0.237
O_z,1.98,-0.42,-0.003,0.307,0.02,0.291,0.343
O_z,1.98,0.58,-0.071,0.342,0.024,0.37,0.327
P,1.23,-0.81,-0.039,0.194,0.022,0.171,0.229
P,1.23,-0.53,0.485,0.196,0.041,0.211,0.178
P,1.23,-0.28,0.911,0.1,0.059,0.172,0.025
P,1.23,-0.03,0.247,0.156,0.031,0.202,0.119
P,1.23,0.21,0.273,0.176,0.032,0.15,0.196
P,1.23,0.68,0.117,0.204,0.025,0.223,0.193
P,1.48,-0.78,0.143,0.166,0.026,0.143,0.18
P,1.48,-0.44,0.262,0.151,0.031,0.117,0.191
P,1.48,-0.24,0.621,0.115,0.047,0.109,0.117
P,1.48,-0.09,0.636,0.148,0.047,0.226,0.063
P,1.48,0.07,0.834,0.086,0.056,0.108,0.064
P,1.48,0.24,0.448,0.141,0.039,0.122,0.162
P,1.48,0.43,0.594,0.12,0.046,0.115,0.128
P,1.48,0.77,0.252,0.137,0.031,0.145,0.128
P,1.73,-0.57,0.521,0.173,0.042,0.201,0.158
P,1.73,-0.02,0.847,0.102,0.056,0.136,0.073
P,1.73,0.24,0.587,0.146,0.045,0.208,0.087
P,1.73,0.45,0.202,0.149,0.029,0.165,0.128
P,1.73,0.76,-0.069,0.155,0.023,0.177,0.124
P,1.98,-0.42,0.71,0.141,0.064,0.197,0.102
P,1.98,0.58,0.278,0.164,0.037,0.196,0.13
T,1.23,-0.81,0.253,0.239,0.031,0.194,0.268
T,1.23,-0.53,0.092,0.233,0.024,0.213,0.252
T,1.23,-0.28,0.765,0.176,0.053,0.26,0.105
T,1.23,-0.03,0.224,0.238,0.03,0.251,0.241
T,1.23,0.21,0.704,0.236,0.05,0.424,0.079
T,1.23,0.68,0.241,0.299,0.03,0.367,0.249
T,1.48,-0.78,0.107,0.218,0.025,0.181,0.24
T,1.48,-0.44,-0.015,0.19,0.021,0.196,0.172
T,1.48,-0.24,0.445,0.176,0.039,0.224,0.137
T,1.48,-0.09,0.728,0.189,0.051,0.275,0.13
T,1.48,0.07,0.891,0.101,0.058,0.132,0.045
T,1.48,0.24,0.506,0.182,0.042,0.176,0.19
T,1.48,0.43,0.747,0.164,0.052,0.246,0.084
T,1.48,0.77,0.264,0.193,0.031,0.164,0.217
T,1.73,-0.57,0.208,0.254,0.029,0.263,0.261
T,1.73,-0.02,0.417,0.192,0.038,0.209,0.197
T,1.73,0.24,0.678,0.189,0.049,0.258,0.138
T,1.73,0.45,0.174,0.259,0.027,0.16,0.394
T,1.73,0.76,0.017,0.216,0.021,0.245,0.194
T,1.98,-0.42,0.264,0.225,0.036,0.25,0.206
T,1.98,0.58,0.059,0.23,0.024,0.201,0.268
