runtime_sec,len_scale
5.155444145202637,[0.25996881 1.54710612]
5.461403846740723,[0.26199469 1.5513497 ]
5.279101610183716,[0.26173325 1.5516674 ]
5.350130319595337,[1.09928855 0.33553729]
5.406595706939697,[1.09878232 0.33550508]
5.406989097595215,[0.26207492 1.54628667]
5.42976713180542,[0.26203732 1.55131071]
5.303858757019043,[0.26208498 1.54633964]
5.4559547901153564,[0.26201197 1.5510887 ]
5.342672348022461,[0.26208676 1.55125143]
5.35875391960144,[0.26209641 1.5510994 ]
5.423410415649414,[0.26213443 1.55120773]
5.5424206256866455,[0.26209216 1.5463014 ]
5.442620754241943,[0.26211    1.54699035]
5.49511456489563,[0.26195931 1.55322443]
5.318865060806274,[1.09929198 0.33543935]
5.468801736831665,[0.26209003 1.54629897]
5.4484169483184814,[0.26209159 1.54629054]
5.426460266113281,[0.26207447 1.54638247]
5.614465951919556,[0.26001281 1.54709638]
5.342385292053223,[0.26209017 1.54628185]
5.1806416511535645,[0.26203288 1.55132549]
5.411127328872681,[0.26211332 1.54705057]
5.3638715744018555,[0.26203987 1.55129386]
5.412223815917969,[0.26203584 1.55131852]
5.218231678009033,[0.26211047 1.5469787 ]
5.35067343711853,[0.26000213 1.54707889]
5.337482213973999,[0.26211554 1.54700527]
5.314136981964111,[0.2611367 1.5444464]
5.326009511947632,[0.26210858 1.54697244]
5.321745157241821,[0.26203911 1.5513041 ]
5.309370279312134,[0.26207878 1.55125041]
5.366443157196045,[0.26211632 1.54705283]
5.3140294551849365,[0.26212838 1.55120541]
5.475095987319946,[1.09888905 0.33548435]
5.047199010848999,[0.26211771 1.55121196]
5.332556962966919,[0.26204538 1.55129197]
5.101274490356445,[1.10267928 0.33534838]
5.245632171630859,[1.09886372 0.33551608]
5.343466281890869,[0.26211586 1.54704197]
5.182497501373291,[1.09888216 0.33551124]
5.373178720474243,[0.26214013 1.55120281]
5.4839067459106445,[0.26211471 1.54696476]
5.1211559772491455,[0.2599783  1.54708747]
5.43376898765564,[0.26208385 1.55126612]
5.208387136459351,[0.26000106 1.54706249]
5.251781702041626,[0.26208886 1.54631542]
5.3375959396362305,[0.26211448 1.5469722 ]
5.375135898590088,[0.26211016 1.54696113]
5.294975996017456,[0.25999537 1.54710405]
5.38550591468811,[0.26211461 1.55121167]
5.271633863449097,[0.26209862 1.54624582]
5.367696523666382,[0.2621118  1.54702631]
5.247511863708496,[0.26122014 1.5447601 ]
5.265915632247925,[0.26193709 1.55326462]
5.251555919647217,[0.26208173 1.54630634]
5.275257349014282,[0.26203762 1.55129633]
5.307483911514282,[0.26208188 1.54701793]
5.452178001403809,[0.26200367 1.55133469]
5.060253143310547,[0.26208161 1.54652749]
5.3874897956848145,[0.26111457 1.54401059]
5.235404968261719,[0.26209925 1.5463025 ]
5.286737680435181,[1.09892646 0.33550213]
5.32496976852417,[0.2620684  1.54631208]
5.278847932815552,[0.26211495 1.55121802]
5.236818790435791,[0.26207819 1.54628978]
5.3707661628723145,[0.26208124 1.55124942]
5.29955530166626,[0.26211016 1.54697563]
5.374948263168335,[0.2620993  1.55122907]
5.120657205581665,[0.2611006  1.54401902]
5.2833921909332275,[0.26206133 1.55129048]
5.301576137542725,[0.26210882 1.54695819]
5.348177909851074,[0.26211415 1.54703556]
5.31854772567749,[0.25998955 1.54706279]
5.464267253875732,[0.26210986 1.55123741]
5.295707941055298,[0.26189935 1.55335725]
5.20201301574707,[0.26207483 1.54637051]
5.31207537651062,[0.26205544 1.54629108]
5.234619140625,[0.2621605  1.54699228]
5.198863506317139,[0.26201787 1.55132935]
5.354435920715332,[0.26195101 1.55124703]
5.264338254928589,[0.26211302 1.54697263]
5.3365161418914795,[0.26211791 1.54703222]
5.347054958343506,[0.26200262 1.55133253]
5.444706439971924,[0.26207632 1.54636775]
5.336777925491333,[0.26211386 1.54696221]
5.293396472930908,[0.26210983 1.54695369]
5.247802972793579,[0.26210721 1.54631418]
5.409597873687744,[0.26211699 1.54699009]
5.380942106246948,[0.26207448 1.54625982]
5.367799520492554,[0.26211274 1.54703382]
5.309078931808472,[0.25999263 1.54705611]
5.341493606567383,[0.26210893 1.54697734]
5.335859298706055,[0.26206947 1.54631914]
5.3242597579956055,[0.26210204 1.54625725]
5.278676986694336,[0.26211634 1.5470715 ]
5.389007806777954,[0.26207977 1.55125141]
5.136422157287598,[0.2620883 1.5462511]
5.407229661941528,[0.26211337 1.54704154]
5.2753965854644775,[0.2619988  1.55134063]
