runtime_sec,len_scale
3.3221707344055176,[0.26206839 1.54628938]
2.756161689758301,[0.51547171 0.83702696]
2.7868027687072754,[0.26206771 1.54634704]
3.2468786239624023,[0.2621117  1.54699552]
3.423689365386963,[0.2620539  1.55130777]
2.687591075897217,[0.26206908 1.55126429]
2.071187734603882,[0.26194382 1.55124339]
2.0751593112945557,[0.26208354 1.54607373]
3.0514681339263916,[0.26211752 1.54700728]
2.652498245239258,[0.26211366 1.55122478]
3.3312222957611084,[0.26208292 1.54631294]
1.608494520187378,[0.26216973 1.546998  ]
2.964945077896118,[0.25996874 1.54706682]
2.7640411853790283,[0.26207899 1.54626728]
2.7683088779449463,[0.26211074 1.5470026 ]
3.017225742340088,[0.26211777 1.54702664]
3.069774627685547,[0.2620986  1.54631231]
2.9249725341796875,[0.26119531 1.54471379]
3.5914735794067383,[0.26210897 1.54696609]
3.271223783493042,[0.26202373 1.55132423]
2.936307191848755,[0.26211729 1.54699448]
3.0049238204956055,[0.26208326 1.55124905]
3.407569169998169,[0.26211704 1.54702967]
3.286424160003662,[0.26211235 1.54699017]
2.5370845794677734,[0.26200735 1.55134822]
3.280531644821167,[0.26208479 1.55127165]
3.5479116439819336,[0.26200596 1.55135471]
2.7683520317077637,[0.26199691 1.55135304]
3.1078860759735107,[0.26207851 1.54632109]
2.427719831466675,[0.5154651  0.83717213]
2.549290895462036,[0.262086   1.54632407]
3.0851893424987793,[0.26206979 1.551267  ]
2.7272908687591553,[0.26205175 1.55129818]
3.0977039337158203,[0.26205839 1.55130143]
2.870879888534546,[0.26206044 1.54633601]
2.7733025550842285,[0.26207712 1.55125289]
3.1298773288726807,[0.2620846  1.54627914]
3.250277042388916,[0.26211443 1.54700031]
2.547135829925537,[0.26121697 1.54468806]
3.196165084838867,[0.2621114  1.54699897]
3.1085152626037598,[0.26206638 1.54638671]
3.5008885860443115,[0.26211572 1.54706245]
2.476532459259033,[0.26187159 1.55331415]
2.0506579875946045,[0.26153522 1.55023639]
3.1958181858062744,[0.26211199 1.54700705]
3.3151111602783203,[0.2620939  1.54629965]
2.722468137741089,[0.51553379 0.83661825]
2.668450117111206,[0.2621077  1.55122953]
2.712770462036133,[0.51238697 0.84467527]
3.981529951095581,[0.26211489 1.54703289]
2.8313608169555664,[0.26210272 1.54624342]
2.1845414638519287,[0.26207047 1.55126401]
3.0466389656066895,[0.26206287 1.55127389]
3.348402261734009,[0.51546116 0.83672347]
2.9227030277252197,[0.26211237 1.54701883]
2.458390235900879,[0.26209218 1.54624658]
2.733442783355713,[0.51545078 0.83694673]
3.1408472061157227,[0.5155015  0.83666135]
2.865652322769165,[0.26210786 1.54696159]
2.5871784687042236,[0.26109781 1.54402706]
3.59934663772583,[0.26203852 1.55129356]
3.1409800052642822,[0.26211465 1.54697023]
2.8734166622161865,[0.26206995 1.55128068]
2.958482027053833,[0.26211669 1.54696439]
3.1874990463256836,[0.26205072 1.55128609]
1.8902428150177002,[0.51546667 0.83661139]
2.664565324783325,[0.26208724 1.54633309]
3.4942686557769775,[0.26211084 1.54695135]
1.7252254486083984,[0.2598913  1.54522133]
3.0346732139587402,[0.26109998 1.54401905]
2.784703254699707,[0.26210936 1.5470005 ]
2.721946954727173,[0.26206409 1.55128301]
2.7807834148406982,[0.26206896 1.5462802 ]
3.0674405097961426,[0.26211579 1.54705474]
4.006923198699951,[0.26211728 1.54707732]
3.2555179595947266,[0.26211732 1.54707356]
2.8632781505584717,[0.26211771 1.54703996]
2.9637317657470703,[0.26204887 1.55130811]
2.9618618488311768,[0.26208372 1.55126503]
2.932724714279175,[0.26211557 1.54699903]
2.784592628479004,[0.26201495 1.55134613]
3.137434720993042,[0.26203619 1.55129914]
2.845472812652588,[0.26206092 1.55128984]
2.7861568927764893,[0.2621185  1.54710979]
3.022423505783081,[0.26192005 1.55332056]
3.6263322830200195,[0.26211808 1.547074  ]
2.7605087757110596,[0.26211362 1.54702308]
2.859097957611084,[0.26211076 1.54698453]
3.515841484069824,[0.26211848 1.54708463]
1.8060436248779297,[0.51768287 0.83044549]
2.3306570053100586,[0.2620803  1.55127384]
3.6566221714019775,[0.26210867 1.54698877]
2.6138126850128174,[0.26211743 1.547027  ]
1.8389019966125488,[0.2620906 1.5462781]
3.0229077339172363,[0.26210834 1.54698032]
2.81487774848938,[0.26211604 1.5469872 ]
3.1566827297210693,[0.26211227 1.54696709]
2.8139617443084717,[0.26210731 1.55122549]
2.8061251640319824,[0.51544047 0.83663146]
2.4353904724121094,[0.26198623 1.55121638]
