runtime_sec,len_scale
13.72086238861084,[0.26203399 1.5468742 ]
12.435925722122192,[0.26183056 1.55003327]
9.25566053390503,[0.26277236 1.55078568]
11.68274712562561,[0.25999936 1.54686709]
12.622822046279907,[0.2621363  1.54620616]
14.485749244689941,[0.26024605 1.54696055]
11.620968341827393,[0.2618267  1.55063429]
14.739176273345947,[0.26145348 1.54997985]
11.46647310256958,[0.26208107 1.54591663]
12.246045589447021,[0.26154897 1.55030756]
11.4255952835083,[0.26407719 1.54914129]
14.454258918762207,[0.2625118  1.54684232]
11.586295366287231,[0.26182597 1.5515431 ]
11.818930387496948,[0.2603817 1.5454122]
9.940817832946777,[0.26301601 1.54876786]
16.068289279937744,[0.26210666 1.54755756]
8.53877854347229,[0.26005709 1.55133024]
12.567234992980957,[0.26117835 1.54825408]
11.988022327423096,[0.26171137 1.55373985]
12.370668888092041,[0.26170838 1.55201739]
15.4926438331604,[0.26221791 1.54726249]
11.688025951385498,[0.26174728 1.55351806]
17.049551486968994,[0.26198474 1.55329271]
15.541651964187622,[0.26116805 1.5484926 ]
15.090010404586792,[0.26206548 1.54613224]
12.075404167175293,[0.2611742  1.54361951]
11.869731187820435,[0.26187071 1.54959764]
11.997238397598267,[0.2601738 1.5459384]
14.856066226959229,[0.26038313 1.5509891 ]
12.040448188781738,[0.259928  1.5453063]
11.594515562057495,[0.26166341 1.55364068]
12.036833047866821,[0.26160709 1.55389197]
8.91600489616394,[0.26178046 1.55194439]
12.075845718383789,[0.26438626 1.54511322]
11.68211817741394,[0.26032077 1.5511953 ]
15.178633213043213,[0.25998693 1.54522951]
15.679591417312622,[0.26194779 1.55159637]
16.557871103286743,[0.26195418 1.54645413]
12.020184755325317,[0.2616839  1.55018453]
15.003180742263794,[0.26200005 1.54968232]
12.077446937561035,[0.26026449 1.54619001]
9.263143539428711,[0.26216078 1.54570298]
11.844679594039917,[0.25985714 1.54536186]
11.898945808410645,[0.26102671 1.54501982]
15.68720531463623,[0.26208911 1.54729354]
14.96162462234497,[0.26118674 1.54415874]
17.42994260787964,[0.26210778 1.54635055]
12.025489330291748,[0.26020127 1.54667315]
9.662937641143799,[0.26213573 1.5512414 ]
13.962941408157349,[0.26146461 1.55018847]
11.65234899520874,[0.26184422 1.55007869]
11.684845924377441,[0.26511826 1.54772258]
11.794273614883423,[0.26148794 1.55003355]
15.127599954605103,[0.26003859 1.54529343]
12.315801620483398,[0.26202479 1.54709238]
14.276844024658203,[0.26083975 1.54448321]
14.89692497253418,[0.26207793 1.55120476]
12.443071603775024,[0.26200534 1.54733952]
14.133463144302368,[0.26192886 1.54733098]
14.81439471244812,[0.26174107 1.55346286]
14.98150897026062,[0.26005547 1.54654597]
15.720509767532349,[0.26122902 1.54443347]
8.665759563446045,[0.26213694 1.55117409]
14.917513132095337,[0.26301352 1.54865358]
9.354032516479492,[0.26104407 1.54506624]
14.786036491394043,[0.26120481 1.54452416]
12.212081670761108,[0.25984376 1.54718534]
15.515323162078857,[0.26192534 1.55099548]
15.088017463684082,[0.26207729 1.54765557]
14.083407640457153,[0.26202454 1.54748296]
12.026762008666992,[0.26165747 1.55357534]
15.03684139251709,[0.26216067 1.5475294 ]
14.449509859085083,[0.26190267 1.55001358]
12.251686096191406,[0.26121704 1.54434555]
11.55014705657959,[0.26112556 1.54416695]
12.311670064926147,[0.25990588 1.54517833]
17.306630849838257,[0.26115876 1.54414994]
12.524263143539429,[0.26195479 1.54951027]
14.935362577438354,[0.26117016 1.54407492]
14.795774221420288,[0.26215053 1.54711862]
11.739299535751343,[0.26154065 1.55188642]
15.43416142463684,[0.26204613 1.55077888]
15.004854917526245,[0.26197663 1.55103176]
15.059945344924927,[0.26212399 1.54682253]
11.964679956436157,[0.26032582 1.55132282]
15.90035367012024,[0.26116427 1.54790129]
11.55264163017273,[0.26167421 1.55353481]
15.43976354598999,[0.26438894 1.54505685]
14.641556024551392,[0.26192175 1.55146082]
14.754393339157104,[0.26133421 1.55006788]
11.389168500900269,[0.26183683 1.55084771]
14.421703100204468,[0.26204042 1.54717274]
11.497005939483643,[0.26199353 1.55066355]
12.149003267288208,[0.26115006 1.54447369]
12.28309941291809,[0.26209145 1.54646563]
15.22483491897583,[0.26243527 1.54723845]
16.11202645301819,[0.26216483 1.54666881]
15.339308977127075,[0.26012633 1.55171536]
12.263456583023071,[0.26027961 1.54484966]
9.408321857452393,[0.25994368 1.54521515]
