runtime_sec,len_scale
12.421330451965332,[0.53199141 0.83667679]
12.497688293457031,[0.55210388 0.78688743]
13.093299388885498,[0.26468542 1.61865823]
9.802343368530273,[0.53467972 0.83004492]
11.913344383239746,[0.53213759 0.84104055]
12.438243627548218,[0.53240425 0.83627002]
11.625022649765015,[0.53225108 0.83642289]
9.217674493789673,[0.54136887 0.81257743]
9.197663307189941,[0.53178715 0.88180533]
12.53040599822998,[0.55816764 0.72021482]
9.349375247955322,[0.53424462 0.83122368]
15.095186948776245,[0.53240277 0.83627411]
11.494200706481934,[0.55247587 0.78648003]
10.083244562149048,[0.60380718 0.68186701]
9.000243663787842,[0.1735827  1.65101272]
12.916758298873901,[0.60412112 0.68215803]
14.0865159034729,[0.53202131 0.84347925]
18.175804138183594,[0.25340728 1.64204425]
12.526862382888794,[0.55321854 0.78863404]
12.655072212219238,[0.27008267 1.60782372]
13.015973806381226,[0.60381118 0.68187287]
12.216501235961914,[0.14334855 1.70716169]
11.981994867324829,[0.53375494 0.83255681]
12.327488422393799,[0.26886673 1.61024177]
12.94816780090332,[0.60384194 0.68172872]
12.6217200756073,[0.53528725 0.82840798]
12.458256006240845,[0.60382127 0.68181094]
15.124200105667114,[0.53419632 0.8313549 ]
12.207205057144165,[0.53205916 0.83661058]
12.024529218673706,[0.53241284 0.83624624]
11.945515155792236,[0.55229008 0.78646507]
12.069037437438965,[0.4843436  0.63931296]
14.815059423446655,[0.55275296 0.78727589]
11.594422817230225,[0.53410867 0.83159311]
11.204182863235474,[0.53702384 0.82378581]
8.884416341781616,[0.55137829 0.78854044]
14.440298080444336,[0.56828853 0.69896719]
8.981286525726318,[0.53532448 0.82830801]
12.24004340171814,[0.53179244 0.83687158]
11.737542152404785,[0.53211474 0.8365562 ]
12.2620210647583,[0.60380676 0.68186865]
12.111969470977783,[0.26815941 1.61165422]
12.100611686706543,[0.55084109 0.7897717 ]
9.075834035873413,[0.55240454 0.78627662]
11.537072896957397,[0.54881966 0.79446227]
14.958752870559692,[0.55201901 0.78708019]
12.380473613739014,[0.53295171 0.83475857]
15.1618492603302,[0.60380744 0.68186599]
12.110877990722656,[0.27580121 1.52327279]
12.071783065795898,[0.5935459  0.68364093]
11.466760873794556,[0.53896385 0.81871967]
12.199237823486328,[0.53240193 0.83627544]
12.84809947013855,[0.17567814 1.69997782]
14.671902656555176,[0.53397231 0.8319642 ]
12.087509393692017,[0.55229661 0.78645027]
16.144009351730347,[0.27611462 1.51946744]
12.120578050613403,[0.60378127 0.68187308]
15.423777103424072,[0.55170017 0.78780572]
12.581376075744629,[0.00754694 1.45323052]
15.63241720199585,[0.55270834 0.78714711]
11.820013046264648,[0.53289528 0.83491397]
18.964592933654785,[0.14334805 1.70716172]
13.196275234222412,[0.53242425 0.83621466]
12.257378339767456,[0.53679789 0.8243825 ]
10.033847093582153,[0.60380537 0.68186902]
15.787962675094604,[0.5521124  0.78686809]
12.80905556678772,[0.53279217 0.83519813]
13.026516675949097,[0.54577432 0.80170532]
14.990878105163574,[0.55201805 0.78708238]
12.736774444580078,[0.58584292 0.68502951]
12.514219522476196,[0.54421278 0.8055044 ]
12.267248630523682,[0.60380976 0.6818567 ]
15.560815572738647,[0.54620715 0.80066265]
12.039438962936401,[0.60380677 0.68186866]
11.876076459884644,[0.29231949 1.5295801 ]
12.156975030899048,[1.24015088 0.18665036]
12.482014179229736,[0.17576092 1.69994764]
12.43915843963623,[0.53240486 0.83626834]
16.50318717956543,[0.86919478 0.45136366]
12.788667678833008,[0.60380683 0.68186888]
15.824524164199829,[0.55239358 0.78621847]
11.671383380889893,[0.54733538 0.79796551]
15.877093076705933,[0.56086346 0.73219767]
12.042698383331299,[0.5377186  0.82195984]
15.234792232513428,[0.532403   0.83627347]
15.819082021713257,[0.53238876 0.83628831]
12.54390001296997,[0.55253908 0.78528008]
11.858556270599365,[0.17630943 1.69598831]
9.660262823104858,[0.55222928 0.78660292]
14.484439134597778,[0.60437116 0.68238811]
12.132638692855835,[0.27744159 1.50402378]
13.027097225189209,[0.55201929 0.78707955]
14.849514961242676,[0.60384837 0.68190725]
15.275681495666504,[0.5324025  0.83627486]
11.721667051315308,[0.53738039 0.82284709]
12.13009762763977,[0.17296309 1.70093822]
12.362126350402832,[0.53256248 0.83583227]
12.279291868209839,[0.58733226 0.68532622]
9.51584529876709,[0.55130249 0.78871379]
12.624642848968506,[0.54353392 0.80717452]
