runtime_sec,len_scale
41.74661469459534,[0.55083263 0.78976689]
40.030280113220215,[0.54917667 0.79361315]
41.85458946228027,[0.55191991 0.78730431]
26.05527424812317,[0.55245958 0.78575537]
32.97292494773865,[0.55184317 0.78745558]
44.70655822753906,[0.5518231  0.78750209]
30.53996515274048,[0.55128799 0.78852872]
22.142237186431885,[0.55066971 0.79017314]
36.54412341117859,[0.55194194 0.78695061]
46.92178726196289,[0.55169431 0.78770421]
39.73789358139038,[0.55184228 0.78704885]
50.67873167991638,[0.54889732 0.79424481]
56.620994567871094,[0.55195326 0.78711565]
35.236469984054565,[0.54972388 0.79236416]
67.98566484451294,[0.55235492 0.78626463]
40.411001682281494,[0.55212016 0.78679011]
22.35305619239807,[0.55116163 0.78902223]
45.454113483428955,[0.55233574 0.78631779]
45.416247606277466,[0.55221257 0.78665742]
51.85261344909668,[0.55131406 0.78850392]
46.532268047332764,[0.55180144 0.78729256]
45.03075575828552,[0.55227382 0.78617231]
45.47600698471069,[0.5494316  0.79300748]
46.171836137771606,[0.55181551 0.78741319]
55.28235745429993,[0.55231396 0.78628277]
46.518598794937134,[0.55147934 0.78830991]
46.34223294258118,[0.55243105 0.78616647]
36.06551551818848,[0.55213379 0.78682124]
53.214619398117065,[0.55240968 0.78609733]
35.06774878501892,[0.55163462 0.78791543]
39.43275284767151,[0.55079689 0.78989271]
30.367218017578125,[0.5519817  0.78699998]
36.746742486953735,[0.55181715 0.78739066]
45.32961416244507,[0.55207184 0.78671004]
26.7425434589386,[0.55190463 0.78701733]
45.25896120071411,[0.55221883 0.7862463 ]
45.79931139945984,[0.55202962 0.78706405]
41.00308871269226,[0.55184437 0.78719239]
50.65965533256531,[0.55193879 0.78729967]
55.04515790939331,[0.54943338 0.79286433]
40.83717155456543,[0.55152689 0.78813707]
28.902361154556274,[0.55246298 0.78588154]
54.963703632354736,[0.55086447 0.7896996 ]
67.75380253791809,[0.5517389  0.78756305]
38.46047401428223,[0.54705743 0.7985949 ]
32.93766665458679,[0.55192633 0.78709758]
49.270371198654175,[0.55208163 0.78688732]
50.2932493686676,[0.54835903 0.79551778]
48.305535554885864,[0.55178759 0.78770064]
47.17449975013733,[0.55228101 0.78653127]
46.385960817337036,[0.55060444 0.79017148]
48.363306283950806,[0.55215829 0.78671916]
31.50009560585022,[0.55232208 0.78641232]
47.411536693573,[0.55161807 0.78807099]
47.84582495689392,[0.55197414 0.78722998]
220.22946667671204,[0.54931201 0.79331584]
62.44995331764221,[0.55160331 0.78781705]
40.08030676841736,[0.5513646 0.7884908]
40.387282848358154,[0.55220974 0.78672514]
36.9059784412384,[0.55165986 0.78771084]
37.152618646621704,[0.55240625 0.78591891]
49.256028175354004,[0.55216627 0.78665594]
21.86792254447937,[0.55092398 0.78933378]
43.185559034347534,[0.54981862 0.79202248]
49.29704475402832,[0.55110866 0.78917883]
61.51526641845703,[0.55116562 0.78898646]
48.4195396900177,[0.55237664 0.786136  ]
26.452548027038574,[0.55239737 0.78640149]
31.791887521743774,[0.55195684 0.78693746]
21.350688219070435,[0.55069    0.79015981]
49.57620048522949,[0.55224511 0.78624656]
37.51839518547058,[0.55063927 0.78996226]
1064.2990996837616,[0.55194157 0.78719462]
27.63611674308777,[0.55187984 0.78733036]
40.23659420013428,[0.5522812  0.78630142]
46.08737564086914,[0.55182128 0.78754079]
40.31540632247925,[0.55242989 0.78619276]
39.363558530807495,[0.55001441 0.79133603]
44.5460250377655,[0.55202707 0.78688754]
55.3767876625061,[0.55002563 0.79158724]
65.28229665756226,[0.55034271 0.79086255]
36.225574254989624,[0.55242358 0.78590816]
45.38162136077881,[0.55191205 0.78738586]
37.09660077095032,[0.55148518 0.78821228]
36.7585871219635,[0.55180495 0.78740301]
44.36592745780945,[0.55186477 0.78730709]
40.276761054992676,[0.55017432 0.79121423]
26.159345626831055,[0.55166602 0.78791695]
35.473963499069214,[0.5515444  0.78801865]
110.01992416381836,[0.55239824 0.78617442]
44.92694926261902,[0.55127085 0.78876415]
49.37430953979492,[0.5517604  0.78763799]
39.84456467628479,[0.55062265 0.79013417]
54.729950189590454,[0.55237574 0.78593273]
65.44697213172913,[0.55120913 0.78884645]
53.35009217262268,[0.55077588 0.78995794]
49.14360475540161,[0.55226955 0.78649447]
54.81706929206848,[0.55193303 0.78715568]
38.284539461135864,[0.55232292 0.78635489]
38.63340520858765,[0.55195077 0.78714446]
