runtime_sec,len_scale
17.032391786575317,[0.55085849 0.78983439]
20.550956964492798,[0.55197576 0.78692117]
16.116203546524048,[0.55236465 0.78613651]
24.0024197101593,[0.55069759 0.79012876]
18.723827362060547,[0.5518822  0.78736767]
16.59586811065674,[0.55120794 0.78898839]
17.65899348258972,[0.5523209  0.78638332]
20.37282109260559,[0.5522662 0.7864858]
16.15152359008789,[0.55182258 0.7873832 ]
23.976985454559326,[0.54869429 0.79470976]
21.022205591201782,[0.55249482 0.78542808]
20.668265104293823,[0.54967576 0.79233122]
17.10720920562744,[0.55143169 0.78812819]
21.01115345954895,[0.55178801 0.78726733]
16.55059576034546,[0.54955895 0.79244357]
16.65712571144104,[0.55245849 0.78568465]
16.531214475631714,[0.55011748 0.79142875]
17.334704637527466,[0.55002211 0.79164036]
19.8121976852417,[0.55168447 0.7874537 ]
20.245373010635376,[0.55003025 0.79157415]
16.763896942138672,[0.55045807 0.79059236]
16.485385179519653,[0.5496101  0.79270036]
16.909703016281128,[0.54995756 0.79172332]
20.39449667930603,[0.55080417 0.78964716]
16.72237229347229,[0.54640535 0.80012872]
21.656141996383667,[0.55217815 0.78651662]
16.33974313735962,[0.55233334 0.78578576]
20.64400339126587,[0.55154997 0.78809039]
16.926210641860962,[0.55092064 0.78912344]
16.397570371627808,[0.55239481 0.78567928]
16.47395944595337,[0.55148631 0.78797187]
16.73009443283081,[0.55041892 0.7906629 ]
12.35385799407959,[0.54846721 0.79547142]
20.37756586074829,[0.5503697 0.7908387]
16.837766408920288,[0.5516249  0.78784874]
25.33459186553955,[0.55015552 0.79132001]
20.662534713745117,[0.55002045 0.79186722]
12.702514171600342,[0.55076593 0.78992344]
17.484009265899658,[0.55202603 0.78665252]
19.963037729263306,[0.54824607 0.79578785]
25.853752374649048,[0.55082532 0.78963665]
22.02730965614319,[0.5509451  0.78934537]
22.56504774093628,[0.54972395 0.79240022]
21.774780750274658,[0.55191738 0.78701071]
17.13819980621338,[0.55160853 0.78786849]
20.699116468429565,[0.55079143 0.78958785]
16.497414112091064,[0.55119263 0.78870273]
12.662035942077637,[0.55135948 0.78859639]
17.582546710968018,[0.55080729 0.78942207]
17.056292295455933,[0.55096904 0.78937552]
20.171284198760986,[0.55072358 0.7898502 ]
22.629598379135132,[0.55126057 0.78864935]
16.410072803497314,[0.55190784 0.78702258]
20.557305097579956,[0.55160009 0.78800132]
20.74539875984192,[0.55197704 0.78699246]
24.877742052078247,[0.54864396 0.79454723]
16.97257137298584,[0.55210703 0.7871395 ]
17.362729787826538,[0.5495812  0.79249407]
12.441897630691528,[0.54587117 0.80106894]
15.854082345962524,[0.55167936 0.7875746 ]
16.431938886642456,[0.55194807 0.78745747]
15.75974416732788,[0.55179622 0.78684599]
18.006184816360474,[0.55199938 0.78686182]
21.890462636947632,[0.5514984  0.78837225]
16.954495906829834,[0.55118517 0.78873143]
16.834885358810425,[0.55182911 0.78760278]
16.93512725830078,[0.55143652 0.78848276]
16.782835483551025,[0.54915169 0.79368792]
17.28791379928589,[0.55202311 0.78697346]
16.28164267539978,[0.55242026 0.78601312]
16.8509464263916,[0.5520788  0.78663729]
21.247954845428467,[0.55099899 0.7894431 ]
17.673157453536987,[0.55159789 0.78800117]
17.0945782661438,[0.55207253 0.78698271]
20.662368535995483,[0.55138337 0.78844542]
17.926680088043213,[0.55057514 0.79038399]
16.953660011291504,[0.54615584 0.80075048]
20.612143993377686,[0.55189546 0.78740344]
16.523437023162842,[0.54746318 0.79755356]
20.61153769493103,[0.55181355 0.78728748]
16.031657695770264,[0.55111817 0.78891776]
16.139857292175293,[0.55235198 0.78643623]
19.612097024917603,[0.54869535 0.79452172]
16.268198490142822,[0.55035887 0.79065385]
12.353048324584961,[0.55240493 0.78618724]
20.49722695350647,[0.54809174 0.79605215]
20.610371112823486,[0.55203095 0.78671586]
24.58924627304077,[0.54996124 0.79199513]
20.6341552734375,[0.54993447 0.79181093]
25.199103593826294,[0.55034529 0.79088052]
21.30364680290222,[0.5499095  0.79193211]
24.45659589767456,[0.54985501 0.79208937]
17.1142840385437,[0.55166534 0.7875113 ]
21.129034519195557,[0.55183086 0.78746674]
21.392932415008545,[0.551302   0.78835334]
20.57711935043335,[0.55198985 0.787011  ]
18.055299997329712,[0.55037379 0.79049167]
17.38396692276001,[0.55227597 0.78669539]
16.50781798362732,[0.54624507 0.8005864 ]
12.87084150314331,[0.55197048 0.78732732]
