coefficients,x_known,y_known,z_known,e_known,z_func_known
"[-0.3023064562820295, 1.7439133150615993, 0.3598050516030471, -0.3408987698499482, 1.5550131770929638, 0.5510262429992034, -0.5467244422121811, 1.5283442374526712, 0.39564500689186577, 0.2251218291461922, 1.5836360199382187, 0.7210593017411042]","[1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.49, 1.49, 1.49, 1.49, 1.49, 1.49, 1.49, 1.49, 1.62, 1.62, 1.62, 1.62, 1.62, 1.9, 1.9, 1.9, 1.9, 1.9]","[-0.65, -0.36, -0.06, 0.17, 0.31, 0.76, -0.79, -0.61, -0.27, -0.02, 0.11, 0.42, 0.54, 0.75, -0.79, -0.45, -0.01, 0.41, 0.72, -0.8, -0.32, -0.11, 0.48, 0.57]","[-0.0718562874251497, 0.10638297872340426, 0.10982658959537572, 0.07707910750507099, -0.07447864945382324, -0.4760233918128655, -0.2683578104138852, -0.06511627906976744, 0.026022304832713755, 0.050955414012738856, -0.16417910447761194, -0.345088161209068, -0.41893362350380847, -0.67, -0.32233223322332233, -0.07610146862483311, -0.029508196721311476, -0.3609625668449198, -0.6412121212121212, -0.36302895322939865, -0.09034267912772585, -0.10384068278805121, -0.37761377613776137, -0.49870801033591733]","[0.05457612038282258, 0.06486262608883603, 0.04362959611837477, 0.031751743833956306, 0.0314251515466106, 0.03007596095594225, 0.035198921378475474, 0.04812193500237023, 0.06095042899145464, 0.032539434605418846, 0.05389445798919443, 0.03330861268250192, 0.029952712443055567, 0.03711805490593493, 0.03139762261124807, 0.036433243935299765, 0.0572348989698251, 0.03409851301776021, 0.02671617409577842, 0.043973315939755626, 0.032092775045199674, 0.037511821040550036, 0.03247494702981288, 0.031155406091347673]","[-0.00968276744837119, 0.12733817840519848, 0.1066489975520557, 0.006516606808785481, -0.0806610815854339, -0.4351941846421781, -0.31287139945956527, -0.1007777648553271, 0.06316272231674384, 0.021318598194654478, -0.043844440020215154, -0.2900175429909462, -0.41073177203324607, -0.642428664553959, -0.3622569249237033, -0.04464244879011506, -0.0433113222616547, -0.33843291776382206, -0.6596164600871269, -0.31495527829777376, -0.07229342854246319, -0.09360944264778079, -0.397892053624722, -0.46059238924620177]"
"[0.22054013796652636, 1.4334064593250335, 0.5202787993854654, -0.15841615544074428, 1.589434920456604, 0.5527258780497026, 0.2640269257345738, 1.7867832164732071, 0.46710918144819713, -0.270239323987152, 1.6967079786858656, 0.4475496107215276]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.58, 1.58, 1.58, 1.58, 1.58, 1.69, 1.69, 1.69, 1.69, 1.69, 1.87, 1.87, 1.87, 1.87, 1.87]","[-0.77, -0.36, -0.25, 0.08, 0.42, 0.84, -0.67, -0.32, -0.09, 0.33, 0.6, -0.76, -0.36, 0.1, 0.33, 0.75, -0.63, -0.43, 0.11, 0.43, 0.62]","[0.17472118959107807, 0.13505311077389984, 0.04596273291925466, 0.08868501529051988, 0.19480519480519481, 0.07116104868913857, 0.13414634146341464, 0.002932551319648094, -0.005192107995846314, 0.1891891891891892, 0.1752136752136752, 0.3138500635324015, 0.09462915601023018, 0.08021390374331551, 0.07692307692307693, 0.17598343685300208, 0.06728538283062645, 0.07898658718330849, 0.041407867494824016, 0.0624048706240487, 0.10283159463487332]","[0.06003321589595178, 0.038597582563844934, 0.03520811995528631, 0.03180173941836449, 0.06453466252332626, 0.06104385680593342, 0.054716697162659464, 0.05415280325269772, 0.032224115277458144, 0.03522692478743109, 0.032180383816596374, 0.03384504148414005, 0.0503452358162451, 0.036445801267201774, 0.05895603554091557, 0.0447914382428397, 0.0480591446630907, 0.038483958743146, 0.03214687741034173, 0.03893767474626547, 0.03839992049996523]","[0.2597150321764659, 0.0986389854306399, 0.08989098170789442, 0.11099256030940567, 0.149211556473082, 0.10633068250095148, 0.21563488848804074, 0.035600790950253265, 0.0420659818133074, 0.15030674782173165, 0.1859307604321971, 0.305830802115918, 0.020809451062545312, 0.066979879604049, 0.1359152422424208, 0.15819868462586778, 0.13191765037565606, 0.012996666723726605, 0.03704952672830895, 0.1260086611138932, 0.14828461869805554]"
"[0.271290031857259, 1.5029122540541238, 0.5364173524047909, -0.4048482013869864, 1.65964319707789, 0.3348946105425012, 0.1544266335187474, 1.6020529224040119, 0.4466640702360963, -0.1794687903055713, 1.4196697201149735, 0.7126352053629186]","[1.35, 1.35, 1.35, 1.35, 1.51, 1.51, 1.51, 1.51, 1.51, 1.51, 1.77, 1.77, 1.77, 1.77, 1.77, 1.84, 1.84, 1.84, 1.84, 1.84, 1.84]","[-0.71, -0.31, 0.33, 0.65, -0.62, -0.54, -0.22, 0.21, 0.52, 0.84, -0.68, -0.43, -0.02, 0.3, 0.51, -0.84, -0.37, -0.24, 0.22, 0.46, 0.69]","[0.40756302521008403, 0.28162291169451076, 0.026415094339622643, 0.07531865585168018, 0.44554455445544555, 0.3459000942507069, 0.2013274336283186, 0.09948979591836735, 0.04186046511627907, -0.07096774193548387, 0.5438066465256798, 0.34076433121019106, 0.17012448132780084, 0.016203703703703703, -0.0905861456483126, 0.5204081632653061, 0.21481481481481482, 0.20359281437125748, 0.06318082788671024, 0.01639344262295082, -0.0392156862745098]","[0.029596239194456222, 0.03314624669819274, 0.043422067313687335, 0.03394370467405772, 0.06299025737944092, 0.02880519125373633, 0.03257848359636703, 0.035537092229352446, 0.04818201202176695, 0.035830489442419386, 0.032616843905198645, 0.03751601930825092, 0.044884768573563785, 0.0340162243422553, 0.04197170133125969, 0.06099411746505536, 0.048530367108584875, 0.03788080039844634, 0.046582748613434796, 0.0426732247145573, 0.03297952969692749]","[0.43015334824876494, 0.21032737057796275, 0.09084819745725964, 0.03385991643883665, 0.4493834589263934, 0.3874826168875362, 0.20981697592646126, 0.08059446131834336, 0.004747132707100554, -0.11157694469109725, 0.4929101362059949, 0.30631616530701583, 0.12052729184806177, 0.028352084459360345, -0.030253584732178346, 0.60158820581741, 0.24853451046135733, 0.18875616257695038, 0.0482960598919465, -0.010430080450042626, -0.07856186055345248]"
"[0.07, 1.7891445515833337, 0.71393341519358, 0.37, 1.6225003546651444, 0.29613269218055976, 0.53, 1.4290174444211643, 0.33047761104598977, -0.45, 1.7644441260356474, 0.7326256800324118]","[1.34, 1.34, 1.34, 1.34, 1.34, 1.34, 1.41, 1.41, 1.41, 1.41, 1.41, 1.41, 1.41, 1.72, 1.72, 1.72, 1.72, 1.72, 1.91, 1.91, 1.91, 1.91, 1.91]","[-0.8, -0.46, -0.14, 0.2, 0.41, 0.68, -0.74, -0.52, -0.24, 0.01, 0.2, 0.44, 0.76, -0.85, -0.32, -0.05, 0.27, 0.76, -0.54, -0.48, -0.11, 0.26, 0.64]","[0.05128205128205128, -0.2577777777777778, -0.4675324675324675, -0.07738095238095238, 0.09418837675350701, 0.470404984423676, -0.029315960912052116, -0.3025830258302583, -0.2972972972972973, -0.25925925925925924, -0.09580838323353294, 0.18333333333333332, 0.5483870967741935, -0.032624113475177303, -0.3960923623445826, -0.23159018143009605, 0.09014675052410902, 0.5357535753575358, -0.193717277486911, -0.27671232876712326, -0.1411192214111922, 0.12334801762114538, 0.37538461538461537]","[0.04616419393582261, 0.04554730428134763, 0.05036920157092888, 0.05439089636845251, 0.0315137236651435, 0.0348275491321225, 0.03293695775479176, 0.040940139734433216, 0.04732693331239702, 0.03285744737175167, 0.038513174386832404, 0.040132881134403345, 0.03754759324176632, 0.0376421309761479, 0.038697966049430245, 0.03178042979737441, 0.03224437550891797, 0.028006130605207256, 0.035493410943763244, 0.03556645886279281, 0.0345299574675502, 0.03293273859747565, 0.036354798446010785]","[0.0795015257365223, -0.3185815810772874, -0.34463023132877896, -0.11813084103181287, 0.10054450516659016, 0.41504962370241494, -0.06699784973810691, -0.3200869131140401, -0.3936257206009839, -0.27818145366246944, -0.10897895729642225, 0.16707256042372925, 0.570118467314511, -0.04526197734777995, -0.35993410251021585, -0.2184186611566341, 0.08381564019763811, 0.5672754117942668, -0.243371175879337, -0.2515994547092172, -0.14141058222878272, 0.11416484023454426, 0.3362593934637733]"
"[0.054590733377957806, 1.5739042911010566, 0.3222137770122566, 0.2159894233649635, 1.5576174609228226, 0.279530431540549, 0.20649538277749255, 1.4346191574843545, 0.2698948214386882, 0.10680795660904788, 1.7825946804459867, 0.5093716823781075]","[1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.41, 1.41, 1.41, 1.41, 1.41, 1.73, 1.73, 1.73, 1.73, 1.73, 1.73, 1.73, 1.8, 1.8, 1.8, 1.8, 1.8]","[-0.7, -0.6, -0.46, -0.13, 0.06, 0.09, 0.44, 0.63, 0.8, -0.69, -0.31, 0.12, 0.2, 0.68, -0.75, -0.42, -0.18, -0.09, 0.15, 0.36, 0.83, -0.67, -0.24, 0.08, 0.48, 0.61]","[-0.012437810945273632, -0.13366336633663367, -0.03910614525139665, -0.04190260475651189, -0.015544041450777202, -0.11864406779661017, 0.007444168734491315, 0.13418903150525088, 0.2975778546712803, -0.02054794520547945, -0.1291866028708134, -0.08617234468937876, -0.04602510460251046, 0.21311475409836064, -0.10166919575113809, -0.037037037037037035, 0.039182282793867124, -0.040473840078973346, 0.027777777777777776, 0.107981220657277, 0.3996316758747698, -0.039399624765478425, -0.1320754716981132, -0.013986013986013986, 0.10782865583456426, 0.11611374407582939]","[0.03526455277839648, 0.049305425777874806, 0.052811214035874535, 0.03362312226359539, 0.041553560808274145, 0.05781101839663889, 0.035222521703818926, 0.03385040368197306, 0.039710183218250907, 0.04137155775416926, 0.06859181049637637, 0.0445996290100842, 0.03730610850603124, 0.04422794211700233, 0.038752617506883004, 0.06410601616212852, 0.041242721699850854, 0.03139346622921336, 0.03725341884127565, 0.03405911830756817, 0.039338323893788385, 0.043281175677720045, 0.06807861956839538, 0.05912545602694618, 0.03820903751702877, 0.0341885904036354]","[-0.007581893685647404, -0.028944880554161088, -0.05417811027825328, -0.08181191563315426, -0.06986600122892155, -0.06569749323986863, 0.037729143102489905, 0.14293485067728318, 0.2713750762020283, -0.04685077332267002, -0.10689946987195478, -0.06509771454964755, -0.0386528828785194, 0.28559258788430825, -0.06755436135948428, -0.04940934503478072, -0.040218020981545026, -0.03356319638808155, 0.0021287041360655385, 0.06538683076550125, 0.37644696269275923, -0.046651862675563774, -0.02124372532521211, -2.061902551603341e-05, 0.09850977122146229, 0.15999813075479993]"
"[-0.5189982262563774, 1.6064295228616987, 0.4595074277239698, 0.14291255505610392, 1.4200043523936703, 0.6089638124173176, 0.42873766516831174, 1.6025255664257954, 0.6417448654713942, 0.6543890678884758, 1.535226083956537, 0.41738735285656575]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.42, 1.42, 1.42, 1.42, 1.67, 1.67, 1.67, 1.67, 1.67, 1.67, 1.67, 1.67, 1.86, 1.86, 1.86, 1.86, 1.86, 1.86, 1.86, 1.86, 1.86]","[-0.72, -0.58, -0.32, -0.07, 0.11, 0.39, 0.54, 0.69, -0.77, -0.27, 0.39, 0.78, -0.7, -0.46, -0.3, -0.1, 0.05, 0.23, 0.63, 0.64, -0.68, -0.5, -0.42, -0.22, -0.02, 0.19, 0.31, 0.61, 0.81]","[-0.3333333333333333, -0.17176470588235293, -0.1661807580174927, -0.43558282208588955, -0.5, -0.5157116451016636, -0.5031525851197982, -0.343811394891945, -0.3237997957099081, -0.3127413127413127, -0.7329376854599406, -0.19460500963391136, -0.28264462809917357, -0.32909379968203495, -0.35276073619631904, -0.4892601431980907, -0.5876288659793815, -0.7753424657534247, -0.5313432835820896, -0.5614849187935035, -0.2463768115942029, -0.26053042121684866, -0.32710280373831774, -0.43018867924528303, -0.46855345911949686, -0.5669291338582677, -0.6649029982363316, -0.5038560411311054, -0.1552346570397112]","[0.06804138174397717, 0.03378995475186548, 0.053244141896107794, 0.040706129360235335, 0.03633761873336319, 0.03683508481590216, 0.030688556264642876, 0.04162215965500433, 0.03023830601171032, 0.034075260622520795, 0.03705807252897384, 0.04305592747355094, 0.0389980294947559, 0.03765159651605777, 0.03664537113275576, 0.030127503753741746, 0.03353954213120338, 0.033056367832006744, 0.03272851499867071, 0.028184318054282953, 0.04125078977523864, 0.03813360001712534, 0.030451837188386646, 0.03921247636093619, 0.03503048214287368, 0.03654873128076664, 0.03136809967365566, 0.030968287324527832, 0.05935581386776937]","[-0.24055564678420108, -0.1814265875982063, -0.22828185812977042, -0.37153811074783755, -0.4738102825168766, -0.52787510822696, -0.4596822883059284, -0.2941453877011883, -0.3791955668341938, -0.3260444189959983, -0.7109933332185393, -0.22649353570336442, -0.3299659333141615, -0.26910510369501156, -0.3417738373796338, -0.4958882213093292, -0.6178738381204382, -0.724770455900029, -0.5567244905970877, -0.5417651223049064, -0.2802884198406989, -0.2515824852445135, -0.26959823074269873, -0.3677314439492562, -0.4973516784315451, -0.6066663083525374, -0.6325655921223031, -0.48926354356143625, -0.15698451985913534]"
"[-0.21783514535093418, 1.6822238420317457, 0.4997378860911555, 0.07261171511697806, 1.4019005904477435, 0.5341709499380345, -0.1914308853083967, 1.4601704028740707, 0.2659431089962079, -0.15622520525168007, 1.4389679937379591, 0.2774521793683669]","[1.27, 1.27, 1.27, 1.27, 1.27, 1.27, 1.27, 1.27, 1.27, 1.57, 1.57, 1.57, 1.57, 1.57, 1.57, 1.57, 1.57, 1.65, 1.65, 1.65, 1.65, 1.82, 1.82, 1.82, 1.82, 1.82, 1.82, 1.82]","[-0.72, -0.65, -0.48, -0.16, -0.06, 0.11, 0.4, 0.63, 0.84, -0.82, -0.59, -0.34, -0.05, 0.17, 0.24, 0.42, 0.84, -0.45, -0.12, 0.0, 0.46, -0.8, -0.58, -0.36, 0.04, 0.17, 0.37, 0.7]","[-0.15261958997722094, -0.2111111111111111, -0.19298245614035087, -0.1100811123986095, -0.10236220472440945, 0.04798464491362764, 0.04801097393689986, -0.043348281016442454, -0.17118997912317327, -0.3526570048309179, -0.32941176470588235, -0.14285714285714285, -0.03763440860215054, 0.09090909090909091, 0.06542056074766354, 0.007957559681697613, -0.3177257525083612, -0.19605077574047955, -0.16778523489932887, -0.1450381679389313, 0.006550218340611353, -0.24804992199687986, -0.2508833922261484, -0.1393188854489164, -0.08668076109936575, -0.12065439672801637, -0.059967585089141004, -0.05855338691159587]","[0.04716827001789507, 0.04206327021782147, 0.0410980379354529, 0.03383351901464508, 0.044134769870294493, 0.04376032861578447, 0.03699432623204543, 0.03862589198244283, 0.03183159613616633, 0.0650393057280213, 0.05120569503234153, 0.031173984319427483, 0.05181085459634048, 0.04870906543425635, 0.04823327636745122, 0.05150098959271506, 0.05483481872977311, 0.03682697111623476, 0.04662785494434534, 0.0611269461776976, 0.033040221198647524, 0.038263215905298784, 0.057542656585120804, 0.055098848637970134, 0.045806986497215665, 0.044891200365392375, 0.04018603192218477, 0.03382557237640602]","[-0.25076467237257316, -0.2415092876503103, -0.19742811448064643, -0.07239026191218102, -0.033610013911250174, 0.019360977293411262, 0.0372191548205262, -0.052120888389155795, -0.24512465667053687, -0.3161808191547675, -0.280514427659194, -0.18372396422509962, -0.056298295865025515, 0.008389258368935882, 0.01727126128927814, 0.003549767762371186, -0.31802006698466534, -0.22698406007840133, -0.10244589040142815, -0.062244982299369124, -0.035366250596422844, -0.24524035861784194, -0.22453498563789662, -0.18368618922225172, -0.10337020350118672, -0.08688978673508345, -0.08129002513373029, -0.14964701398532262]"
"[0.29, 1.468303501256758, 0.6379370244005071, -0.25, 1.543441367005131, 0.4090054457469328, -0.45, 1.4391555442389181, 0.3727294637397552, -0.03, 1.4054653741719767, 0.3300563543950221]","[1.25, 1.25, 1.25, 1.25, 1.25, 1.25, 1.56, 1.56, 1.56, 1.56, 1.76, 1.76, 1.76, 1.76, 1.76, 1.76, 1.91, 1.91, 1.91, 1.91, 1.91, 1.91, 1.91, 1.91]","[-0.64, -0.3, -0.04, 0.02, 0.3, 0.79, -0.71, -0.12, 0.14, 0.5, -0.64, -0.44, -0.21, 0.27, 0.37, 0.79, -0.7, -0.64, -0.31, -0.18, 0.2, 0.31, 0.61, 0.66]","[0.3037974683544304, 0.36886993603411516, 0.35064935064935066, 0.39029535864978904, 0.21976149914821125, -0.11212814645308924, 0.23613312202852615, 0.4350282485875706, 0.3174129353233831, 0.205607476635514, 0.27823691460055094, 0.3019271948608137, 0.32247557003257327, 0.24358974358974358, 0.2350791717417783, -0.19486581096849476, 0.24737631184407796, 0.25290697674418605, 0.31277533039647576, 0.2932330827067669, 0.22121896162528218, 0.19148936170212766, -0.0037546933667083854, -0.031630170316301706]","[0.053595623115665444, 0.030348631171033463, 0.040338204564349465, 0.02990261149244271, 0.040265407464933074, 0.0475348187156238, 0.03868359088724767, 0.03026717979599683, 0.02991279245951078, 0.047304086028873316, 0.03564796153560579, 0.04411489692415066, 0.054024047810198275, 0.044832643136854006, 0.03392220416571802, 0.0335045115427332, 0.03751671212490909, 0.03688523332806593, 0.06304224136954466, 0.058618633620568385, 0.032763296561851195, 0.06402565391276431, 0.03537720751220133, 0.04930168147652822]","[0.23336204426653942, 0.36974264943273455, 0.3873498231025804, 0.37971609566264053, 0.2814603961965439, -0.1641189972089646, 0.22989364879311386, 0.4216426633935374, 0.36703980654156804, 0.12900750239339087, 0.2547601673657675, 0.31720826056213125, 0.3461885531851237, 0.24327408450660856, 0.1916338076854761, -0.1500925817414835, 0.20380256942518127, 0.21890214918716025, 0.26606627050442455, 0.2670965552918155, 0.20864581754681635, 0.17369006571309448, 0.03445998512498183, 0.004782710483692857]"
"[-0.19, 1.7942817367384365, 0.6517425061157083, -0.45, 1.6348559936453373, 0.3309828621223907, 0.03, 1.5621667621302406, 0.2833774885031668, 0.07, 1.5000149795230076, 0.4642133955245916]","[1.37, 1.37, 1.37, 1.37, 1.37, 1.37, 1.37, 1.37, 1.37, 1.43, 1.43, 1.43, 1.43, 1.43, 1.43, 1.43, 1.43, 1.43, 1.73, 1.73, 1.73, 1.73, 1.73, 1.73, 1.92, 1.92, 1.92, 1.92]","[-0.67, -0.61, -0.3, -0.26, -0.02, 0.17, 0.34, 0.53, 0.79, -0.76, -0.64, -0.39, -0.28, 0.01, 0.16, 0.41, 0.52, 0.79, -0.58, -0.48, -0.16, 0.2, 0.48, 0.69, -0.52, -0.07, 0.28, 0.51]","[0.16186252771618626, 0.1825, 0.01394169835234474, 0.02702702702702703, -0.05726872246696035, -0.18716577540106952, -0.29390018484288355, -0.35444947209653094, -0.41037735849056606, 0.267741935483871, 0.14953271028037382, 0.06835443037974684, 0.01642710472279261, -0.13513513513513514, -0.13885350318471337, -0.3282674772036474, -0.3702127659574468, -0.4588859416445623, 0.2421340629274966, 0.15966386554621848, -0.07589285714285714, -0.2624113475177305, -0.4368231046931408, -0.48164627363737483, 0.11587982832618025, -0.04218928164196123, -0.20812182741116753, -0.3668639053254438]","[0.03285728938556006, 0.034761576309195186, 0.03559748266272144, 0.051968533613843584, 0.04685530011127478, 0.05079498934504149, 0.04109460437774795, 0.036315310370640834, 0.03131531709050914, 0.038694716151403186, 0.03379501097802623, 0.03549518904551055, 0.032037743241730136, 0.039506866748370006, 0.03534578425394659, 0.036823749757681414, 0.06059781991451566, 0.04575983008309119, 0.035885726361008966, 0.03694396260017888, 0.04710930190967308, 0.0363423494186601, 0.05404856671477481, 0.029228433044049602, 0.06507083843425478, 0.03373753521270723, 0.06968694700966675, 0.05060026881402284]","[0.19020568740776492, 0.16817566032145728, 0.03392066994801794, 0.014933479832890749, -0.1012432174084737, -0.19040339028266684, -0.26276101839539523, -0.32990121601377664, -0.38780161686288506, 0.25729447025022545, 0.20959401011085807, 0.09085429428577041, 0.03314539582683242, -0.12378875554261014, -0.20229080676159183, -0.3188210916389456, -0.36142605065358524, -0.4339316870449511, 0.20662032091219518, 0.15220272889595265, -0.036600569475827155, -0.25031895403072724, -0.3946222727315935, -0.47862669972179334, 0.09576979242948762, -0.09317541520287495, -0.24081035862528608, -0.3244263459315261]"
"[0.45, 1.6069125383874066, 0.6782937431795346, -0.81, 1.4826590086289522, 0.6162089774671218, 0.43, 1.5100601741035242, 0.4569110229177078, 0.37, 1.525672226382342, 0.37756214428413176]","[1.32, 1.32, 1.32, 1.32, 1.32, 1.32, 1.32, 1.32, 1.48, 1.48, 1.48, 1.48, 1.48, 1.48, 1.48, 1.61, 1.61, 1.61, 1.61, 1.95, 1.95, 1.95, 1.95, 1.95, 1.95, 1.95, 1.95]","[-0.73, -0.62, -0.33, -0.15, 0.1, 0.4, 0.59, 0.64, -0.73, -0.41, -0.29, -0.05, 0.26, 0.48, 0.76, -0.58, -0.31, 0.05, 0.81, -0.69, -0.59, -0.27, -0.03, 0.07, 0.35, 0.48, 0.66]","[0.7961630695443646, 0.7582089552238805, 0.44488977955911824, 0.07142857142857142, -0.017085427135678392, -0.3275862068965517, -0.136, -0.21495327102803738, 0.8369781312127237, 0.5989847715736041, 0.38950276243093923, 0.15022761760242792, -0.132, -0.27092198581560284, -0.02176696542893726, 0.6981132075471698, 0.37551020408163266, -0.026438569206842923, 0.10909090909090909, 0.5960264900662252, 0.501432664756447, 0.28517110266159695, 0.20689655172413793, 0.0078125, -0.13653136531365315, -0.06887755102040816, -0.01263157894736842]","[0.020952280105018522, 0.025189407280279706, 0.028349258278369587, 0.05228036105081428, 0.03169750379626387, 0.06203055688359852, 0.04430584611538301, 0.0667606651241886, 0.024400062244146103, 0.028525908684435237, 0.034229635597238045, 0.038512392087793945, 0.04433003496502118, 0.03625366261960007, 0.03577433538138107, 0.031100505044986196, 0.041869381112649214, 0.03942236503290226, 0.031592403727582756, 0.026676717679621074, 0.032748177024773686, 0.041791566867366896, 0.06423266628131125, 0.06249809262226247, 0.06017683615736146, 0.03562946862352402, 0.032441695770027944]","[0.7560777189937713, 0.6950287686490405, 0.4297867418808302, 0.23043574384273088, -0.02533820191494915, -0.19838460113670608, -0.17438769035908025, -0.14539330555474284, 0.802562429922503, 0.5540404454791369, 0.4172575690467186, 0.12937183873594169, -0.15990223663053188, -0.22160916305702558, -0.01771859849937634, 0.7098315709610404, 0.4422688233040177, 0.02861020103192609, 0.06966712809309444, 0.5993026235329632, 0.5474351296548868, 0.32079801730360674, 0.13626269704877386, 0.06735340764642883, -0.0663318832878573, -0.08458571304620532, -0.046879710137062804]"
