coefficients,x_known,y_known,z_known,e_known,z_func_known
"[-0.40127945342360705, 1.4635509288518003, 0.4182234182762696, 0.40127945342360705, 1.600992950876294, 0.5813183856732881, 0.39057866799897756, 1.7081303776369572, 0.5547816234902807, -0.4975865222452728, 1.5389389462130216, 0.5634289012261497]","[1.29, 1.29, 1.29, 1.29, 1.29, 1.29, 1.29, 1.29, 1.42, 1.42, 1.42, 1.42, 1.42, 1.42, 1.42, 1.42, 1.42, 1.65, 1.65, 1.65, 1.65, 1.65, 1.65, 1.89, 1.89, 1.89, 1.89, 1.89]","[-0.85, -0.5, -0.27, -0.05, 0.08, 0.39, 0.5, 0.73, -0.85, -0.54, -0.32, -0.21, -0.09, 0.19, 0.39, 0.47, 0.74, -0.65, -0.45, -0.22, 0.07, 0.43, 0.56, -0.68, -0.21, -0.1, 0.34, 0.81]","[-0.3411764705882353, -0.6300940438871473, -0.6620583717357911, -0.5313351498637602, -0.40502793296089384, -0.16971279373368145, -0.08461538461538462, -0.14776632302405499, -0.35093167701863354, -0.6620825147347741, -0.6732984293193718, -0.6997690531177829, -0.5265700483091788, -0.3333333333333333, -0.23809523809523808, -0.1967479674796748, -0.08960573476702509, -0.5178082191780822, -0.6267942583732058, -0.566412213740458, -0.32592592592592595, -0.14473684210526316, -0.09046454767726161, -0.3435897435897436, -0.45323741007194246, -0.42296918767507, -0.12162162162162163, 0.16071428571428573]","[0.03853621271760798, 0.02510128897717224, 0.02937335052504058, 0.03126930920655454, 0.03416915638313232, 0.050356368854253805, 0.04369563075953737, 0.057977514120335596, 0.03689937126130528, 0.0332179426886814, 0.02392547821743704, 0.024275251662979145, 0.03411461179436613, 0.03959425806109991, 0.0514035676969861, 0.03953572506699935, 0.059627602166548006, 0.04477874520722096, 0.03811117449280475, 0.03220111429786038, 0.04068333653806096, 0.040128314884743645, 0.034820815613890534, 0.03362588456752675, 0.053462009980841975, 0.047958229557500266, 0.05769233933038763, 0.03525003470774357]","[-0.34746702427402937, -0.6367692858767895, -0.6119292530434111, -0.49191890639792446, -0.39785028560191327, -0.17604317082704993, -0.11848762843791572, -0.07455175911319063, -0.37075168513415674, -0.6811999108348318, -0.6868422508746602, -0.6428423581589684, -0.5699415297519458, -0.34799523045193953, -0.1946405498753093, -0.1453123221221441, -0.07428318136279664, -0.5872440480753013, -0.6793948769734368, -0.6311552847774022, -0.4289858820638797, -0.13657326716684148, -0.062619572828366, -0.40943855607955015, -0.4788705219284585, -0.4238303731667616, -0.11231619837175963, 0.06543365457479178]"
"[-0.5064388833910436, 1.4272889694877018, 0.6983707739959233, 0.08696425270351255, 1.725476912134302, 0.6035069503909409, -0.09719534125686696, 1.6100664448914295, 0.6269369745149695, 0.465514529177626, 1.5873445949817342, 0.6190634656155056]","[1.38, 1.38, 1.38, 1.38, 1.38, 1.38, 1.38, 1.38, 1.57, 1.57, 1.57, 1.57, 1.57, 1.57, 1.57, 1.68, 1.68, 1.68, 1.68, 1.68, 1.95, 1.95, 1.95, 1.95]","[-0.78, -0.56, -0.38, -0.17, 0.15, 0.23, 0.48, 0.65, -0.75, -0.39, -0.34, -0.01, 0.17, 0.43, 0.67, -0.71, -0.18, 0.04, 0.32, 0.62, -0.64, -0.27, 0.19, 0.62]","[-0.28903654485049834, -0.14871794871794872, -0.1554524361948956, -0.2079207920792079, -0.2859744990892532, -0.375, -0.334384858044164, -0.3657289002557545, -0.3232876712328767, -0.2600349040139616, -0.21189591078066913, -0.19626168224299065, -0.2737864077669903, -0.41375661375661377, -0.3873015873015873, -0.3333333333333333, -0.12788906009244994, -0.22259887005649717, -0.3464447806354009, -0.32956152758132956, -0.16, -0.20279720279720279, -0.19111111111111112, -0.25478348439073517]","[0.05517889588089066, 0.050073867787528516, 0.03364607898677851, 0.034411044454821856, 0.04089656831949154, 0.046351240544347895, 0.037428939332337804, 0.047068605626204636, 0.03502416155516394, 0.040338486005537376, 0.042134060319687985, 0.05472905087432846, 0.04238155403213446, 0.029614908739579275, 0.03673148989570404, 0.044151078568834795, 0.03893110322899429, 0.03277124519941863, 0.0364867085403252, 0.03550781732639544, 0.06243076164840535, 0.03662078004114413, 0.06543789398981047, 0.030686757989285326]","[-0.3552053612433481, -0.2005317817900146, -0.16803651329272407, -0.20168950197200317, -0.315783282039747, -0.34231721363391804, -0.38208270314414466, -0.346462467413529, -0.325164184596804, -0.15727738531809926, -0.15860312992267647, -0.2485306666938906, -0.31846902532575394, -0.3794821037884299, -0.33266025531770643, -0.27691554358890896, -0.17777034531726682, -0.25584115265213814, -0.3494227765200258, -0.3392695067988918, -0.1820868795347, -0.12234662805226515, -0.2523123768220943, -0.27390177046096204]"
"[0.10985180599514109, 1.5366401299274934, 0.4434330297378661, -0.017718033225022755, 1.4246559846255347, 0.4939330535044107, 0.3437298445654415, 1.580182868163497, 0.25324996777157033, -0.017718033225022755, 1.5661610124161123, 0.5083121638408952]","[1.34, 1.34, 1.34, 1.34, 1.34, 1.34, 1.34, 1.52, 1.52, 1.52, 1.52, 1.52, 1.52, 1.52, 1.7, 1.7, 1.7, 1.7, 1.7, 1.7, 1.7, 1.7, 1.7, 1.86, 1.86, 1.86, 1.86, 1.86]","[-0.76, -0.38, -0.34, -0.09, 0.35, 0.39, 0.79, -0.75, -0.43, -0.21, 0.11, 0.31, 0.41, 0.8, -0.75, -0.53, -0.39, -0.19, -0.02, 0.16, 0.44, 0.62, 0.79, -0.64, -0.34, -0.14, 0.48, 0.81]","[0.168141592920354, -0.027918781725888325, -0.06227106227106227, -0.003278688524590164, -0.046263345195729534, -0.05018359853121175, 0.2984749455337691, 0.246422893481717, 0.03391812865497076, -0.14380530973451328, -0.1356382978723404, -0.05735140771637122, -0.060658578856152515, 0.26594090202177295, 0.2727272727272727, 0.08171206225680934, -0.033846153846153845, -0.11943793911007025, -0.12, -0.20884520884520885, 0.012048192771084338, 0.14713896457765668, 0.323943661971831, 0.10333863275039745, 0.05365853658536585, -0.07550077041602465, 0.025210084033613446, 0.22141823444283648]","[0.035049692098793606, 0.03560963876007482, 0.06040529519773409, 0.04048859888505265, 0.03440495189901517, 0.034941489937020724, 0.04454839249924886, 0.03864303550799311, 0.03417960064214878, 0.03291380592480806, 0.03612924222588789, 0.0322385337997369, 0.041553885102242664, 0.0380160283097493, 0.04022706171533725, 0.06216969180642911, 0.05543823834113675, 0.033974342480125166, 0.05126662332031111, 0.04847511782870804, 0.054878146534125365, 0.036508931479804, 0.05021252029120979, 0.03965914243483562, 0.04931533085358773, 0.03914139422871027, 0.037412165138740267, 0.037097555231220485]","[0.2262933395776012, -0.008390131070176015, -0.023607876461575042, -0.07931267986446934, -0.019315354920326065, -0.004307908312911969, 0.22846014305686035, 0.2892711872229486, -0.01858182657515748, -0.13070943454976577, -0.15419083888279023, -0.08750465546665594, -0.031335695986510564, 0.32855888396947996, 0.26701340834177867, 0.05508243449621956, -0.04035533750136192, -0.12477804944868523, -0.14959137766166658, -0.13000724801039049, -0.008515640248062836, 0.1263242537783243, 0.29318627284134297, 0.11202670797996432, -0.021838780112933977, -0.06367432126367346, 0.030909090151115568, 0.20894310402715488]"
"[0.2989818408463762, 1.4269765726276762, 0.2986235057877443, 0.2383188586456622, 1.4681345965401973, 0.575619574877386, -0.004333070157193858, 1.7805762276811201, 0.5174971667827377, -0.35964482304709017, 1.5553172029401199, 0.2785919316912692]","[1.29, 1.29, 1.29, 1.29, 1.29, 1.29, 1.29, 1.29, 1.29, 1.46, 1.46, 1.46, 1.46, 1.7, 1.7, 1.7, 1.7, 1.86, 1.86, 1.86, 1.86, 1.86]","[-0.82, -0.48, -0.45, -0.29, -0.02, 0.17, 0.34, 0.54, 0.7, -0.45, -0.37, 0.3, 0.6, -0.61, -0.41, 0.18, 0.78, -0.75, -0.41, 0.0, 0.25, 0.58]","[0.24253285543608125, 0.07373271889400922, 0.1506849315068493, 0.20461095100864554, 0.3371104815864023, 0.5135135135135135, 0.5983263598326359, 0.567479674796748, 0.4992721979621543, 0.09915611814345991, 0.23776223776223776, 0.6554054054054054, 0.6910016977928692, 0.039806996381182146, -0.018867924528301886, 0.4318181818181818, 0.3997599039615846, -0.010416666666666666, -0.1111111111111111, 0.11467889908256881, 0.28107074569789675, 0.25]","[0.03353305425455923, 0.04787087774276649, 0.03856825082519341, 0.05254706573510884, 0.0354325062260196, 0.05331859047741318, 0.029923322910665143, 0.033202184733008774, 0.033056945977415535, 0.03231843251793582, 0.057435555807871026, 0.03104170458032749, 0.029784644510843238, 0.03470390700897676, 0.06866805584483521, 0.032049776978282166, 0.03175899678157637, 0.03227311014760643, 0.032962530332591465, 0.033640857334954255, 0.041964184763826844, 0.06987712429686843]","[0.27791464498378105, 0.13915244134781313, 0.14276491631437785, 0.192276130783753, 0.34764142560890804, 0.46670346893481973, 0.5485036803986891, 0.5809358996052378, 0.5322434438221518, 0.10599482382560124, 0.12861993275406247, 0.6333310816920678, 0.6708317103365028, 0.013473285405940467, 0.0021220421346409392, 0.40682968273089554, 0.37303810031661805, 0.020281960259794653, -0.03868127925645349, 0.14123540730511572, 0.268814727688984, 0.32379798896160783]"
"[0.0938918935218518, 1.693761371275434, 0.6845222214958933, -0.6716881613486322, 1.4731859412546753, 0.2996149349616466, -0.0938918935218518, 1.4439048208077998, 0.3142507109519797, 0.5850187211746152, 1.745882733018867, 0.5574416665753399]","[1.33, 1.33, 1.33, 1.33, 1.33, 1.4, 1.4, 1.4, 1.4, 1.4, 1.4, 1.63, 1.63, 1.63, 1.63, 1.63, 1.63, 1.63, 1.63, 1.63, 1.87, 1.87, 1.87, 1.87, 1.87, 1.87, 1.87, 1.87, 1.87]","[-0.83, -0.19, -0.15, 0.2, 0.73, -0.6, -0.44, -0.22, 0.27, 0.56, 0.65, -0.83, -0.56, -0.32, -0.14, 0.06, 0.1, 0.39, 0.48, 0.71, -0.8, -0.65, -0.38, -0.24, 0.08, 0.2, 0.3, 0.57, 0.71]","[0.5625, 0.32590529247910865, 0.2727272727272727, -0.16739446870451238, -0.6093418259023354, 0.6666666666666666, 0.6341948310139165, 0.38306451612903225, -0.21385542168674698, -0.5799373040752351, -0.578494623655914, 0.5854700854700855, 0.6208530805687204, 0.43103448275862066, 0.3151041666666667, 0.041025641025641026, -0.06060606060606061, -0.329608938547486, -0.5848214285714286, -0.6200578592092575, 0.3033381712626996, 0.47247119078104993, 0.3798449612403101, 0.2653061224489796, -0.012987012987012988, -0.1465798045602606, -0.21777777777777776, -0.3064935064935065, -0.2994350282485876]","[0.03353105762808407, 0.03528210504488752, 0.03984575394650725, 0.03761404960356603, 0.036535255904458414, 0.03833697551901968, 0.024376864588217986, 0.04147632380596573, 0.03790972668633349, 0.02633425371740408, 0.037826541583584256, 0.026498362693727795, 0.053967756406104864, 0.0592412249675808, 0.034246147976613, 0.050594336786012925, 0.037045257583001485, 0.049898162985789606, 0.03832380533164061, 0.024363216089002965, 0.03630194999010634, 0.03153704351719255, 0.03642381462682802, 0.061598193102014025, 0.0328948103364509, 0.0325952102570197, 0.06506655872621418, 0.034303112775292494, 0.04140513773668568]","[0.5917273565804235, 0.3337716211991453, 0.287877360327726, -0.15169431691432517, -0.6071424881989512, 0.6903626381611051, 0.6109934157237538, 0.39611014692507795, -0.26124069986465753, -0.5711999153665699, -0.6297469620210479, 0.5728581041987425, 0.6584649558558581, 0.5018006244120012, 0.2939719809208234, 0.020508963338689564, -0.035427340270754414, -0.40140906396610315, -0.4861400736880144, -0.5946014085448998, 0.2960496432353316, 0.40622872896173173, 0.38457053110162365, 0.2948134289101872, -0.0020047809511605074, -0.11492010746987594, -0.19755611570390705, -0.3186517095618766, -0.29293219777889856]"
"[0.25, 1.6251568304238637, 0.46173576544804956, -0.43, 1.7226987012071742, 0.30580698976828063, 0.31, 1.6935374160093928, 0.5530848809783846, 0.15, 1.58384268764916, 0.3985128866823341]","[1.29, 1.29, 1.29, 1.29, 1.29, 1.29, 1.29, 1.29, 1.29, 1.42, 1.42, 1.42, 1.42, 1.42, 1.67, 1.67, 1.67, 1.67, 1.67, 1.93, 1.93, 1.93, 1.93]","[-0.79, -0.62, -0.37, -0.24, -0.02, 0.13, 0.32, 0.54, 0.78, -0.74, -0.3, 0.08, 0.37, 0.71, -0.7, -0.42, -0.14, 0.38, 0.69, -0.84, -0.16, 0.32, 0.74]","[0.3942161339421613, 0.3162393162393162, 0.20437956204379562, 0.1896551724137931, 0.0390015600624025, 0.05737704918032787, -0.036468330134357005, -0.03464755077658303, 0.024336283185840708, 0.5954545454545455, 0.20950965824665677, 0.08315565031982942, -0.04583333333333333, -0.04201680672268908, 0.7181571815718157, 0.411214953271028, 0.19916142557651992, -0.08793456032719836, -0.17343173431734318, 0.582089552238806, 0.155049786628734, -0.14323258869908015, -0.07334525939177101]","[0.03585429756798905, 0.031008557801137836, 0.04181618174670779, 0.052632725374929995, 0.03946757349701296, 0.04519329782720758, 0.043781652896172654, 0.034544303401879854, 0.03324965475435736, 0.03830006777520471, 0.037691673658145096, 0.04601578337315781, 0.04559557968239985, 0.052878874008383314, 0.025615730858618374, 0.06231148250067027, 0.031727593268220576, 0.0318526052184514, 0.04230275333941454, 0.02995183272887922, 0.03725960526424298, 0.035876200214522945, 0.04218157515447919]","[0.3981259507446331, 0.34515364437200813, 0.24077839209543328, 0.18181943874732412, 0.08795750141860985, 0.03616180690251082, -0.004896358490366466, -0.003710109235227084, 0.07775043286225586, 0.5270048739866595, 0.27936944014645554, 0.054788081150321896, -0.04888107706435215, -0.02113265290555775, 0.6826068367812577, 0.4597727628208274, 0.2170282152606196, -0.12184127233010962, -0.14988266585421378, 0.6393003358331026, 0.1744899248748362, -0.08063797220529811, -0.10058676428252974]"
"[0.3337051922902703, 1.5513784955312502, 0.26315012375979896, 0.12170424659998094, 1.6966609802585895, 0.5284695678110783, 0.36511273979994285, 1.67621257533867, 0.7041998160993391, -0.15311179410965345, 1.5550119581210613, 0.5454032868704943]","[1.32, 1.32, 1.32, 1.32, 1.32, 1.32, 1.32, 1.32, 1.32, 1.44, 1.44, 1.44, 1.44, 1.71, 1.71, 1.71, 1.71, 1.71, 1.71, 1.71, 1.71, 1.93, 1.93, 1.93, 1.93, 1.93, 1.93, 1.93, 1.93, 1.93]","[-0.78, -0.59, -0.38, -0.25, -0.09, 0.14, 0.3, 0.49, 0.68, -0.8, -0.37, 0.28, 0.47, -0.65, -0.54, -0.35, -0.19, 0.14, 0.36, 0.6, 0.8, -0.73, -0.55, -0.47, -0.12, 0.07, 0.12, 0.36, 0.5, 0.69]","[0.3662551440329218, 0.26914660831509846, 0.29466357308584684, 0.24160346695557963, 0.22469982847341338, 0.23243243243243245, 0.34018499486125386, 0.31921824104234525, 0.4366812227074236, 0.4857142857142857, 0.3524451939291737, 0.43466666666666665, 0.5714285714285714, 0.3081081081081081, 0.4010152284263959, 0.23692307692307693, 0.2070874861572536, 0.3567073170731707, 0.4339622641509434, 0.5, 0.5639269406392694, 0.043137254901960784, 0.07650273224043716, 0.1, 0.1038961038961039, 0.09052631578947369, 0.07352941176470588, 0.2141057934508816, 0.22203098106712565, 0.2980769230769231]","[0.034463498701617794, 0.045051881185146116, 0.046029683217618855, 0.031940284286430344, 0.04035668557339682, 0.05056371854786743, 0.03014651050883757, 0.038245301910404185, 0.029724159628983456, 0.029550569395588616, 0.03843003290131737, 0.0465063404677653, 0.04301384225689249, 0.04945840167792778, 0.04615100976094275, 0.05389070008598749, 0.032556531854910295, 0.03647501420841054, 0.03432273940397262, 0.037406600104036236, 0.027902030286130912, 0.06256413735753294, 0.052117650953142816, 0.049749371855330994, 0.0400730987833, 0.03231107006241839, 0.042758586719458716, 0.049024712557412795, 0.04045145926547417, 0.03821225613748785]","[0.3648880545824585, 0.2677707011956816, 0.2208722750848167, 0.21766629777247845, 0.2349124835265857, 0.2887700704196973, 0.3376988786009123, 0.3981758978521893, 0.4512820511860536, 0.4959438368741145, 0.32781689612592885, 0.4506473341826441, 0.5167535956271727, 0.3587706140777977, 0.31454901627895443, 0.279435847080157, 0.2834853253818988, 0.3593425108990145, 0.43732603011798676, 0.523956454229748, 0.581771711353664, 0.16605498030000673, 0.08872453562957962, 0.0684494287917785, 0.061430335687500615, 0.09924505872614979, 0.11249969282304662, 0.1878967380412575, 0.2358218674693998, 0.2976106972864184]"
"[0.71, 1.5782019528798792, 0.7385171215073728, -0.19, 1.5745740633416987, 0.4506393282402889, -0.39, 1.574494701906592, 0.4940773428747363, 0.35, 1.7024454663087971, 0.48662736468213597]","[1.29, 1.29, 1.29, 1.29, 1.29, 1.29, 1.29, 1.44, 1.44, 1.44, 1.44, 1.44, 1.74, 1.74, 1.74, 1.74, 1.92, 1.92, 1.92, 1.92, 1.92, 1.92]","[-0.7, -0.57, -0.16, -0.06, 0.27, 0.44, 0.7, -0.59, -0.51, 0.14, 0.22, 0.52, -0.44, -0.42, 0.05, 0.55, -0.79, -0.42, -0.17, 0.23, 0.38, 0.56]","[0.44981412639405205, 0.525383707201889, 0.574750830564784, 0.48826291079812206, 0.3472987872105843, 0.29380053908355797, 0.1375166889185581, 0.5591054313099042, 0.6261682242990654, 0.45454545454545453, 0.36570561456752654, 0.17746478873239438, 0.6621880998080614, 0.6582914572864321, 0.4115308151093439, 0.14106583072100312, 0.25065963060686014, 0.548235294117647, 0.5387755102040817, 0.3211009174311927, 0.256, 0.1717171717171717]","[0.038505231906767814, 0.029236081769309023, 0.02723226627419525, 0.04228228771384979, 0.031137627991856882, 0.04962612897638865, 0.0361920622169446, 0.0331373633671441, 0.05329837344216205, 0.04048743376501121, 0.03625611566796648, 0.03693363383303775, 0.03282907869278194, 0.05336196475704571, 0.040637132247821284, 0.03919448395797506, 0.04972668702614715, 0.04056767946454671, 0.038057983409967085, 0.05237170725856567, 0.061138007818377596, 0.031310004418787625]","[0.42774534609245357, 0.5158779012378678, 0.5466515561634981, 0.5135668602973121, 0.3511530870913078, 0.2611421489602623, 0.15769379082349877, 0.5572521600639551, 0.5997756724011911, 0.4467645631406458, 0.395916760350022, 0.21557011728163936, 0.6339219947333492, 0.6378118565577182, 0.4929591259015369, 0.18470351226290255, 0.32372576406365805, 0.57078055866879, 0.5415296676132114, 0.33779740531659097, 0.2544439531026614, 0.17755990627243057]"
"[-0.25, 1.5944775360791419, 0.4256011422253652, 0.09, 1.6941484700190563, 0.35404289403327804, 0.19, 1.5676832836274897, 0.5051264192542935, 0.89, 1.761581458879856, 0.6903738136821559]","[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.54, 1.54, 1.54, 1.54, 1.54, 1.54, 1.54, 1.74, 1.74, 1.74, 1.74, 1.74, 1.74, 1.74, 1.74, 1.84, 1.84, 1.84, 1.84, 1.84, 1.84]","[-0.77, -0.51, -0.44, -0.18, -0.09, 0.14, 0.44, 0.64, 0.68, -0.8, -0.61, -0.16, -0.04, 0.14, 0.54, 0.62, -0.65, -0.46, -0.41, -0.13, 0.03, 0.33, 0.59, 0.68, -0.76, -0.29, -0.18, 0.16, 0.31, 0.72]","[-0.15034168564920272, -0.054187192118226604, 0.014326647564469915, -0.16151202749140894, -0.16909620991253643, -0.16607773851590105, -0.17866666666666667, -0.17894736842105263, -0.18027210884353742, -0.3253536452665941, -0.1400437636761488, -0.21806167400881057, -0.28802588996763756, -0.437984496124031, -0.4369645042839657, -0.24183006535947713, -0.11409395973154363, -0.05329153605015674, -0.03937007874015748, -0.23076923076923078, -0.33055555555555555, -0.4047287899860918, -0.35495495495495494, -0.2163265306122449, -0.2121982210927573, -0.07092198581560284, -0.11561866125760649, -0.35766423357664234, -0.44664031620553357, -0.14285714285714285]","[0.03336478470280327, 0.0700831226462827, 0.05352327900924352, 0.040907108435779924, 0.03763036565758613, 0.05861831334969217, 0.05080887644817513, 0.03364725581357024, 0.0405636722711039, 0.031192215441479997, 0.03275109606556828, 0.03238754020103489, 0.054477247609867045, 0.039575498967383854, 0.03146877806097659, 0.04529059450873604, 0.03322660601311481, 0.039534121054645266, 0.05119183202820723, 0.03321796285288696, 0.03517284749576326, 0.03410273700378557, 0.03968359045331626, 0.062374865167848036, 0.03483436784167228, 0.042001563461442994, 0.04473569723200555, 0.035680584100895404, 0.05625016215838975, 0.06613000712661082]","[-0.13211566623104523, -0.024584922189524294, -0.02834025945210336, -0.1170147237119158, -0.16292526649132372, -0.2763779803833841, -0.32494443817732754, -0.2273759346816397, -0.19059960616911437, -0.2763773432587442, -0.11021390329374173, -0.2041178479240432, -0.28144520930901157, -0.38925635451768925, -0.3953706879529584, -0.3270008389661283, -0.11919647228770267, -0.06354279478591221, -0.06978928304640769, -0.20389207256874414, -0.311712620620939, -0.44377996636676875, -0.34956011636029194, -0.24548599820271103, -0.19992914297582604, -0.08282272928464557, -0.14324542204972018, -0.360816593549227, -0.41526795394894345, -0.17037292869457193]"
"[-0.57, 1.550959061982246, 0.6935417786674176, 0.95, 1.5928737059087736, 0.745434875214835, 0.99, 1.79123882549103, 0.6420496707130764, -0.37, 1.6301159346152119, 0.2532172766565431]","[1.39, 1.39, 1.39, 1.39, 1.39, 1.39, 1.39, 1.39, 1.39, 1.57, 1.57, 1.57, 1.57, 1.57, 1.73, 1.73, 1.73, 1.73, 1.73, 1.73, 1.96, 1.96, 1.96, 1.96, 1.96]","[-0.69, -0.56, -0.34, -0.26, 0.05, 0.19, 0.32, 0.51, 0.68, -0.81, -0.43, -0.07, 0.18, 0.75, -0.71, -0.35, -0.05, 0.17, 0.38, 0.6, -0.79, -0.18, 0.06, 0.29, 0.68]","[-0.6628242074927954, -0.7894736842105263, -0.8382099827882961, -0.7643020594965675, -0.4906832298136646, -0.30844155844155846, -0.10505836575875487, 0.0423728813559322, 0.21170731707317073, -0.3921815889029004, -0.9290407358738502, -0.7175141242937854, -0.3089887640449438, 0.25830258302583026, -0.5928473177441541, -0.918918918918919, -0.7494505494505495, -0.3507853403141361, -0.09923664122137404, 0.17037037037037037, -0.4010152284263959, -0.6945454545454546, -0.5036855036855037, -0.25038880248833595, 0.2693498452012384]","[0.02842311206846303, 0.03230444263072188, 0.02262483155780412, 0.021812660911244956, 0.028034841676117958, 0.03832668454770205, 0.043864017405229355, 0.0650359919558757, 0.030526757745243122, 0.03266617428477081, 0.013411671966006011, 0.030227432989885956, 0.03564269358945487, 0.04149600468924787, 0.029867475693871742, 0.015284490384885375, 0.03103786676736538, 0.04791325180998527, 0.05019433199551601, 0.03792729764323205, 0.032633691960569165, 0.030677400967613334, 0.04282129350954574, 0.03817992615777094, 0.0378903963769281]","[-0.6283303153275338, -0.7576030920289567, -0.8041146277050288, -0.7769307375629292, -0.5180113420008992, -0.3520894026067803, -0.18964923891647023, 0.036262115870827616, 0.19893936852534322, -0.39434441035708406, -0.9282352838854739, -0.7079309433358714, -0.3531969351456068, 0.29249799962312134, -0.6070026332792124, -0.9110773137185062, -0.6862857902642593, -0.3808838925551709, -0.06729433582008462, 0.201444616758815, -0.36025452782541273, -0.6885748771315934, -0.5201137355085317, -0.27377579747414504, 0.20411608367015796]"
