coefficients,x_known,y_known,z_known,e_known,z_func_known
"[0.57, 1.6616017160905554, 0.6734898475916379, 0.49, 1.6315596088168918, 0.36070327946820263, -0.79, 1.6723025101336235, 0.7357784016077658, -0.61, 1.478048842081166, 0.4588301847834385]","[1.28, 1.28, 1.28, 1.28, 1.57, 1.57, 1.57, 1.57, 1.57, 1.57, 1.57, 1.61, 1.61, 1.61, 1.61, 1.87, 1.87, 1.87, 1.87, 1.87, 1.87, 1.87, 1.87]","[-0.7, -0.1, 0.03, 0.62, -0.7, -0.37, -0.13, -0.07, 0.27, 0.53, 0.78, -0.62, -0.42, 0.08, 0.56, -0.66, -0.52, -0.34, -0.15, 0.06, 0.37, 0.46, 0.79]","[-0.1348464619492657, 0.3801526717557252, 0.5175718849840255, 0.6220472440944882, -0.2843273231622746, 0.056672760511883, 0.43790849673202614, 0.45821325648414984, 0.8629283489096573, 0.8521560574948666, 0.5807860262008734, -0.27044025157232704, 0.04469987228607918, 0.690566037735849, 0.8834688346883469, 0.0037735849056603774, -0.02456140350877193, 0.2422680412371134, 0.4025157232704403, 0.6446469248291572, 0.7436582109479306, 0.7551020408163265, 0.41015625]","[0.03620547413595859, 0.03613976148987447, 0.03419824145550023, 0.031071601995615556, 0.035704869252725126, 0.04268819389501286, 0.036340711350413606, 0.047715554034074126, 0.016283912282346703, 0.01676722056566762, 0.05379435173390172, 0.05398759670998913, 0.03570136389096509, 0.031416812814274914, 0.017245352782534123, 0.061429074305464376, 0.059217017985962045, 0.04925491749470437, 0.03629848941968605, 0.03648666066070274, 0.02442865050865198, 0.03539946582403295, 0.04030576132112702]","[-0.12869758912350332, 0.3628110720272969, 0.5046823310256888, 0.6295453979827829, -0.23910659480330904, 0.039226024931142356, 0.36794057723758833, 0.4519990587310779, 0.8294172457649935, 0.870765914610117, 0.5675892079320162, -0.2015129315963326, -0.016436784494544027, 0.6496518005735439, 0.8562790736179664, -0.12889230087177234, -0.02342587140660979, 0.1570773933844949, 0.3694066103755086, 0.5852807162408549, 0.7624990091042065, 0.7621431538102967, 0.46823975401587015]"
"[-0.11, 1.7086196764938177, 0.5748015030172611, -0.23, 1.7226691718404816, 0.42119339504111647, 0.39, 1.642278580112704, 0.2618964764874301, 0.53, 1.4909821559166292, 0.3384000951746568]","[1.22, 1.22, 1.22, 1.22, 1.4, 1.4, 1.4, 1.4, 1.4, 1.4, 1.4, 1.4, 1.7, 1.7, 1.7, 1.7, 1.7, 1.7, 1.7, 1.86, 1.86, 1.86, 1.86, 1.86]","[-0.83, -0.11, 0.07, 0.64, -0.69, -0.44, -0.35, -0.13, 0.07, 0.37, 0.44, 0.7, -0.73, -0.52, -0.18, 0.08, 0.15, 0.45, 0.78, -0.85, -0.47, -0.11, 0.36, 0.8]","[0.04404145077720207, 0.004379562043795621, -0.1902439024390244, -0.23, 0.29537366548042704, 0.24232081911262798, 0.1320754716981132, -0.06666666666666667, -0.4041095890410959, -0.4786729857819905, -0.5322338830584707, -0.21774193548387097, 0.3023255813953488, 0.10900473933649289, -0.20238095238095238, -0.47808764940239046, -0.561877667140825, -0.5566265060240964, 0.034990791896869246, 0.24570273003033366, 0.16417910447761194, -0.28232189973614774, -0.45038167938931295, 0.01680672268907563]","[0.03595586584076898, 0.03820766956745238, 0.04848452751902759, 0.04865953144040744, 0.0569933004035739, 0.056679465815541195, 0.043056699559247714, 0.05760658398584764, 0.053529387654072676, 0.03489709930327829, 0.032780380777300326, 0.06197646696762623, 0.03634058935063784, 0.0684326204331446, 0.0436217951502425, 0.039200988876077404, 0.03119920593803841, 0.04078054499512942, 0.04288782843390551, 0.030823384955532173, 0.06025583583717268, 0.049276944598289935, 0.031846409851753785, 0.0648112169353466]","[0.038228578685430406, -0.04615376029055519, -0.18766889609666565, -0.24120420817164606, 0.25772628556757204, 0.19361323531212443, 0.12007707468498005, -0.11459082298034642, -0.33101697912262423, -0.4984639769222668, -0.4881511018707073, -0.20481232192827964, 0.31925957351277023, 0.20327414341226685, -0.1670378610325605, -0.4393826218457466, -0.49112442114706756, -0.5189061577960199, 0.0016792760870187867, 0.25756461877414166, 0.10600444945897128, -0.1979014211277454, -0.4225807359109423, -0.01798557544136146]"
"[0.53, 1.6302779019994755, 0.456839051673217, 0.07, 1.7461194183762092, 0.7293894946291137, 0.19, 1.640988880782381, 0.4488258892646025, 0.29, 1.510374988040466, 0.6524722029585839]","[1.39, 1.39, 1.39, 1.39, 1.39, 1.39, 1.57, 1.57, 1.57, 1.57, 1.57, 1.57, 1.61, 1.61, 1.61, 1.61, 1.61, 1.61, 1.88, 1.88, 1.88, 1.88]","[-0.61, -0.49, -0.06, 0.02, 0.44, 0.59, -0.62, -0.44, -0.25, 0.28, 0.41, 0.75, -0.76, -0.39, -0.12, 0.1, 0.37, 0.65, -0.72, -0.25, 0.09, 0.78]","[0.4542483660130719, 0.4291799787007455, 0.37572254335260113, 0.34767025089605735, 0.30124777183600715, 0.3149847094801223, 0.5298245614035088, 0.4336917562724014, 0.47902869757174393, 0.3411764705882353, 0.3465346534653465, 0.5079006772009029, 0.4896265560165975, 0.4189189189189189, 0.45610278372591007, 0.40069686411149824, 0.31421121251629724, 0.4535017221584386, 0.43507972665148065, 0.3522012578616352, 0.41700404858299595, 0.49584487534626037]","[0.03601149103947743, 0.029475437796827028, 0.04067902865939375, 0.032408780110426326, 0.04025873937659039, 0.05248516996873946, 0.05023753870568842, 0.031145234624808348, 0.041242606050892756, 0.04162386702025077, 0.03810515531131918, 0.04092709209118485, 0.028083046591388057, 0.052777802311167105, 0.04118091517280753, 0.031224376683817542, 0.03427915377046355, 0.03019903717261657, 0.04297336229159126, 0.03711181205866674, 0.05783221660275365, 0.03231891506384808]","[0.4512983879174931, 0.44304752445743384, 0.34516159271061336, 0.3263659204121206, 0.3097943045369034, 0.3615246269654779, 0.5075480660511444, 0.4864366068435575, 0.44108599903507995, 0.3409825483170337, 0.3545592112613575, 0.5316263276927445, 0.5029704209835578, 0.4784365855308552, 0.40804895281018155, 0.35857403805657784, 0.35157842273584405, 0.4588150288620644, 0.4343620210843027, 0.3803862889124884, 0.31037756193211935, 0.4909087916722481]"
"[0.03, 1.4934197572658856, 0.2636242036942051, -0.91, 1.631097697493475, 0.711572129286006, -0.15, 1.5802420560079748, 0.3626528587572306, 0.19, 1.6365088061064348, 0.6162319631283776]","[1.25, 1.25, 1.25, 1.25, 1.25, 1.25, 1.25, 1.49, 1.49, 1.49, 1.49, 1.49, 1.49, 1.49, 1.49, 1.49, 1.66, 1.66, 1.66, 1.66, 1.66, 1.66, 1.66, 1.66, 1.66, 1.99, 1.99, 1.99, 1.99]","[-0.85, -0.57, -0.22, -0.12, 0.15, 0.6, 0.71, -0.74, -0.55, -0.39, -0.25, -0.01, 0.12, 0.41, 0.61, 0.74, -0.83, -0.5, -0.34, -0.19, -0.04, 0.18, 0.46, 0.63, 0.76, -0.66, -0.42, 0.17, 0.73]","[0.34172661870503596, 0.3672922252010724, 0.046413502109704644, 0.17054263565891473, 0.02591792656587473, -0.30434782608695654, -0.3157894736842105, 0.40625, 0.35968379446640314, 0.40307692307692305, 0.28859060402684567, 0.1943127962085308, 0.05499438832772166, -0.2198952879581152, -0.3465909090909091, -0.44749596122778673, 0.41389728096676737, 0.3789846517119244, 0.36186770428015563, 0.21008403361344538, 0.08655126498002663, -0.002881844380403458, -0.24471299093655588, -0.3537832310838446, -0.3858267716535433, 0.34558823529411764, 0.22764227642276422, -0.026442307692307692, -0.36926147704590817]","[0.03985637249149271, 0.048159042294360875, 0.06488697693389547, 0.061345230016878124, 0.03285099978561041, 0.04556717074589145, 0.031418877167165744, 0.036119613298646346, 0.033868449840461404, 0.03589576778316395, 0.055463739387129535, 0.06753066837892521, 0.03345056182940875, 0.04991212336161918, 0.028865458900779527, 0.0359443872342078, 0.050035909787902046, 0.03179722192328623, 0.03357342389386598, 0.031686898831926956, 0.036353583875957926, 0.037959323272471375, 0.05329379188966108, 0.04229696903778066, 0.047264756677888015, 0.04023297894639772, 0.062083702808473175, 0.03465664002110953, 0.02935851013480084]","[0.31543011413383326, 0.32258468071001617, 0.2041293862757536, 0.15258325442500037, -0.007720151377660921, -0.27630754453212797, -0.3293163071883455, 0.3757608076305133, 0.3768506071165655, 0.3362057014223807, 0.2756216377473092, 0.13215683535296377, 0.040891146083669255, -0.17299608151782397, -0.3106238290235119, -0.3878053160242113, 0.35171309605540046, 0.36597653149998044, 0.3137181904239605, 0.23877405867334253, 0.14507598586155884, -0.013264814378552175, -0.22280148649148787, -0.3386481907027267, -0.4144885346638141, 0.31914279335065593, 0.263313468628321, -0.05419866886334361, -0.35912038946385166]"
"[-0.01885745552191884, 1.4454238661899996, 0.6870498075297438, 0.157145462682657, 1.758733538143122, 0.3652307596710678, 0.5091512990918087, 1.6785566964072487, 0.7403422707837857, 0.5971527581940965, 1.711161220368434, 0.6719258908488581]","[1.3, 1.3, 1.3, 1.3, 1.3, 1.52, 1.52, 1.52, 1.52, 1.52, 1.52, 1.52, 1.52, 1.63, 1.63, 1.63, 1.63, 1.63, 1.63, 1.81, 1.81, 1.81, 1.81, 1.81, 1.81]","[-0.8, -0.47, -0.05, 0.35, 0.79, -0.68, -0.61, -0.42, -0.03, 0.18, 0.24, 0.51, 0.64, -0.67, -0.38, -0.28, 0.1, 0.3, 0.72, -0.85, -0.47, -0.07, 0.17, 0.37, 0.71]","[-0.0821256038647343, 0.03431372549019608, -0.09321058688147296, -0.2375296912114014, 0.18725099601593626, 0.01468189233278956, 0.035634743875278395, 0.10548523206751055, -0.1337579617834395, -0.17595307917888564, -0.21019108280254778, -0.10301507537688442, 0.006915629322268326, 0.042789223454833596, 0.024033437826541274, -0.07033639143730887, -0.21428571428571427, -0.28667563930013457, 0.167420814479638, -0.19801980198019803, 0.02416918429003021, -0.1432225063938619, -0.11834319526627218, -0.2287145242070117, 0.12371134020618557]","[0.06927001655950342, 0.04947822278545696, 0.03377499136927335, 0.03347597510891794, 0.03579744299464558, 0.04038526619943505, 0.03334923801196631, 0.06459457678035502, 0.03954576498337447, 0.03769456882569733, 0.03901289409399972, 0.035255490577863154, 0.03718951082192908, 0.03977291089592157, 0.03231607216597344, 0.05516316614556856, 0.05837323361209623, 0.03514662764046917, 0.04689379236284506, 0.04876667417365788, 0.03885475025162231, 0.03539126052881907, 0.05401059747355332, 0.039775867601268694, 0.03562214908658507]","[0.014114574796818618, 0.042998539503779916, -0.11211579214112966, -0.18238445476469656, 0.16990439016799272, 0.02640277088806987, 0.03847578070611518, 0.01920927158462815, -0.13345444914472968, -0.19393748845273032, -0.19932454606733196, -0.11719505997390026, 0.004789532661232462, 0.017898754566006307, 0.002892277743442766, -0.03190840362431025, -0.1791258803648455, -0.1967237319025731, 0.12988498442294744, -0.08762966493402943, 0.021286835639704543, -0.11793431907715897, -0.18907445457870878, -0.1764427000739593, 0.12064166048660059]"
"[-0.18698336361694626, 1.713694672220392, 0.36838267154931487, 0.49647306891396076, 1.7718536184929794, 0.5912921595088326, -0.3804144294275803, 1.7375185070387484, 0.4228154000158981, -0.08382012851794143, 1.5965418856169855, 0.7189403610559749]","[1.24, 1.24, 1.24, 1.24, 1.24, 1.59, 1.59, 1.59, 1.59, 1.78, 1.78, 1.78, 1.78, 1.78, 1.78, 1.78, 1.78, 1.78, 1.95, 1.95, 1.95, 1.95, 1.95, 1.95, 1.95]","[-0.69, -0.41, 0.14, 0.31, 0.66, -0.5, -0.13, 0.16, 0.59, -0.83, -0.5, -0.33, -0.15, -0.01, 0.26, 0.34, 0.53, 0.67, -0.71, -0.6, -0.19, -0.11, 0.34, 0.41, 0.84]","[-0.28935185185185186, -0.1267123287671233, 0.022146507666098807, 0.012048192771084338, 0.08305647840531562, -0.3423180592991914, -0.08854166666666667, 0.030303030303030304, -0.02247191011235955, -0.7025089605734767, -0.4358974358974359, -0.145, -0.08045977011494253, -0.03777777777777778, 0.033093525179856115, -0.034623217922606926, -0.0014064697609001407, -0.0457516339869281, -0.5, -0.35776614310645727, -0.08376963350785341, -0.10600706713780919, 0.05563093622795115, 0.03477344573234984, -0.05757575757575758]","[0.0325653812763416, 0.041046748860510615, 0.04126429404290028, 0.054878146534125365, 0.057439889753261204, 0.04878077772730728, 0.05083061058104041, 0.05022881297034837, 0.033511611491868196, 0.030127600805769122, 0.038516288010195424, 0.04947158275212144, 0.03379325623727979, 0.03330953883242878, 0.03791138510098339, 0.045102310325547665, 0.03750289293750381, 0.05710633322212943, 0.05, 0.03901052318866386, 0.05098461549350782, 0.041796294274103064, 0.036778430034276374, 0.03244174169631967, 0.038860376176448906]","[-0.29007239867247514, -0.15391868066770087, 0.03559213051507224, 0.060686182934361885, 0.04254087718692675, -0.32927333841072903, -0.08143505050474344, 0.026311144473025475, 0.0069067200895300855, -0.6594076346462409, -0.3417655108861395, -0.20778399410178103, -0.09272066898023722, -0.024755176417981833, 0.045774000080516845, 0.049812735114037124, 0.02539899757344087, -0.025347140060884045, -0.48016535776219055, -0.38439546298521454, -0.09565248860069084, -0.0542787851914584, 0.06428877717150021, 0.06305906828776918, -0.08174510678705252]"
"[0.23, 1.7314037403203955, 0.5852201484148656, -0.43, 1.5005463071041163, 0.26705984716049186, -0.13, 1.482256579277724, 0.5155265339729762, 0.15, 1.791337240743727, 0.5718119939977275]","[1.38, 1.38, 1.38, 1.38, 1.45, 1.45, 1.45, 1.45, 1.45, 1.45, 1.75, 1.75, 1.75, 1.75, 1.75, 1.75, 1.75, 1.8, 1.8, 1.8, 1.8, 1.8, 1.8]","[-0.85, -0.25, 0.19, 0.79, -0.67, -0.51, -0.06, 0.19, 0.5, 0.6, -0.74, -0.45, -0.18, -0.1, 0.35, 0.36, 0.82, -0.68, -0.49, -0.23, 0.18, 0.53, 0.6]","[0.49216300940438873, 0.3382899628252788, 0.064, -0.41775147928994083, 0.544468546637744, 0.5111111111111111, 0.2503987240829346, 0.033402922755741124, -0.17714285714285713, -0.22108843537414966, 0.5518672199170125, 0.4527687296416938, 0.291196388261851, 0.3138357705286839, 0.01405152224824356, -0.010101010101010102, -0.2653061224489796, 0.38461538461538464, 0.39037433155080214, 0.2688888888888889, 0.03591160220994475, -0.05387931034482758, -0.1210762331838565]","[0.0344635460529288, 0.05737633869312136, 0.03643997804609657, 0.0312554601440745, 0.027623789649129857, 0.05230839576045575, 0.038663899126421736, 0.032290504249196925, 0.03719870213103189, 0.04021878735997843, 0.05371828202751679, 0.02938014126623153, 0.045452444909202055, 0.031844445970786686, 0.03421591715553603, 0.04102840376060218, 0.05623119977255367, 0.032779422656697, 0.03366252540535438, 0.03210570675184811, 0.03714073497538837, 0.03277892608979072, 0.0664723060361746]","[0.5454242937620566, 0.34317345111923997, 0.043038848003984595, -0.3665555514597251, 0.567164038225133, 0.5104351040812433, 0.23502322305098597, 0.0411014771845065, -0.2015625402954499, -0.27443677250994636, 0.4458610650734249, 0.4075027017484193, 0.2977983940306768, 0.25626749264839177, -0.004436541234958916, -0.010104313371019823, -0.21301272839206556, 0.3970342764285594, 0.38134442547698383, 0.3024227679515421, 0.1048824842257767, -0.06354424412598908, -0.09082333697612008]"
"[0.3056626879214486, 1.7908232472814714, 0.7400524973474158, -0.19679652510011073, 1.4047716693336891, 0.4334004050979669, 0.3559086092236045, 1.7005117137377435, 0.701043123421027, -0.12980196336390282, 1.4174784002001843, 0.4815003535827546]","[1.35, 1.35, 1.35, 1.35, 1.35, 1.35, 1.35, 1.35, 1.35, 1.59, 1.59, 1.59, 1.59, 1.59, 1.74, 1.74, 1.74, 1.74, 1.74, 1.74, 1.89, 1.89, 1.89, 1.89, 1.89, 1.89]","[-0.74, -0.51, -0.3, -0.18, -0.06, 0.12, 0.33, 0.59, 0.76, -0.83, -0.42, 0.01, 0.17, 0.75, -0.69, -0.48, -0.28, 0.07, 0.47, 0.81, -0.81, -0.38, -0.17, 0.14, 0.42, 0.59]","[0.39641943734015345, 0.10877192982456141, 0.10565110565110565, 0.10620689655172413, 0.12149532710280374, 0.03269447576099211, 0.1271186440677966, 0.17355371900826447, 0.06419753086419754, 0.3551912568306011, 0.1189710610932476, 0.03389830508474576, 0.07908163265306123, 0.0743801652892562, 0.31398416886543534, 0.1805094130675526, 0.09650924024640657, 0.027777777777777776, 0.04936014625228519, 0.17569352708058125, 0.3752711496746204, 0.11274509803921569, 0.025227043390514632, 0.051698670605613, 0.11219512195121951, 0.18088737201365188]","[0.0464287708914784, 0.05888343130025689, 0.04929073961686056, 0.036929011025813065, 0.0362685224625763, 0.03355876353813182, 0.04565532368966844, 0.0633069103920087, 0.035063939427656246, 0.06910193512157951, 0.03981157159057918, 0.06505704488071823, 0.035602433693773645, 0.06410436967002718, 0.04876885175589106, 0.032731268502097136, 0.045102802185492855, 0.0416505884616819, 0.04270479373101677, 0.035780258915507394, 0.04317073917197685, 0.03478379550861939, 0.03175593727560315, 0.038381726623974814, 0.03470102716217755, 0.033172760434799706]","[0.3180962970711543, 0.16385343147037892, 0.0859268597345371, 0.062452098554253606, 0.05083940838134636, 0.0496234789452913, 0.06165911104581583, 0.07548763250206791, 0.07143196943691792, 0.42134357927587435, 0.13631146405325206, 0.058689335973534186, 0.06384444392423519, 0.11066788577416896, 0.28200149756112175, 0.15952168148657925, 0.09329081564405736, 0.06431222626762108, 0.1054336606177563, 0.14373175043875133, 0.3437942717856173, 0.115984142212705, 0.07445807501418876, 0.07135328978166097, 0.10623478703334517, 0.13520624011292018]"
"[-0.49447534480200944, 1.6522941571551524, 0.28911548416531635, 0.09889506896040189, 1.750846577910462, 0.38103675628464645, 0.13845309654456264, 1.7507252425393984, 0.31586187018120016, 0.1780111241287234, 1.4252075433273463, 0.5352646833022308]","[1.22, 1.22, 1.22, 1.22, 1.22, 1.22, 1.22, 1.4, 1.4, 1.4, 1.4, 1.75, 1.75, 1.75, 1.75, 1.81, 1.81, 1.81, 1.81, 1.81, 1.81]","[-0.66, -0.44, -0.24, -0.02, 0.2, 0.49, 0.76, -0.57, -0.13, 0.2, 0.46, -0.84, -0.16, 0.23, 0.47, -0.79, -0.4, -0.09, 0.02, 0.55, 0.58]","[-0.18110236220472442, -0.15273775216138327, -0.21473684210526317, -0.29794933655006034, -0.2510822510822511, -0.3179916317991632, -0.21011673151750973, -0.4550408719346049, -0.4928131416837782, -0.7012448132780082, -0.4758269720101781, -0.5920617420066152, -0.7191780821917808, -0.7701149425287356, -0.6401673640167364, -0.5921450151057401, -0.5939278937381404, -0.7571428571428571, -0.6737089201877934, -0.5855855855855856, -0.6]","[0.05038439991049673, 0.05305293911641079, 0.03168742218747069, 0.033153992291798814, 0.03184373546401954, 0.04336478822687512, 0.043123453203780825, 0.046482184477038925, 0.027880929123917295, 0.045923249693929566, 0.03137211393430322, 0.026759224803328555, 0.040661604103507575, 0.03948533727048359, 0.03513827277327749, 0.031319527635443115, 0.03504536656026056, 0.03903911472016381, 0.025317613671938875, 0.02564658396792077, 0.05455954715763788]","[-0.2090185083868338, -0.19419072873270832, -0.21002964740417446, -0.2414781581004758, -0.26852751749668446, -0.26418813783298645, -0.1829140515078914, -0.45412475343769304, -0.49475989771312445, -0.5313485629929622, -0.5115168435324225, -0.6582441639662653, -0.7163699784622287, -0.7289047622875113, -0.6744300639337429, -0.5987503980343707, -0.6285027299754331, -0.6673758579050055, -0.6748247923985929, -0.5815874799648268, -0.5670311046743801]"
"[-0.01, 1.6085274037194957, 0.49554830791748766, -0.53, 1.4174615261449268, 0.6492672152971595, -0.67, 1.5086847197890136, 0.5153940298827445, 0.47, 1.4559401328945798, 0.6393119183730163]","[1.39, 1.39, 1.39, 1.39, 1.39, 1.41, 1.41, 1.41, 1.41, 1.64, 1.64, 1.64, 1.64, 1.64, 1.64, 1.84, 1.84, 1.84, 1.84, 1.84, 1.84, 1.84, 1.84]","[-0.7, -0.5, -0.04, 0.26, 0.7, -0.56, -0.25, 0.12, 0.83, -0.77, -0.37, -0.03, 0.12, 0.53, 0.76, -0.8, -0.51, -0.3, -0.03, 0.1, 0.28, 0.57, 0.76]","[0.12466124661246612, 0.35357917570498915, 0.2719891745602165, 0.01937046004842615, -0.42818791946308726, 0.33472803347280333, 0.4134790528233151, 0.1828793774319066, -0.5516483516483517, 0.05084745762711865, 0.41718555417185554, 0.2572463768115942, 0.15356711003627568, -0.30151843817787416, -0.42857142857142855, -0.09523809523809523, 0.3125, 0.3787465940054496, 0.21212121212121213, 0.14537444933920704, 0.03139013452914798, -0.21671826625386997, -0.3389830508474576]","[0.036523363232035026, 0.04356613559060377, 0.03539878916841729, 0.034787921724567905, 0.0331086295372277, 0.030476638003961463, 0.03885977483152589, 0.0433642416952238, 0.03910212315765741, 0.03606119917748798, 0.032071608339889195, 0.04113041078491317, 0.034360932631581756, 0.04440707550076864, 0.04111103307635387, 0.04857320702804267, 0.04198083058633726, 0.04831072839733834, 0.032148946367851886, 0.03283361923836607, 0.06693195324555871, 0.03840942046694642, 0.03062018712161059]","[0.15792540949542333, 0.34614279289583916, 0.2744779821308285, 0.008453991465062594, -0.4099059737432726, 0.3072929518032867, 0.37911268128018, 0.1457007673658762, -0.4953250347332566, 0.03678921324740029, 0.3740500753894825, 0.26416979208560576, 0.14586480619589595, -0.25027084790179416, -0.4373430363898136, -0.010031457958795703, 0.27962421743626587, 0.31945398125255975, 0.2220220283781024, 0.13488809067481292, -0.0091083292165344, -0.24807414882696477, -0.37245522967602207]"
