hyperparameter,loss_score,0.67std_percent_known,1std_percent_known,1.96std_percent_known,0.67std_percent_fit_rand,1std_percent_fit_rand,1.96std_percent_fit_rand,coeff_known_pull,coeff_known,coeff_GP_pull_rand,coeff_GP_rand,runtime_seconds
[0.08190613 0.84130771],58.10896006451116,0.5192307692307693,0.7115384615384616,0.9807692307692307,0.9038461538461539,0.9230769230769231,1.0,"[-1.7172745  -0.907005    1.94923147  0.320479   -0.03267295 -0.21199844
  0.71052273 -0.70171904  0.37905191 -0.04802918  0.03117662  0.14685154]","[-0.18756852  1.40000009  0.44636732 -0.08490314  1.4         0.25000087
  0.81057487  1.52361446  0.69510565 -0.36800821  1.57041158  0.47579334]","[-1.24375017 -0.09287075  0.9327149   0.00441284 -0.02824013 -0.03592385
  2.29043595 -0.40399861  0.4903946   0.20913869 -0.08448077 -0.03579196]","[-0.22246714  1.4         0.50982545 -0.08889531  1.40000002  0.25000016
  0.90125128  1.43126855  0.74999999 -0.30732488  1.54517953  0.4398392 ]",27.479103803634644
[0.59592748 0.38859576],53.548264362248815,0.48,0.6,0.96,0.16,0.26,0.42,"[-1.39680095  0.09308927  0.15446941 -1.02776534 -0.39312046 -0.80131673
  1.6951077   0.22906112 -1.44970594  0.17828029  0.91460247  0.82088829]","[ 0.42715248  1.75527375  0.51861478  0.11854953  1.47252939  0.40753436
 -0.18830248  1.8         0.46602613  0.51590075  1.71244915  0.43986596]","[-1.93774469  0.00427654 -0.20952574 -1.78403143 -0.58555694 -1.9468133
  1.10878307  0.36709394 -0.92024196 -0.30506738  1.05460707  0.97786421]","[ 0.41327035  1.7519471   0.49693352  0.13065619  1.40000008  0.43488966
 -0.19921225  1.7999999   0.5050495   0.47278534  1.70496753  0.40835782]",36.23691487312317
[0.44056796 0.36208738],41.35278319690772,0.4339622641509434,0.7169811320754716,0.9811320754716981,0.39622641509433965,0.49056603773584906,0.8867924528301887,"[-1.04431334 -0.04919128  0.28391523 -0.48096466 -0.07023264  0.08273018
 -0.27298125 -0.47411623 -0.0840936   1.06879213 -0.23034425  0.02520025]","[-0.5405982   1.56230855  0.60410974 -0.14399272  1.4000001   0.43313834
  0.25328953  1.40000001  0.59495431  0.61701607  1.73503317  0.27400554]","[-1.79387598  0.47269167  1.46773952 -0.72592364 -0.08006303  0.35138159
 -0.30956969 -0.40735993 -0.52086026  0.02514031 -1.5827215  -0.74077816]","[-0.6367915   1.58397807  0.72836198 -0.18069691  1.40002844  0.55236354
  0.25712498  1.40000002  0.53530337  0.58470505  1.71581786  0.26504098]",39.01925253868103
[0.2728409  0.36937844],49.31421137807046,0.4423076923076923,0.6730769230769231,0.9230769230769231,0.5,0.7307692307692307,0.9807692307692307,"[ 0.2008488   0.60113023  0.6224194  -0.15343072 -0.36658522 -0.05330468
 -0.13826409  0.89309291  0.29408582 -1.15548362 -0.02681289 -1.07873216]","[ 0.45363966  1.75855965  0.52654036  0.29283255  1.43267282  0.70105005
 -0.04479718  1.79982128  0.5685549   0.36059442  1.4         0.43039618]","[ 0.76995783  0.25829959  1.67534488 -1.21880197 -0.11363215 -0.63477399
 -1.84494793  1.02479736  0.66857899 -3.02661931  1.45096053 -2.35144636]","[ 0.4637344   1.79999049  0.54011127  0.19708776  1.55568556  0.48981619
 -0.09398109  1.79970596  0.74988456  0.26733662  1.49569556  0.33063444]",30.13032341003418
[0.10237381 0.78123014],66.48284888390842,0.47058823529411764,0.6078431372549019,0.9411764705882353,0.8235294117647058,0.8823529411764706,1.0,"[ 3.77689544  0.23825663  0.68564099  1.43078601  1.18437299 -1.41396687
  0.2852664   0.43781302  0.4066443   0.55285795  1.06330955 -0.23869195]","[ 0.18341495  1.62886675  0.74999987 -0.13900964  1.69811771  0.39519707
 -0.44256226  1.5065169   0.39728847 -0.31167049  1.61622061  0.39814312]","[-0.90320191  0.43689606 -0.49403166  7.385338   -0.08965495 -0.767426
 -0.05233775  0.09538522  0.2564222   4.96027605  0.70596219 -0.52487104]","[ 0.09464039  1.64661406  0.34308659 -0.06941779  1.55197694  0.25002689
 -0.48929063  1.50660898  0.46757432 -0.17726208  1.60016915  0.25      ]",26.25143265724182
[0.2310019  0.64817991],54.93161924636125,0.5102040816326531,0.7551020408163265,0.9591836734693877,0.10204081632653061,0.14285714285714285,0.4489795918367347,"[-0.68924866 -0.30342442 -0.57558436 -5.29721661 -0.73922995  0.55271251
  6.74394929 -1.46822072  0.10876679  2.71848028  0.04258478  0.06039531]","[-0.25831597  1.49761946  0.45615722 -0.54984791  1.58255888  0.2895908
  0.84920258  1.6146635   0.74999925  0.66224567  1.76913985  0.74997984]","[-0.83968564 -0.29035261 -0.09333001 -3.05224492 -0.50874866  0.509396
  0.37369654 -1.94241549 -0.06336528 -0.285443   -0.68099344 -0.58397702]","[-0.27297879  1.49537987  0.48533496 -0.56533075  1.58228817  0.29723569
  0.75296291  1.54452044  0.68748747  0.4406852   1.69775063  0.51124332]",27.554692029953003
[0.81686754 0.3193641 ],54.99156535090877,0.47058823529411764,0.6862745098039216,0.9803921568627451,0.4117647058823529,0.6666666666666666,0.9019607843137255,"[-1.32191406 -0.8540584   0.40192914 -0.00604236  0.37542694 -1.14979141
  1.01640499 -1.27069266 -4.94389381 -0.10817591  0.46087623 -0.36052674]","[-0.22829887  1.40006803  0.73387476 -0.39276847  1.61212026  0.48408186
 -0.13359262  1.4         0.31923052 -0.25280301  1.50999005  0.42229496]","[-0.68040586 -1.34055178  0.26298516  1.52443214  0.45932698 -3.5475738
  2.5340518  -0.9365263  -6.23470288  0.39548718  0.80321112 -1.49890999]","[-0.1859591   1.43372966  0.65450049 -0.31256769  1.60541251  0.3689876
 -0.10683189  1.4         0.30218595 -0.21756691  1.50997258  0.33797092]",32.19900131225586
[0.01874458 0.61847517],40.35107617911686,0.4339622641509434,0.6037735849056604,0.8867924528301887,0.9811320754716981,1.0,1.0,"[ 2.10692881 -0.730514   -2.14000439 -0.50319137  0.13176702 -0.56456628
 -0.390723    0.31957148 -0.18156915 -3.07227464 -0.55639334 -2.40570193]","[-0.34655731  1.70691661  0.51890503  0.31039531  1.77669251  0.4321842
  0.50059317  1.70248685  0.57114647  0.38547782  1.58641602  0.39082587]","[ 3.03428048  0.16561439 -3.16052343 -0.18677518  0.19210955  0.52230163
 -1.85701521  0.40921498 -0.44334736 -3.70204385  0.60299366 -1.18765071]","[-0.25178163  1.79999969  0.39722273  0.32137851  1.8         0.7484243
  0.0569827   1.79976559  0.47134073  0.16320553  1.74523151  0.25000002]",39.166120290756226
[0.2017322  0.79728441],54.486054601141184,0.4897959183673469,0.673469387755102,0.9591836734693877,0.20408163265306123,0.5102040816326531,0.6530612244897959,"[-1.04304326 -0.06347229  0.18772533  2.70916839 -1.92382108 -1.65596455
 -1.53450067  1.62580053 -0.71178306 -1.65753422 -0.66301432  0.49373287]","[ 0.37353471  1.46565508  0.5572257  -0.1341104   1.47849746  0.3728324
  0.14098702  1.79999983  0.48689375  0.57256444  1.40000001  0.34713718]","[-0.12743851  0.23868307  0.62870343  5.93722956 -7.73173408 -8.79903684
  0.09606702  1.03368389  0.00979605  0.56139698 -0.18203722  2.02572343]","[ 0.42401565  1.48346964  0.62540589 -0.1783606   1.41335274  0.25
  0.23810657  1.8         0.75        0.76207993  1.4         0.63887552]",25.976852416992188
[0.00777786 0.63547386],55.553308862875014,0.4117647058823529,0.5882352941176471,0.9215686274509803,0.9019607843137255,0.9019607843137255,0.9215686274509803,"[ 14.81803042  -1.80100243   1.526014    33.14832983   5.92466162
 -30.2900545    2.25074669  -7.75239781  -2.45574259   8.80424575
   0.25672293   1.41404621]","[ 0.37368634  1.6043755   0.75       -1.          1.53844539  0.46325973
  0.02241823  1.4         0.25        0.84439234  1.8         0.74999999]","[-4.76569448 -0.49172014 -1.19486814  1.95515117  1.1339083   0.08526431
 -0.58332871  0.13564751  0.34989158  0.21386415  0.07992618 -0.46267198]","[-0.08145799  1.5820495   0.25015502 -0.33816889  1.74826311  0.74999776
 -0.97380964  1.69997823  0.53132166  0.83717064  1.76163183  0.52030054]",32.06659007072449
[0.95184598 0.19128364],65.13508505795684,0.38,0.6,0.94,0.5,0.74,1.0,"[  1.0178096   -0.39017257  -1.06965119  -0.20349782   0.29223373
  -0.6187939   -0.08722554   0.57690592   0.25612888  -2.76878074
  -2.26528405 -11.2731237 ]","[-0.26396652  1.67679948  0.49543514  0.24899919  1.51120226  0.48378018
 -0.38153751  1.79999988  0.57303336  0.08838077  1.60030572  0.25      ]","[ 0.38400957 -0.69282545 -0.66492488 -0.14880719 -0.20496108 -0.22817312
 -3.08446131  0.32273878  0.46269192 -1.16921433 -0.58277566 -0.76474137]","[-0.2889153   1.65763587  0.52635405  0.25420151  1.4         0.54236641
 -0.4980659   1.72159133  0.74999921  0.06310773  1.5982513   0.30357659]",35.9089252948761
[0.18859807 0.72791685],59.48081129772997,0.4375,0.6666666666666666,0.9166666666666666,0.5625,0.625,0.75,"[-6.90122723 -0.22798143  0.30034679  0.22418356  0.89256597 -0.80559106
  0.0611902  -0.7014068  -1.32612358  0.63483352  0.81619457 -0.23988425]","[-0.2651264   1.4         0.74996306  0.60194942  1.56867692  0.59759967
 -0.45545183  1.63289102  0.5206215   0.02004163  1.8         0.2500051 ]","[-4.95717802 -0.12277897  0.37970445  1.26640318 -0.36615442  0.04967597
  0.62295427 -0.98808605 -2.17742095  0.94314472  1.19838539  1.39518282]","[-0.26108479  1.4321309   0.74999996  0.77151481  1.47413724  0.74764261
 -0.39647211  1.61672392  0.45422325  0.05218871  1.79984416  0.74924718]",39.804502964019775
