hyperparameter,loss_score,0.67std_percent_known,1std_percent_known,1.96std_percent_known,0.67std_percent_fit_rand,1std_percent_fit_rand,1.96std_percent_fit_rand,coeff_known_pull,coeff_known,coeff_GP_pull_rand,coeff_GP_rand,runtime_seconds
[0.23052569 0.52697401],0.195,0.391304347826087,0.4782608695652174,0.9130434782608695,0.21739130434782608,0.5217391304347826,0.9130434782608695,"[ 3.18470848  1.12818235  0.20217005 -1.59457187 -2.00179196 -3.27226633
  1.53301036 -0.94406735 -2.68808872 -0.58230525 -0.20199648  0.57980935]","[ 0.64999602  1.75446474  0.7499981   0.42471842  1.57860478  0.28202477
 -0.59864317  1.60800473  0.45755381 -0.80383554  1.40000065  0.71378751]","[ 4.09878198  0.67585729  0.19446315  0.5207628  -1.37265077  0.09711975
  1.3604779  -0.11943663 -2.1663515   2.34290063  0.84560767 -0.94135482]","[ 0.66515757  1.727365    0.74998256  0.55480559  1.55865931  0.36907008
 -0.57363511  1.66308632  0.45459888 -0.34478189  1.54405369  0.34030177]",15.678236389999938
[0.29414869 0.49226696],0.161,0.4166666666666667,0.75,0.9583333333333334,0.625,0.7916666666666666,0.9583333333333334,"[ 2.31451526 -0.26485385 -0.81893046  0.37868773 -0.11974521 -0.04668032
  1.0658103   0.33366214  0.20445825  0.74284686 -0.29634683  0.56697037]","[-0.06509457  1.68739343  0.25884013 -0.19349647  1.68610574  0.40357313
  0.44285196  1.65287896  0.26937768  0.71885232  1.42341708  0.42600171]","[ 6.4448258  -1.65175532 -4.37526404 -3.43947547  0.37901089  0.65930889
 -1.59301871 -2.33342316 -1.08054935 -0.40556877 -1.8880457  -0.87697004]","[-0.05602931  1.58983255  0.25000008 -0.40829307  1.79967625  0.74999986
  0.34617033  1.58558165  0.25000001  0.50341625  1.42725454  0.29517677]",13.037914469999805
[0.21484903 0.51487527],0.167,0.5454545454545454,0.7272727272727273,1.0,0.45454545454545453,0.6363636363636364,1.0,"[ 0.28418419  1.37109378  0.33177554 -2.45662845  0.13513145 -1.14009464
 -1.90580127  0.64136358 -0.42456411 -7.51187664 -0.58055204 -1.19578678]","[0.55745104 1.68007467 0.48671865 0.02487231 1.8        0.25000007
 0.08988895 1.70842716 0.25428997 0.109533   1.45304499 0.25      ]","[ 5.12196986e-01  8.63985820e-01  5.73932950e-01 -2.55064279e+00
  1.76873757e-01 -1.10622424e+00  4.70230474e-03 -4.12100016e-01
  5.07642330e-01 -8.01368540e+00 -4.05082952e-01 -1.26714307e+00]","[0.57429581 1.66285292 0.50361549 0.01510401 1.8        0.25
 0.19201658 1.4975493  0.63900967 0.10838766 1.4        0.25      ]",15.247447791000013
[0.37091248 0.42096047],0.148,0.5172413793103449,0.7241379310344828,0.9655172413793104,0.6206896551724138,0.7931034482758621,0.9655172413793104,"[ 0.56083195  0.03584659  0.38187366 -0.21580327  0.64137573 -0.0706829
  2.07843279 -1.55047168 -0.35952202 -3.82802584 -1.0829591  -4.14622903]","[ 0.04520309  1.50452338  0.41162058 -0.9654497   1.67195894  0.69232305
 -0.11028556  1.47690985  0.25000145  0.08319343  1.51526732  0.25000441]","[ 0.233519    0.74463266 -0.04360608  0.07755499 -0.18946835 -0.19193301
  1.97692647 -1.14382239 -1.46412745 -3.21754131 -1.02105138 -1.19076413]","[ 0.03178267  1.56881061  0.25000001 -0.89003638  1.61599468  0.63931657
 -0.10509687  1.47796929  0.25000065  0.08550075  1.5014068   0.25000573]",14.971609716000103
[0.27405164 0.43347886],0.166,0.6,0.72,0.92,0.56,0.68,1.0,"[-0.78650805 -0.20005117  0.14235372  0.93179489  0.16810799  0.57941317
 -1.398652   -0.17370865 -1.61734038  3.36552047 -0.07167152  0.16154582]","[-0.03394246  1.40107074  0.74999999  0.27609042  1.79851165  0.4770741
  0.30344801  1.65774291  0.42112774  0.87430737  1.68799604  0.74999735]","[-1.40373893 -0.11850615  0.13749767  0.27917459  0.15487189  0.2477694
 -0.33846459  0.27141089 -0.49975796  0.1018359  -0.06202673  0.16903808]","[-0.04710638  1.40006501  0.74993966  0.20319269  1.8         0.45062095
  0.36264576  1.77157459  0.56767813  0.7597277   1.69817973  0.71521474]",15.073685891999958
[0.33400133 0.48119173],0.16,0.56,0.8,0.96,0.8,0.88,1.0,"[ 0.22191041 -0.3775446  -1.37661098  0.11976958 -0.39105993 -0.00783195
  1.28352667 -0.84484574 -1.68292307  0.81454883  0.61128586  0.05231668]","[-0.18289183  1.70095183  0.31392345  0.51479894  1.73244658  0.58990949
 -0.31148773  1.68740895  0.31008209 -0.02340259  1.79999776  0.73918413]","[ 0.10398966  0.29655751 -0.31291915  0.33849243  0.0704027   0.27246436
  0.74335482 -0.21820557 -0.5012462   2.09026818  0.51514612 -0.96193032]","[-0.18413422  1.72948794  0.34788     0.54006579  1.79999723  0.63335267
 -0.32237576  1.72140931  0.36923919 -0.01524488  1.79998785  0.25348866]",15.242570073000024
[0.19320662 0.47831466],0.183,0.5652173913043478,0.6521739130434783,0.9565217391304348,0.4782608695652174,0.6956521739130435,1.0,"[-15.50991063  -3.02705194 -10.17325176   0.02765072   0.49764803
  -0.05189308   0.30491209  -0.20558798  -1.85911763  -3.32828478
  -0.21316431  -0.74005818]","[ 0.1167994   1.64472381  0.25       -0.42637504  1.53309324  0.25042279
 -0.11816177  1.40002386  0.31723556  0.04895587  1.74385416  0.25000159]","[-4.49415583 -2.5614749  -5.34841075 -0.58269825 -0.11320158  0.85945441
  0.38352022 -0.20845499 -2.08842822  1.19949757  0.0268868   0.41802046]","[ 0.12587547  1.6442476   0.27450033 -0.48317106  1.4958693   0.3219959
 -0.11117162  1.40929053  0.29119361  0.21723083  1.79997196  0.74943496]",12.55098030399995
[0.24619735 0.52742812],0.2,0.5,0.6923076923076923,1.0,0.5,0.6923076923076923,1.0,"[ 1.27629921 -0.77320259  0.02691113  0.32434549  0.15078196 -0.65825966
 -0.86954779  0.37079249 -2.01126304  0.01193407 -0.05658595 -0.25018484]","[ 0.32892131  1.68858146  0.74999988 -0.17268911  1.43568924  0.33588422
  0.29028379  1.8         0.4411186  -0.12887952  1.4         0.37520171]","[ 1.30440237  0.03648808  0.0237138   0.75101629  1.45397971 -0.8060628
 -3.52825702  0.37377487 -6.47270246 -0.58684118 -0.05063352  1.03343384]","[ 0.326183    1.8         0.74999997 -0.15636979  1.53027824  0.33779173
  0.22850808  1.79999993  0.33058564 -0.16182718  1.40000325  0.7499904 ]",13.952476510999986
[0.31962415 0.38355983],0.17,0.5238095238095238,0.6666666666666666,0.8571428571428571,0.3333333333333333,0.6666666666666666,0.7619047619047619,"[-0.27168979  0.96065536  1.18035747 -0.23624243 -0.57205202 -0.37254668
  1.60159466 -2.62893648 -1.81077393  1.23208656  0.80824685  0.85624448]","[-0.5013326   1.67467143  0.31864889  0.09025797  1.68148746  0.25
  0.20542174  1.62319404  0.25        0.32122705  1.60112541  0.74999933]","[ 1.42769666 -0.5663808   0.17661568  0.93611586  0.13690845 -1.15481975
  2.33682646 -1.97609591 -1.86116462  0.3349368   1.81305194 -0.91471505]","[-0.44197407  1.63694216  0.29379389  0.16989979  1.79999998  0.2853282
  0.26724516  1.63375561  0.25000001  0.19796344  1.55867677  0.25000011]",15.156497399000045
[0.29520587 0.97119519],0.256,0.4782608695652174,0.7391304347826086,1.0,0.43478260869565216,0.7391304347826086,1.0,"[ 0.38793181 -0.52172816 -0.49253125  3.27187047  1.01439674 -3.50918074
 -1.39296776 -0.30991442  1.02203618 -0.21885428  1.52866185 -0.60424993]","[-0.0069678   1.40000001  0.25000823 -0.28028163  1.49270931  0.31599805
 -0.92144974  1.40000003  0.66060635  0.39897046  1.67604743  0.43796005]","[ 2.31040275  0.34624989 -0.50523543  2.52601273  1.28848719 -2.88485605
 -1.08808894 -0.32703924  0.47209913  0.0459946  -0.01746412  0.13588804]","[ 0.00189324  1.68245469  0.25004957 -0.33963229  1.49735877  0.37548949
 -0.96233999  1.40000076  0.7326376   0.49311009  1.44969159  0.68018995]",12.686393143000032
