hyperparameter,loss_score,0.67std_percent_known,1std_percent_known,1.96std_percent_known,0.67std_percent_fit_rand,1std_percent_fit_rand,1.96std_percent_fit_rand,coeff_known_pull,coeff_known,coeff_GP_pull_rand,coeff_GP_rand,cpu_runtime,wall_runtime
[0.21148838 0.26853425],0.07100000000000006,0.4957865168539326,0.6853932584269663,0.9466292134831461,0.5252808988764045,0.7036516853932584,0.9648876404494382,"[-0.1869374  -0.03453889 -0.36969282  2.10207775  1.13010047  2.24406009
 -0.79941513 -0.99582208 -0.30288068  1.06636099  0.17954318 -1.70757122]","[ 0.55573506  1.77870243  0.4258888   0.4264411   1.7006157   0.49729717
  0.12595626  1.7037217   0.46789247 -0.29810142  1.48793206  0.26352155]","[ 1.90225829  1.91324285  1.34901868  3.87622217  0.03265436  4.62799308
  1.57037333  4.17973667  2.05661172  2.96200704  0.09529965 -3.86716951]","[ 0.56087341  1.78154102  0.43038561  0.40043818  1.68284074  0.46302655
  0.1822978   1.79981517  0.70258783 -0.29907727  1.4867906   0.26828252]",24.617871079000004,39.07330627460033
[0.11381634 0.35880159],0.09799999999999999,0.48807854137447404,0.6746143057503506,0.94109396914446,0.5680224403927069,0.7601683029453016,0.9831697054698457,"[-0.20306693  0.5597223   0.08941669  1.34678983 -0.20389823  1.34896563
 -1.97312569 -0.27305897 -2.26198949  0.39697939  0.47598245 -0.32603716]","[-0.97378911  1.49613315  0.6507629   0.87609203  1.68886667  0.7174188
  0.30695798  1.57501115  0.47573253 -0.09514497  1.70530965  0.58359156]","[-1.72273689  1.11631412  1.50681305  1.86317506  0.22964436  1.84902185
 -6.74587524 -0.65595909 -7.23689695  1.09643648  0.41700023 -0.71413256]","[-0.98656062  1.49574611  0.65977805  0.87593428  1.69699299  0.7170064
  0.29082923  1.57575849  0.45077037 -0.08513186  1.56657524  0.53990858]",23.498079460000014,35.87666816357523
[0.5354694  0.14834827],0.09299999999999997,0.5144092219020173,0.7132564841498559,0.9639769452449568,0.6109510086455331,0.7867435158501441,0.9726224783861671,"[-0.70434711 -1.50097109 -0.40401719 -0.78233137  0.53689451  0.68516966
 -1.92205198  1.68714865  1.85676496 -0.33436692 -1.07364278 -0.05936144]","[ 0.45577688  1.7455533   0.58798773 -0.51148725  1.45395308  0.46747024
 -0.67222458  1.67478373  0.43197907  0.14120431  1.646628    0.61843639]","[-2.3853278  -5.60443537 -1.55619377 -1.90774311  1.75281001  1.83578536
 -4.64467036  4.05539141  4.92370301 -3.40043196 -5.98537867 -1.96035191]","[ 0.45265341  1.73933975  0.58387182 -0.50996761  1.45601264  0.4675534
 -0.66762516  1.67194303  0.43060823  0.11575036  1.6103733   0.49392464]",22.08925250600001,36.57321548927575
[0.40506734 0.39250761],0.373,0.5258620689655172,0.6896551724137931,0.9468390804597702,0.507183908045977,0.6666666666666666,0.9482758620689655,"[ 0.74621401  1.0233117  -0.95480225  1.32200216 -1.47143433  1.30788097
  2.06684046 -0.78727964 -2.44821394  1.29452557 -0.31530621 -1.59141714]","[-0.54440633  1.60245707  0.45392868  0.56584501  1.41618475  0.48904786
 -0.36829981  1.60968409  0.34108675 -0.63652722  1.6331928   0.43333959]","[  4.15463476   4.50380519  -5.00828331   5.68094383  -1.65213099
   5.39089677  10.26581104  -3.62054241 -12.06424994   6.13936769
  -0.32394013  -7.18765328]","[-0.54157769  1.60273403  0.45114582  0.58206733  1.40034664  0.50025413
 -0.3627221   1.60925162  0.33391616 -0.62735386  1.63553578  0.42683208]",22.89712133499998,36.56453775521368
[0.35529775 0.39930866],0.396,0.5121580547112462,0.6793313069908815,0.939209726443769,0.46200607902735563,0.6200607902735562,0.9088145896656535,"[ 3.12193174  4.26558409 -3.27278867 -0.13858995  1.4062603  -0.45580226
  0.81376099 -2.22939189  0.7515083  -1.0708286  -0.26332646  1.16104735]","[-0.03069093  1.67907064  0.38774088  0.40707767  1.49844618  0.45019703
  0.83187821  1.53673166  0.47333904 -0.91986793  1.47758826  0.57593518]","[ 16.41975621  19.55498609 -18.88519509  -1.66757518   6.51068626
  -2.99017177   2.3021469  -10.01467065   1.94156791  -3.6115963
  -2.18836385   3.96488976]","[-0.02812932  1.6987092   0.33745886  0.39967355  1.50493628  0.4393235
  0.82776318  1.53236055  0.46943947 -0.9154403   1.4701645   0.57237717]",29.365627133999993,49.14400521945208
[0.34508001 0.17910643],0.07100000000000006,0.4657933042212518,0.6666666666666666,0.9461426491994177,0.5604075691411936,0.74235807860262,0.9621542940320232,"[-0.32989257 -0.02005036 -0.24726046 -0.32013387  0.07538212 -0.37112994
 -1.61109556  0.33084397 -1.28517797  0.40611436  0.5108739   0.32371533]","[0.22255281 1.67916023 0.64233478 0.38391109 1.58561355 0.44701825
 0.13957314 1.46298105 0.40292264 0.33863338 1.6894147  0.58972998]","[-0.26245157  2.01561884 -0.0853467   0.25750463 -0.2487431   0.41629589
 -5.17734174  2.44260302 -4.35652363  0.81663982  1.84882944  0.65606126]","[0.22755438 1.70331377 0.65743479 0.39230425 1.58324397 0.46206521
 0.13621604 1.48467292 0.39200495 0.33299974 1.70184078 0.58219876]",21.804726934,36.72463819850236
[0.45953188 0.20181734],0.10799999999999998,0.4844804318488529,0.6707152496626181,0.9581646423751687,0.5006747638326585,0.6828609986504723,0.9784075573549258,"[ 0.27243898  0.09082261 -0.60215279 -0.21545148 -0.22117502 -0.30473708
 -1.48946229 -2.00176476 -1.63648437 -0.16572603  0.18776928  0.19545338]","[-0.7276352   1.73274385  0.46448014  0.06295961  1.74781742  0.51588643
  0.36470501  1.58739364  0.52081333 -0.34140475  1.63181598  0.61236828]","[ 0.03978122  1.0078327  -0.92863027 -4.22459751 -3.60669956 -5.8520971
 -6.84231695 -6.80771244 -7.41780147 -2.17964103  0.93542678  2.39699041]","[-0.7298879   1.73365118  0.46639551  0.05049168  1.70515952  0.38831376
  0.3498404   1.58907573  0.49692328 -0.39901853  1.64268745  0.72617908]",20.371019478999983,33.03969669342041
[0.23622779 0.26412308],0.10499999999999998,0.47313432835820896,0.6671641791044776,0.9492537313432836,0.44029850746268656,0.655223880597015,0.9507462686567164,"[ 0.17833468  0.32061498 -0.3649261  -2.70646452  0.16177176  1.41750476
 -0.79817133 -0.01251714 -1.23842454  0.03447148  0.84234854 -0.33111322]","[-0.02698573  1.68365983  0.58677565 -0.25379908  1.79998613  0.74999696
  0.71865259  1.40000013  0.4429653   0.41080451  1.57271588  0.4400009 ]","[-1.00993954  1.66581702  0.10084588 -4.015346    0.46810246  5.2187055
 -1.6360163  -0.13385227 -4.48051678  2.27780635  1.58593452  1.09428347]","[-0.03135018  1.7482923   0.74995291 -0.24450706  1.75645262  0.75
  0.72218839  1.4         0.4401775   0.43053672  1.57229147  0.46142512]",20.183590358000004,37.86816576309502
[0.39108299 0.13599043],0.07300000000000006,0.5138686131386861,0.6744525547445256,0.9474452554744526,0.5357664233576642,0.7051094890510949,0.945985401459854,"[-0.16710007  1.34663208 -0.2501406  -1.81323088  0.42959349 -2.34997092
 -0.61334201 -0.66698277 -0.74781098 -0.6693898  -0.68485617  1.09568781]","[ 0.54497154  1.58077986  0.72653896  0.2106634   1.66180214  0.49440545
  0.6714458   1.72338109  0.63907789 -0.45659081  1.46195363  0.26736207]","[ 0.04268704  4.50660334 -0.01632533 -4.83417157 -1.39629031 -6.22568584
 -0.75158823 -1.03110502 -0.93870527 -2.24999902 -2.38149735  4.00780541]","[ 0.55058106  1.58755609  0.73693527  0.20487813  1.6330052   0.48029008
  0.68731599  1.72900544  0.65874047 -0.45952594  1.46015002  0.27114156]",21.063865609000004,34.99448045808822
[0.38506419 0.37341624],0.45199999999999996,0.480225988700565,0.6850282485875706,0.9279661016949152,0.6101694915254238,0.78954802259887,0.9957627118644068,"[ 0.88886941 -2.69860173 -0.82894533 -0.2397108  -0.17672234  0.17916414
  1.45571271 -0.06086349  1.29264502  0.11805947  0.23990615  0.07948289]","[-0.83006157  1.657341    0.6844297  -0.70023809  1.7691392   0.57756285
  0.67070834  1.40004561  0.6250399   0.15315622  1.70614636  0.42979558]","[-1.17049849 -6.16613445  1.22747743 -0.28381425 -0.96833887 -0.05465359
 -0.07681069  0.62462816  0.04970623  0.78529094  1.36730704  0.92076855]","[-0.85916791  1.66394278  0.70954485 -0.69374427  1.76650845  0.57031237
  0.6289567   1.42926237  0.58686752  0.15682119  1.71755067  0.4479275 ]",21.824794036000014,35.64050755929202
