hyperparameter,loss_score,0.67std_percent_known,1std_percent_known,1.96std_percent_known,0.67std_percent_fit_rand,1std_percent_fit_rand,1.96std_percent_fit_rand,coeff_known_pull,coeff_known,coeff_GP_pull_rand,coeff_GP_rand,cpu_runtime,wall_runtime
[0.39703188 0.40485338],0.396,0.5144092219020173,0.7132564841498559,0.9639769452449568,0.5259365994236311,0.6570605187319885,0.9293948126801153,"[-0.70434711 -1.50097109 -0.40401719 -0.78233137  0.53689451  0.68516966
 -1.92205198  1.68714865  1.85676496 -0.33436692 -1.07364278 -0.05936144]","[ 0.45577688  1.7455533   0.58798773 -0.51148725  1.45395308  0.46747024
 -0.67222458  1.67478373  0.43197907  0.14120431  1.646628    0.61843639]","[-2.00949232 -6.52462931 -0.96577696 -1.56595276  3.52300719  1.48302858
 -6.1590914   6.08418773  6.54358915 -2.75075341 -7.2645335  -1.29863774]","[ 0.45870576  1.74226294  0.59184848 -0.50236266  1.46196664  0.46006505
 -0.66586182  1.67307251  0.42934238  0.125461    1.60198779  0.54334289]",16.057874218,26.61363090481609
[0.36863107 0.41338744],0.396,0.5144092219020173,0.7132564841498559,0.9639769452449568,0.4812680115273775,0.6440922190201729,0.9423631123919308,"[-0.70434711 -1.50097109 -0.40401719 -0.78233137  0.53689451  0.68516966
 -1.92205198  1.68714865  1.85676496 -0.33436692 -1.07364278 -0.05936144]","[ 0.45577688  1.7455533   0.58798773 -0.51148725  1.45395308  0.46747024
 -0.67222458  1.67478373  0.43197907  0.14120431  1.646628    0.61843639]","[-2.11890062 -6.8119755  -0.98111932 -1.74543857  2.56019847  1.70931581
 -6.29103716  6.32581469  6.53604146 -2.73992524 -6.84927608 -1.39481375]","[ 0.45775819  1.74025565  0.5915269  -0.50533309  1.45772478  0.46328266
 -0.66840503  1.67483684  0.43025959  0.12404767  1.60949506  0.53375759]",20.159044336,34.572609602473676
[0.38771821 0.4193347 ],0.396,0.5144092219020173,0.7132564841498559,0.9639769452449568,0.5129682997118156,0.6628242074927954,0.9293948126801153,"[-0.70434711 -1.50097109 -0.40401719 -0.78233137  0.53689451  0.68516966
 -1.92205198  1.68714865  1.85676496 -0.33436692 -1.07364278 -0.05936144]","[ 0.45577688  1.7455533   0.58798773 -0.51148725  1.45395308  0.46747024
 -0.67222458  1.67478373  0.43197907  0.14120431  1.646628    0.61843639]","[ -3.94769388  -8.7188636   -2.78091925  -3.18307073   1.67223836
   3.12689342  -6.60957745   6.01543453   7.11796627 -13.03613966
 -14.73538331  -8.86937885]","[ 0.44912391  1.73569533  0.57923685 -0.51827242  1.45381332  0.47585007
 -0.67021955  1.67334459  0.43329248  0.09284314  1.58509893  0.38316352]",20.158770601,34.665696524083614
[0.3781373  0.40035935],0.396,0.5144092219020173,0.7132564841498559,0.9639769452449568,0.49855907780979825,0.6455331412103746,0.9452449567723343,"[-0.70434711 -1.50097109 -0.40401719 -0.78233137  0.53689451  0.68516966
 -1.92205198  1.68714865  1.85676496 -0.33436692 -1.07364278 -0.05936144]","[ 0.45577688  1.7455533   0.58798773 -0.51148725  1.45395308  0.46747024
 -0.67222458  1.67478373  0.43197907  0.14120431  1.646628    0.61843639]","[-1.27354625 -5.46080864 -0.25166745 -1.27461244  3.09833241  1.35519376
 -7.07647299  7.02702983  7.00936464 -2.13638852 -7.11670231 -0.95651415]","[ 0.4625996   1.74589957  0.59716324 -0.50087771  1.46100506  0.4597392
 -0.67462771  1.67638185  0.43342407  0.12958056  1.58879352  0.55969614]",17.49404240999999,30.692486887797713
[0.402192   0.41636326],0.396,0.5144092219020173,0.7132564841498559,0.9639769452449568,0.5172910662824207,0.659942363112392,0.9409221902017291,"[-0.70434711 -1.50097109 -0.40401719 -0.78233137  0.53689451  0.68516966
 -1.92205198  1.68714865  1.85676496 -0.33436692 -1.07364278 -0.05936144]","[ 0.45577688  1.7455533   0.58798773 -0.51148725  1.45395308  0.46747024
 -0.67222458  1.67478373  0.43197907  0.14120431  1.646628    0.61843639]","[-0.27998515 -4.3854237   0.65138989 -1.68137975  3.36413157  1.6016708
 -5.40858206  5.39413694  5.53525983 -2.09680281 -6.18442224 -0.87754821]","[ 0.46830952  1.74956335  0.60434363 -0.50432645  1.46174061  0.46185408
 -0.66115224  1.67135189  0.42460084  0.1301468   1.61268135  0.56575788]",21.221542688,34.22831211332232
[0.37955821 0.41989156],0.396,0.5144092219020173,0.7132564841498559,0.9639769452449568,0.4956772334293948,0.6512968299711815,0.9365994236311239,"[-0.70434711 -1.50097109 -0.40401719 -0.78233137  0.53689451  0.68516966
 -1.92205198  1.68714865  1.85676496 -0.33436692 -1.07364278 -0.05936144]","[ 0.45577688  1.7455533   0.58798773 -0.51148725  1.45395308  0.46747024
 -0.67222458  1.67478373  0.43197907  0.14120431  1.646628    0.61843639]","[-1.86942506 -6.54119261 -0.79868259 -1.3795384   3.93718367  1.40579318
 -5.38563205  5.9249864   5.72352328 -3.48395135 -8.94021151 -1.87013188]","[ 0.45925823  1.74241578  0.5929371  -0.50156848  1.46502767  0.46007448
 -0.66126486  1.67247815  0.42578765  0.11968062  1.57880665  0.51477879]",24.987458842000024,40.58141628373414
[0.36710183 0.42373316],0.396,0.5144092219020173,0.7132564841498559,0.9639769452449568,0.515850144092219,0.6585014409221902,0.9394812680115274,"[-0.70434711 -1.50097109 -0.40401719 -0.78233137  0.53689451  0.68516966
 -1.92205198  1.68714865  1.85676496 -0.33436692 -1.07364278 -0.05936144]","[ 0.45577688  1.7455533   0.58798773 -0.51148725  1.45395308  0.46747024
 -0.67222458  1.67478373  0.43197907  0.14120431  1.646628    0.61843639]","[-2.773622   -6.81133707 -1.72209219 -1.52021053  3.29561677  1.63390188
 -6.72399396  5.84682281  7.22480633 -0.55272224 -3.29490872  0.22053881]","[ 0.45448591  1.74070312  0.58622905 -0.50164789  1.45979022  0.46096312
 -0.67263351  1.67396824  0.43472224  0.15523598  1.64580624  0.66931807]",26.066420901000015,38.58896369487047
[0.38185343 0.42226075],0.396,0.5144092219020173,0.7132564841498559,0.9639769452449568,0.5115273775216138,0.6556195965417867,0.952449567723343,"[-0.70434711 -1.50097109 -0.40401719 -0.78233137  0.53689451  0.68516966
 -1.92205198  1.68714865  1.85676496 -0.33436692 -1.07364278 -0.05936144]","[ 0.45577688  1.7455533   0.58798773 -0.51148725  1.45395308  0.46747024
 -0.67222458  1.67478373  0.43197907  0.14120431  1.646628    0.61843639]","[-3.27732987 -7.29553219 -2.28670518 -2.75102239  1.79683527  2.6861893
 -7.71882437  6.35569155  7.98188888 -4.35314366 -9.35109394 -2.50846655]","[ 0.45228983  1.7394098   0.58258983 -0.51505627  1.45456624  0.47235801
 -0.67910209  1.6751014   0.4380855   0.11478097  1.58294038  0.49102375]",27.229577936999988,44.403068830259144
[0.47912347 0.15233705],0.10899999999999999,0.5144092219020173,0.7132564841498559,0.9639769452449568,0.5979827089337176,0.7752161383285303,0.9697406340057637,"[-0.70434711 -1.50097109 -0.40401719 -0.78233137  0.53689451  0.68516966
 -1.92205198  1.68714865  1.85676496 -0.33436692 -1.07364278 -0.05936144]","[ 0.45577688  1.7455533   0.58798773 -0.51148725  1.45395308  0.46747024
 -0.67222458  1.67478373  0.43197907  0.14120431  1.646628    0.61843639]","[-1.73488269 -4.86942658 -0.91464877 -1.74026494  3.26732459  1.68913676
 -5.52320648  4.13514372  5.77595823  0.18368929 -2.8285769   0.29870471]","[ 0.45644421  1.73960749  0.58966898 -0.50298297  1.46081296  0.46078589
 -0.67793852  1.67390067  0.4371511   0.17069648  1.60126955  0.74999709]",21.543464029000006,35.79366051591933
[0.36298262 0.41983209],0.396,0.5144092219020173,0.7132564841498559,0.9639769452449568,0.4755043227665706,0.6484149855907781,0.9438040345821326,"[-0.70434711 -1.50097109 -0.40401719 -0.78233137  0.53689451  0.68516966
 -1.92205198  1.68714865  1.85676496 -0.33436692 -1.07364278 -0.05936144]","[ 0.45577688  1.7455533   0.58798773 -0.51148725  1.45395308  0.46747024
 -0.67222458  1.67478373  0.43197907  0.14120431  1.646628    0.61843639]","[ -2.79048286  -6.64786499  -1.81239679  -2.71315166   2.02603714
   2.77566084  -6.49070105   5.25006255   6.70459902  -6.95426881
 -11.54060345  -4.41812234]","[ 0.45438546  1.74163753  0.58557938 -0.51509593  1.45605724  0.47340656
 -0.67011837  1.67183697  0.43153984  0.10485999  1.58100549  0.4415645 ]",21.922974683999996,32.320164827629924
