hyperparameter,loss_score,0.67std_percent_known,1std_percent_known,1.96std_percent_known,0.67std_percent_fit_rand,1std_percent_fit_rand,1.96std_percent_fit_rand,coeff_known_pull,coeff_known,coeff_GP_pull_rand,coeff_GP_rand,runtime_seconds
[0.66587398 0.06895047],0.10676258706770092,0.4957865168539326,0.6853932584269663,0.9466292134831461,0.5308988764044944,0.726123595505618,0.9705056179775281,"[-0.1869374  -0.03453889 -0.36969282  2.10207775  1.13010047  2.24406009
 -0.79941513 -0.99582208 -0.30288068  1.06636099  0.17954318 -1.70757122]","[ 0.55573506  1.77870243  0.4258888   0.4264411   1.7006157   0.49729717
  0.12595626  1.7037217   0.46789247 -0.29810142  1.48793206  0.26352155]","[ 1.35295299  1.06260426  0.86519624  1.51371847  0.97843865  1.81409819
  1.25379753  0.66645318  0.55819287 -0.06959547 -0.1578897  -0.6583141 ]","[ 0.56739581  1.78406581  0.43348811  0.4163584   1.69790688  0.48943071
  0.19395087  1.8         0.70937382 -0.30732148  1.48513489  0.27205228]",57.932732996000006
[0.54781299 0.06613696],0.10118378835547459,0.48807854137447404,0.6746143057503506,0.94109396914446,0.5778401122019635,0.7713884992987378,0.9691444600280504,"[-0.20306693  0.5597223   0.08941669  1.34678983 -0.20389823  1.34896563
 -1.97312569 -0.27305897 -2.26198949  0.39697939  0.47598245 -0.32603716]","[-0.97378911  1.49613315  0.6507629   0.87609203  1.68886667  0.7174188
  0.30695798  1.57501115  0.47573253 -0.09514497  1.70530965  0.58359156]","[-3.49314917 -1.12702017 10.72561154  0.20504919 -0.21792802  0.20786839
 -2.84023414  0.93898118 -3.42537842 -0.05946289  0.471229    0.15881328]","[-0.99998994  1.48654979  0.67036458  0.82273349  1.68932063  0.67233432
  0.29482667  1.59711441  0.44806056 -0.11565394  1.70863665  0.70196059]",86.08901529399999
[0.54698352 0.06666892],0.09900226405250079,0.5144092219020173,0.7132564841498559,0.9639769452449568,0.5922190201729106,0.7853025936599424,0.9855907780979827,"[-0.70434711 -1.50097109 -0.40401719 -0.78233137  0.53689451  0.68516966
 -1.92205198  1.68714865  1.85676496 -0.33436692 -1.07364278 -0.05936144]","[ 0.45577688  1.7455533   0.58798773 -0.51148725  1.45395308  0.46747024
 -0.67222458  1.67478373  0.43197907  0.14120431  1.646628    0.61843639]","[-0.99514346 -2.22484745 -0.52378963 -1.02651213  0.81683943  0.86914192
 -2.06643671  1.52622612  2.05773542  0.05779447 -0.13573068  0.22160892]","[ 0.44960186  1.73480579  0.5844275  -0.51250075  1.45683322  0.46709692
 -0.67972938  1.67410529  0.43784678  0.17189078  1.74702234  0.74727509]",65.65189173800002
[0.58345034 0.07143761],0.09262471220727872,0.5258620689655172,0.6896551724137931,0.9468390804597702,0.5589080459770115,0.7514367816091954,0.9612068965517241,"[ 0.74621401  1.0233117  -0.95480225  1.32200216 -1.47143433  1.30788097
  2.06684046 -0.78727964 -2.44821394  1.29452557 -0.31530621 -1.59141714]","[-0.54440633  1.60245707  0.45392868  0.56584501  1.41618475  0.48904786
 -0.36829981  1.60968409  0.34108675 -0.63652722  1.6331928   0.43333959]","[-0.53598411  2.32838582  0.21828526  3.49626874 -4.23656499  2.5237769
  0.55868659  0.83006833 -1.26868042  3.23040808  0.33846799 -3.70799699]","[-0.55402418  1.60663609  0.4624786   0.57520809  1.4000006   0.49073533
 -0.38372533  1.62135831  0.35511939 -0.60969149  1.63945169  0.41375051]",61.90309568400005
[0.58501161 0.06881807],0.11071945693281104,0.5121580547112462,0.6793313069908815,0.939209726443769,0.6003039513677811,0.770516717325228,0.9696048632218845,"[ 3.12193174  4.26558409 -3.27278867 -0.13858995  1.4062603  -0.45580226
  0.81376099 -2.22939189  0.7515083  -1.0708286  -0.26332646  1.16104735]","[-0.03069093  1.67907064  0.38774088  0.40707767  1.49844618  0.45019703
  0.83187821  1.53673166  0.47333904 -0.91986793  1.47758826  0.57593518]","[ 4.10859187  5.69741038 -5.90318125 -0.52821613  2.14527554 -0.40040962
  0.18188349 -3.96699994  0.16023381 -0.60734689  0.3171559   0.39990503]","[-0.03118413  1.69094189  0.33742365  0.39698521  1.51384967  0.44954781
  0.81520752  1.51753408  0.46275508 -0.88764717  1.49015395  0.54031103]",90.65683481299999
[0.61947005 0.0643863 ],0.1258124915486023,0.4657933042212518,0.6666666666666666,0.9461426491994177,0.5764192139737991,0.7569141193595342,0.9781659388646288,"[-0.32989257 -0.02005036 -0.24726046 -0.32013387  0.07538212 -0.37112994
 -1.61109556  0.33084397 -1.28517797  0.40611436  0.5108739   0.32371533]","[0.22255281 1.67916023 0.64233478 0.38391109 1.58561355 0.44701825
 0.13957314 1.46298105 0.40292264 0.33863338 1.6894147  0.58972998]","[ 0.37304937  0.11221021  0.16320859  1.20911506  1.56397306  0.94050314
  0.0379435  -0.05447865  0.16893662  1.26823838  2.700049    0.90759707]","[0.25729868 1.68648551 0.73821169 0.41844335 1.61017371 0.48637309
 0.17208846 1.43213118 0.51113215 0.37890917 1.79999999 0.63908011]",67.95945702300003
[0.56253037 0.06679645],0.1172572935782853,0.4844804318488529,0.6707152496626181,0.9581646423751687,0.5357624831309041,0.7314439946018894,0.9635627530364372,"[ 0.27243898  0.09082261 -0.60215279 -0.21545148 -0.22117502 -0.30473708
 -1.48946229 -2.00176476 -1.63648437 -0.16572603  0.18776928  0.19545338]","[-0.7276352   1.73274385  0.46448014  0.06295961  1.74781742  0.51588643
  0.36470501  1.58739364  0.52081333 -0.34140475  1.63181598  0.61236828]","[ 0.643603   -0.40370199 -0.93998181 -0.83638367 -1.98800589 -0.97529918
 -2.98185942 -1.14272039 -2.83404912 -8.36845248  0.47841668  0.50486028]","[-0.72386968  1.7307323   0.46189323  0.05389185  1.59426433  0.46367292
  0.33129892  1.60663685  0.47810913 -0.41898876  1.65684287  0.74999854]",81.78475885
[0.57633473 0.0672033 ],0.12866033561147705,0.47313432835820896,0.6671641791044776,0.9492537313432836,0.5716417910447761,0.753731343283582,0.9805970149253731,"[ 0.17833468  0.32061498 -0.3649261  -2.70646452  0.16177176  1.41750476
 -0.79817133 -0.01251714 -1.23842454  0.03447148  0.84234854 -0.33111322]","[-0.02698573  1.68365983  0.58677565 -0.25379908  1.79998613  0.74999696
  0.71865259  1.40000013  0.4429653   0.41080451  1.57271588  0.4400009 ]","[ 0.23465433  0.7088904  -0.25354792 -0.47607742 -0.74986263  0.30863266
 -0.3728778  -0.00694712 -1.18539307  0.84005255  1.16264678  0.54359643]","[-0.02752268  1.8         0.62291975 -0.23451464  1.65867892  0.75
  0.72455423  1.4         0.44370915  0.43548552  1.58880626  0.46969068]",78.48315171399997
[0.58382494 0.06718412],0.10014360786286314,0.5138686131386861,0.6744525547445256,0.9474452554744526,0.5781021897810219,0.7605839416058394,0.9824817518248176,"[-0.16710007  1.34663208 -0.2501406  -1.81323088  0.42959349 -2.34997092
 -0.61334201 -0.66698277 -0.74781098 -0.6693898  -0.68485617  1.09568781]","[ 0.54497154  1.58077986  0.72653896  0.2106634   1.66180214  0.49440545
  0.6714458   1.72338109  0.63907789 -0.45659081  1.46195363  0.26736207]","[ 0.20729466  0.98768008  0.0580782  -1.74431129 -0.88881993 -2.4847727
  0.10075591  0.07921595  0.07697182  0.3644591   0.42161382  0.16528283]","[ 0.55691959  1.57839258  0.74060283  0.2048089   1.62452015  0.46198464
  0.72131968  1.74784614  0.69521002 -0.44584271  1.46898932  0.26112449]",62.25681133299997
[0.5868922  0.06605822],0.09537725312031647,0.480225988700565,0.6850282485875706,0.9279661016949152,0.5550847457627118,0.7542372881355932,0.9703389830508474,"[ 0.88886941 -2.69860173 -0.82894533 -0.2397108  -0.17672234  0.17916414
  1.45571271 -0.06086349  1.29264502  0.11805947  0.23990615  0.07948289]","[-0.83006157  1.657341    0.6844297  -0.70023809  1.7691392   0.57756285
  0.67070834  1.40004561  0.6250399   0.15315622  1.70614636  0.42979558]","[-15.42097086   0.25148612   1.77181516  -0.87303404   0.43445938
   0.83795804  -1.85073478   0.40538119  -2.12212592  -1.34340002
   0.09818508  -1.71107846]","[-0.89931093  1.68036487  0.7499988  -0.75447197  1.79046597  0.62216126
  0.565059    1.4333358   0.51471969  0.12719568  1.69720952  0.33060235]",66.12196971100002
