hyperparameter,loss_score,0.67std_percent_known,1std_percent_known,1.96std_percent_known,0.67std_percent_fit_rand,1std_percent_fit_rand,1.96std_percent_fit_rand,coeff_known_pull,coeff_known,coeff_GP_pull_rand,coeff_GP_rand,runtime_seconds
[0.12687024 0.11876207],24.290489018256736,0.5302593659942363,0.6801152737752162,0.968299711815562,0.09221902017291066,0.1440922190201729,0.2017291066282421,"[-12.71082476  -0.853228     0.20217235  -0.21087596  -0.30889885
   1.08962832   8.39203958   1.34276692  -2.80669804   1.15491746
   1.13935369   1.17616651]","[ 0.41241313  1.64535258  0.51722521 -0.23298348  1.41825882  0.74285017
 -0.99999992  1.45752078  0.67998741 -0.18426334  1.75862308  0.31762696]","[-19.46785172  -1.04236318  -2.31849919   2.70291681  -0.35560081
  -0.43696019  13.26827315   1.53566815  -1.33745616   1.55388726
   0.43222326   0.96537338]","[ 0.38899372  1.64555342  0.47882994 -0.14494227  1.5016825   0.41771357
 -1.          1.462784    0.69565537 -0.18421463  1.72836127  0.29812887]",134.02689456939697
[0.06184434 0.20875147],23.59501425452778,0.4622093023255814,0.6540697674418605,0.9331395348837209,0.2558139534883721,0.35174418604651164,0.6366279069767442,"[-0.49798423 -1.30471676  0.8330761   4.00609884  1.25549307  1.0322424
  0.50882753  0.39112372 -0.15716364 -7.78449195 -0.65295737 -0.66438677]","[ 0.20491352  1.44233633  0.57270126 -0.27408097  1.72875926  0.30150871
 -0.03560296  1.8         0.58145982  0.8498111   1.62615731  0.33496285]","[-3.86961170e-01 -1.55464851e+00  7.73582653e-01  4.53518985e+00
  1.74939328e+00  3.09413703e-01  6.28111667e+00 -1.92521021e+00
 -1.20372032e+00 -5.91690580e+00 -8.07696029e-01  4.78850462e-03]","[ 0.2072108   1.42878835  0.56779772 -0.26775126  1.7360971   0.29065885
 -0.01623979  1.44313817  0.2500003   0.87112095  1.62505482  0.34134111]",65.07097506523132
[0.02658499 0.29757297],19.96122163172033,0.5089820359281437,0.7125748502994012,0.9461077844311377,0.8592814371257484,0.8952095808383234,0.9850299401197605,"[ 0.43877347 -0.66630389 -3.33901463 -1.17651603  1.41743727 -0.98838776
 -7.14578219  0.37149804  0.09143447 -2.61239949 -0.13407607  0.75817244]","[-0.14268271  1.6028572   0.4808353  -0.47901911  1.47316407  0.59817149
 -0.51490743  1.49140607  0.74999972 -0.4597493   1.40000011  0.59417665]","[ 1.84143986 -0.56077037 -4.6623993  -0.90445881  0.1221959   0.11361164
 -4.54581009 -1.42748352  0.01801814 -5.99414444  0.12805446  0.62349219]","[-0.12549547  1.60389026  0.41591166 -0.54611659  1.43494862  0.72046187
 -0.51758335  1.4         0.74999959 -0.51039619  1.43493902  0.74999752]",76.05924153327942
[0.05155499 0.26345143],18.892275291314263,0.5103857566765578,0.6795252225519288,0.9584569732937686,0.11869436201780416,0.1661721068249258,0.3590504451038576,"[-6.75037687 -0.81148766 -1.27669625 -0.20283166  0.66526747  0.89137727
 -1.18906578 -1.69409882  0.35177826  0.27381639 -0.13030623  0.29493962]","[ 0.72033628  1.59709285  0.60828448 -0.22803831  1.65247315  0.54000111
 -0.56090031  1.59734554  0.74999932 -0.31614639  1.40000099  0.67690364]","[-3.30312206 -1.22731323  0.77061223 -0.65146484  1.43379293  1.23382396
  1.9932927  -2.79210908 -0.90837905  0.05965869  0.55223531  0.26530723]","[ 0.76530848  1.59158162  0.65982808 -0.25580098  1.7390444   0.60860603
 -0.42857064  1.59565347  0.55455939 -0.33450611  1.51589753  0.74997277]",65.28350019454956
[0.15618841 0.09380169],18.306822195054206,0.5294117647058824,0.6970588235294117,0.9382352941176471,0.43529411764705883,0.6323529411764706,0.8941176470588236,"[ 0.82488141 -0.5623775  -1.30053597 -3.61125264 -0.18971347  0.02026961
 -1.30912193 -2.52777342 -3.05346694  0.12151074 -0.06933465 -0.98521731]","[-0.06238795  1.5841963   0.49041548 -0.5524656   1.48295737  0.36029637
  0.23655621  1.71514574  0.37047785 -0.34143898  1.40000359  0.55947733]","[-0.0244996  -1.14847878 -0.38788537 -2.57516865  0.20202371 -0.19632814
 -0.77697357 -2.38834415 -2.60659853  0.89091082  0.45230475 -1.73673573]","[-0.07554546  1.51645938  0.59137208 -0.55039724  1.48657413  0.35716935
  0.24646809  1.71944253  0.38279964 -0.29036511  1.4532067   0.46610944]",85.53026294708252
[0.20215462 0.082908  ],20.230222306532394,0.5578635014836796,0.7210682492581603,0.9643916913946587,0.44807121661721067,0.6142433234421365,0.9198813056379822,"[ 1.02689793 -0.99340263  0.63170894 -1.03082276 -1.0526402   1.09731486
 -0.61179502  0.37321872 -2.37180791 -1.32900417 -0.10629459  0.10817734]","[-0.60993305  1.40486567  0.53862435 -0.33903473  1.43230831  0.6198629
  0.05515216  1.67039565  0.31177761 -0.30098928  1.44342539  0.74888302]","[ 0.20997478 -0.05113092  1.03659381 -2.11678755 -1.65164342  1.96147794
 -0.61530083  0.48190421 -2.47574721  0.90559848 -0.40332581 -1.65101609]","[-0.62439454  1.40053029  0.55190243 -0.33988463  1.40135654  0.61631332
  0.05613125  1.67394072  0.31668887 -0.22281441  1.44840939  0.54066879]",59.49561882019043
[0.27392216 0.06107871],23.016571556670936,0.4940119760479042,0.6616766467065869,0.9550898203592815,0.5299401197604791,0.7125748502994012,0.9431137724550899,"[-4.18988126 -1.95648984  2.63077918  0.04985043 -0.89629572 -0.56677543
 -9.88582731 -0.5036907   0.4566016  -0.15761412  1.41611057 -1.14729377]","[-0.35962744  1.40000012  0.65728634  0.37738788  1.73305911  0.52282703
 -0.51001032  1.60916745  0.74997871  0.19011575  1.45801158  0.31106572]","[-4.24717971 -5.2251609   2.79612654  0.84717894 -0.4994349   0.63158843
 -0.72147308 -1.6428806   0.66729768 -0.70495845  1.35123886 -2.2993044 ]","[-0.36557554  1.40000006  0.66916658  0.45095811  1.73600434  0.63627534
 -0.43877164  1.56898755  0.63348522  0.18049888  1.45072128  0.2816623 ]",82.80487775802612
[0.07190442 0.21018751],23.374389138759284,0.4666666666666667,0.6696969696969697,0.9333333333333333,0.4818181818181818,0.6575757575757576,0.9363636363636364,"[ 3.63463554  0.29500173 -1.19488536  0.92342403  0.10627716 -0.57582801
 -1.78747696  0.55967478  0.24504659  5.93167486  2.56591399 -4.76532254]","[-0.11086447  1.56903309  0.28213868 -0.17858869  1.49469297  0.29965125
 -0.44174386  1.5443244   0.74983755 -0.26811238  1.50745143  0.38282528]","[ 3.25637425e+00  9.74443987e-01 -1.03341100e+00  1.51644224e+00
  8.88432754e-01 -6.91129194e-01 -9.96610155e-03  3.90114560e-01
  1.35505563e-01  1.12127597e+01  5.55419646e+00 -9.25901916e+00]","[-0.11310939  1.57377503  0.28447001 -0.17286322  1.50768231  0.29655211
 -0.40534058  1.52760559  0.6781636  -0.23387478  1.54464327  0.32284881]",76.6955304145813
[0.16774653 0.09230907],19.90962783374752,0.5614035087719298,0.7251461988304093,0.956140350877193,0.5321637426900585,0.7485380116959064,0.97953216374269,"[-1.91600876 -0.10324513  0.6938658   0.61814405  0.73182743  0.07473808
 -0.78638895 -0.22942044 -0.26378507  0.66935475 -1.0501828  -1.14192474]","[-0.19436901  1.67027197  0.33922562  0.02841876  1.8         0.35408382
 -0.29769451  1.72462527  0.3240332  -0.52995391  1.6083207   0.40957249]","[-1.89504787 -0.33825816  1.54585832  1.40361192  4.45490713 -0.16434103
 -0.86774549 -0.55754942  0.59397404  0.79007801 -1.35686623 -1.25041753]","[-0.19465189  1.66831522  0.35051471  0.02911892  1.7999999   0.25131466
 -0.30083928  1.71820628  0.34465881 -0.52999067  1.60668238  0.41239799]",85.53370189666748
[0.08945788 0.15798038],25.601579233821845,0.4797687861271676,0.6820809248554913,0.9450867052023122,0.4682080924855491,0.6907514450867052,0.9566473988439307,"[ 1.99013425 -1.53778315  0.440651   -1.00792537  0.9736878  -0.9437256
 -0.14079873  1.65744647 -0.26322911  0.34814386 -0.61722408  0.54830629]","[-0.25582487  1.65702111  0.28147305  0.14915565  1.74310661  0.36464275
  0.22036972  1.63516233  0.42611175  0.50388505  1.42331819  0.31007176]","[ 1.7900375  -2.76944614  1.02600773 -0.71197266  1.28539745 -1.0594894
  0.90590762  2.18426238  0.86041956  1.09356587 -0.45988589  1.47043094]","[-0.25690577  1.6535432   0.28410285  0.15267788  1.75486618  0.35747375
  0.27544877  1.72055044  0.54245734  0.51955245  1.42527563  0.32330797]",77.91371202468872
