hyperparameter,loss_score,0.67std_percent_known,1std_percent_known,1.96std_percent_known,0.67std_percent_fit_rand,1std_percent_fit_rand,1.96std_percent_fit_rand,coeff_known_pull,coeff_known,coeff_GP_pull_rand,coeff_GP_rand,runtime_seconds
1.0,-1.9902483359369185,0.42,0.56,0.94,0.02,0.12,0.32,[-4.61857749 -0.43473951 -0.67679178  0.4786884 ],[ 0.22377578 -0.15538401  0.12847326 -0.16106326],[-13.96100654  -0.10490719  -2.14307331   2.98189924],[ 0.22360569 -0.14913358  0.1281282  -0.15078433],0.010886387999999858
1.000009045474105,2189.7126459058877,0.56,0.72,0.94,0.1,0.32,0.78,[-2.34303703 -1.69741571 -0.47633021 -1.04755542],[-0.42770375 -0.49815659  0.37861906  0.22902177],[-7.4520371  -5.97321964 -1.83493495 -4.82148457],[-0.42842971 -0.50311763  0.37678968  0.22062892],0.006668985999999766
1.0,4790.928335455215,0.4,0.66,0.96,0.02,0.16,0.3,[ 5.54623328 -5.43560189  3.32053186  3.6346398 ],[ 0.25039968 -0.59940229  0.42148189  0.49022495],[ 16.12700297 -17.58868098   9.44516421   9.45124066],[ 0.24952227 -0.60922648  0.4179334   0.47293833],0.00185612199999996
1.0,396.36293806398425,0.56,0.64,0.96,0.06,0.14,0.26,[ 0.78299078 -1.26079739 -4.8605322  -0.6932215 ],[-0.09209633 -0.16208827  0.48786271 -0.14435591],[  2.2513505   -2.52949291 -15.26851477  -0.74390026],[-0.0923149  -0.15570926  0.48637962 -0.13247966],0.0010397659999998865
1.0,165.81426817891767,0.54,0.7,0.94,0.46,0.62,0.94,[-0.58906711  0.12335082  0.94684977  0.45165266],[ 0.08496383  0.321765   -0.12607605  0.37746137],[-1.69798187 -2.55685414  3.00620878 -2.25830623],[ 0.08507727  0.30615956 -0.12532308  0.34939435],0.0010559970000003638
1.0,356.8814427198938,0.42,0.58,0.9,0.4,0.54,0.68,[ 1.23763679 -0.87641153 -2.05303879 -2.91157786],[-0.08274835  0.01099867 -0.36208413 -0.36809658],[ 4.28883943e+00  1.19260524e-03 -5.44332023e+00 -6.70141430e+00],[-0.08156351  0.02370101 -0.35735733 -0.34630317],0.0009843449999999976
1.0,4124.423371737007,0.44,0.54,0.94,0.06,0.06,0.18,[ 4.44544459 -5.44968084 -0.32421594  4.85065502],[-0.12704694  0.5001068  -0.06763241 -0.77157597],[ 13.62869381 -11.18138085  -0.07776202  21.43487448],[-0.12602399  0.52376396 -0.0626643  -0.73713684],0.0018420150000002522
1.0,2.67442387165719,0.5,0.64,0.94,0.46,0.58,0.72,[-2.08107162 -0.96685088  0.89358953 -2.13145269],[-0.29157306 -0.19261756  0.04162928 -0.25360319],[-6.29574998 -1.02739177  2.82728247 -5.04166704],[-0.29165595 -0.18264965  0.04197267 -0.23700896],0.0009965400000000457
1.0,173.23725221107702,0.34,0.48,0.9,0.2,0.26,0.78,[ 1.27935667 -1.38829669 -2.0263444  -1.12482834],[-0.23916774  0.09851729 -0.31448714 -0.00282423],[ 4.09829311 -3.93541734 -5.60064119 -3.56727466],[-0.23858747  0.09914379 -0.31035569 -0.00137054],0.0008928529999998602
1.0,786.4345894667932,0.7,0.78,0.98,0.2,0.3,0.48,[ 1.71513937 -1.27081532 -1.70433569  0.61107995],[-0.45570262  0.29338082  0.27422179 -0.23283951],[ 5.37436307 -2.62449853 -4.92542237  3.11085608],[-0.45514386  0.2988519   0.27571423 -0.2258914 ],0.000893421999999866
1.0000078812898838,6986.52350339734,0.46,0.76,0.98,0.02,0.02,0.06,[-0.02243718  7.93379922 -0.95656413 -3.37646824],[ 0.01047717  0.74657855 -0.00391242 -0.69544256],[-0.4114334  26.88678963 -2.88081667 -6.13022742],[ 0.00988462  0.76709601 -0.00367225 -0.66341242],0.005718751999999938
1.0000085602645252,487.7903029354869,0.54,0.64,0.96,0.22,0.26,0.52,[-0.41690587  0.19425343 -2.05495168  3.36380623],[-0.18899436 -0.0497665  -0.34952555  0.42407977],[-0.40064512 -2.59720772 -5.28735718  7.77188649],[-0.18731882 -0.06652686 -0.34315073  0.39770035],0.00487301499999937
0.9999999984936664,2196.382285350391,0.48,0.66,0.94,0.08,0.1,0.2,[25.67143092  9.55322987 -5.51516718 -3.23083811],[ 0.47303335  0.40626905 -0.25683352 -0.3636812 ],[ 77.5644289   32.12524812 -16.84366761  -7.72547849],[ 0.47463039  0.42125856 -0.25473009 -0.34327352],0.013214088999999873
1.0,207.44719848868195,0.56,0.74,0.96,0.12,0.18,0.46,[-4.44338662 -1.77376414  1.56786101 -2.2728764 ],[-0.48820906 -0.05327954  0.09684416 -0.42402305],[-13.45727521  -2.45722795   4.79447256  -4.55357105],[-0.48857479 -0.03997302  0.09691005 -0.40420854],0.001888186999999597
1.0,165.72158702531559,0.64,0.76,0.98,0.22,0.52,0.86,[-0.36877391  1.22410507  0.68066449  1.3911958 ],[-0.0761678  -0.31080323 -0.07002982 -0.31067956],[-1.08748148  5.50555253  2.43284984  6.9752024 ],[-0.07612176 -0.30127374 -0.06832374 -0.29456392],0.0008736159999997994
1.0,110.00577926572058,0.44,0.7,0.98,0.44,0.54,0.82,[-3.13036159 -0.97006211 -1.95712716  0.04203262],[-0.16171064 -0.16482511 -0.29229588 -0.1257041 ],[-8.92516831 -1.63822705 -5.395782    1.59393944],[-0.16106249 -0.15879519 -0.28918112 -0.11464451],0.001947756999999939
1.0,56.838517101199365,0.54,0.72,1.0,0.28,0.52,0.9,[0.8468098  0.31742838 0.14345708 1.50431435],[ 0.2012876   0.21101063 -0.0728983   0.39275483],[ 2.83833518 -1.80881241  0.964111    1.82609244],[ 0.20190602  0.19685075 -0.06994304  0.37005781],0.0017703210000004077
1.0,1347.6100079430648,0.48,0.58,0.92,0.12,0.2,0.46,[ 6.50001722 -1.05137915  4.07270507  0.56574314],[ 0.35692352 -0.30192378  0.41070107  0.25916897],[19.14026098 -4.2117093  12.15162836 -0.18325015],[ 0.35684357 -0.30781297  0.40968443  0.24554418],0.0017618929999994037
1.0,105.1006648756281,0.44,0.72,0.94,0.1,0.18,0.4,[1.49139448 0.45711784 5.09267542 0.36865446],[-0.03497038 -0.11547129 -0.30641166 -0.18281243],[ 4.59206049  2.56059999 16.17082274  2.66008735],[-0.03472249 -0.10872086 -0.30480737 -0.17215878],0.0010273569999998955
1.0000006985706476,918.6664165982668,0.5,0.74,1.0,0.42,0.5,0.6,[-5.04558417  4.36122134 -2.41209929  0.71149564],[-0.29303699  0.33273211 -0.29079288 -0.08072105],[-15.14681449  13.0079611   -7.21487328   2.62058387],[-0.29259624  0.33426898 -0.28898392 -0.07872415],0.006056937999999512
1.0,50.4784659177791,0.6,0.76,1.0,0.02,0.02,0.06,[-11.7697775   -3.54629659   0.46134386  -3.52966156],[ 0.21978759  0.11737332 -0.06676983  0.37326382],[-35.25744098 -12.55804487   1.10979871 -14.83367012],[ 0.21964449  0.10424522 -0.06856006  0.34981969],0.0018839239999994817
1.0,121.37179420898445,0.54,0.64,0.96,0.2,0.28,0.56,[-5.009652    2.04824027 -4.32461792  3.93053114],[ 0.07956832 -0.08834397  0.27404415 -0.20775033],[-14.73226002   6.83117913 -12.71953906  14.04096768],[ 0.08026215 -0.08318203  0.27668052 -0.19982658],0.0009486999999994694
1.0,228.5951386135537,0.46,0.64,0.96,0.1,0.16,0.24,[ 9.08780914 -0.66880122 -3.25139737  0.94563991],[-0.53074194  0.12122673  0.31837544 -0.06155804],[26.78586977 -1.3885509  -9.94427928  3.82961089],[-0.53094266  0.12409093  0.31849506 -0.05700557],0.0018828849999996677
1.0,2163.530547033537,0.52,0.7,0.9,0.14,0.16,0.42,[ 3.40200574 -1.88732548  3.74926803  2.84127932],[ 0.1093908  -0.3517073   0.61006815  0.40654534],[ 9.55713442 -7.59099906 11.07383552  6.67222408],[ 0.10852033 -0.36280406  0.6082351   0.38670516],0.0010944710000000413
1.0,1098.5312646212265,0.46,0.7,0.96,0.48,0.58,0.78,[-0.88862248 -0.35914971  0.14608372  0.88938969],[ 0.08162677  0.01240754 -0.77806699  0.00291269],[-2.49662061 -0.83977691  0.90034433  3.23529039],[ 0.08188137  0.01322332 -0.77561475  0.00470146],0.001902250999999744
1.0,205.59244091687506,0.5,0.7,0.92,0.4,0.54,0.96,[-1.61610361 -1.04513151 -0.98414988 -0.77977962],[-0.0862321   0.23227667 -0.29902809  0.18920887],[-4.86060074 -4.3133745  -2.95439191 -4.26383828],[-0.08627845  0.22540715 -0.29854942  0.17723907],0.0009785770000014793
1.0,24.399986166218703,0.28,0.56,0.98,0.26,0.42,0.6,[-4.49401576  0.90327383 -2.90320469  0.66828009],[ 0.12863251 -0.16814609  0.15039199 -0.2998316 ],[-13.73108746   5.13052432  -9.32771862   5.31719045],[ 0.12801024 -0.15479936  0.14801113 -0.27771035],0.0010012830000007966
1.0,205.43956984530013,0.56,0.68,1.0,0.18,0.48,0.7,[-4.59408378 -1.97820198 -1.93372968  0.13309685],[-0.2165355  -0.26836006 -0.16635642 -0.05582106],[-13.48361945  -5.06391016  -5.82171716   0.96994183],[-0.21622037 -0.26540845 -0.16560583 -0.05202914],0.0019122389999992606
1.0,81.04848933307622,0.44,0.62,0.98,0.14,0.2,0.34,[ 9.71624927 -0.08147462  4.9106185   3.91322612],[-0.12322621 -0.04556334 -0.23479743 -0.23334746],[28.98411948  1.2248498  14.84770232 15.13084066],[-0.12359041 -0.03806156 -0.23599298 -0.21800511],0.009780391999999694
