hyperparameter,loss_score,upper_bounds,lower_bounds,0.67std_percent_known,1std_percent_known,1.96std_percent_known,0.67std_percent_fit_rand,1std_percent_fit_rand,1.96std_percent_fit_rand,coeff_known_pull,coeff_known,coeff_GP_pull_rand,coeff_GP_rand,cpu_runtime,wall_runtime
[0.16962504 0.51723627],0.19605117545515877,0,0,0.4166666666666667,0.625,0.9166666666666666,0.9166666666666666,0.9583333333333334,1.0,"[-2.55559681  0.14543187  1.85529984  0.23901299  0.19637003 -0.51320557
 -8.10424573 -0.57937801  0.91591108 -1.95335321 -0.18927233 -1.33218537]","[-0.36463739  1.79994386  0.42397998 -0.31136079  1.57766342  0.45984316
 -0.96591172  1.40022693  0.74999915  0.09556522  1.53327829  0.28421396]","[ 0.25681012 -0.03124991  0.02730749  1.07725138 -0.8291532  -0.8831087
 -0.14631911 -0.38706372  0.25607132 -0.38213928 -0.08237767 -1.02036912]","[-0.26920631  1.73410261  0.36370058 -0.22192808  1.45799733  0.25137007
 -0.59930849  1.4         0.49037091  0.09207944  1.56097745  0.32644141]",3.454529762,3.607014107008581
[0.37490612 1.09888712],0.17024913649060566,1,1,0.3333333333333333,0.47619047619047616,1.0,0.5238095238095238,0.6666666666666666,1.0,"[-2.26987164  0.85147076 -1.51168079  1.45707942 -0.22454926 -0.70320629
 -4.70175952 -2.07596314 -0.48111859  2.31474452 -2.88390693 -4.71766078]","[ 0.1604749   1.48190201  0.39122076 -0.09282142  1.55466315  0.34431284
  0.14122694  1.60656712  0.25005708 -0.17178322  1.49724818  0.25000008]","[-0.19783199 -0.06013726  0.0631985   0.34681197 -0.50930627 -0.51496681
  0.24046537  0.00748826  0.73962323  2.14176993 -0.74176713 -0.60240223]","[ 0.19779174  1.40974795  0.54261829 -0.12164879  1.43667839  0.40439632
  0.34953161  1.7897401   0.69028369 -0.16945725  1.40000337  0.25000008]",3.8131461969999947,3.7700549629953457
[0.45354413 0.9196141 ],0.17055127452580315,2,2,0.3333333333333333,0.5238095238095238,0.9523809523809523,0.6666666666666666,0.7619047619047619,0.9523809523809523,"[ 5.17488413 -0.38257814  0.4737547   1.2763128   0.38942211 -0.57568219
 -0.25398875  0.32859799 -0.33447946  4.6921999   0.58543052 -1.48700293]","[ 0.3855116   1.45774143  0.74996211 -0.3422064   1.6725201   0.30038922
  0.1236093   1.65282946  0.34248143 -0.03509661  1.58536306  0.25000002]","[ 0.95454906 -0.37906423  0.42401861 -0.09987388  0.85423411  0.44388973
  0.73682442 -0.57274107  0.78359663  2.40741731  1.1165721   0.07816703]","[ 0.35498414  1.400005    0.70128395 -0.41645914  1.72663734  0.37963202
  0.20661421  1.40194807  0.72888609 -0.04369765  1.79994979  0.74724135]",4.170735814999993,4.058667241013609
[0.06831918 0.70376152],0.16473385100141286,3,3,0.5217391304347826,0.6521739130434783,0.9130434782608695,1.0,1.0,1.0,"[ 0.92104592 -1.05665143  0.07233281  1.02275824  0.64671584  1.21167211
  0.82096575 -0.11525152  0.73555672  8.19280724 -2.38650898 -0.97915919]","[ 0.08797418  1.43611396  0.74999997  0.51790494  1.67164423  0.4679723
  0.56808934  1.40000021  0.35568887 -0.1919118   1.62845097  0.25000751]","[-0.01135597  0.00269192  0.1103978   0.19125649 -0.62060977  0.82681741
 -0.53744681  0.67092186 -0.11143283  1.37727371  0.11262124 -1.38096434]","[ 0.06697906  1.79005498  0.74998966  0.65130451  1.40002381  0.53371577
  0.26847704  1.63235113  0.29031546 -0.10602728  1.79999443  0.25044019]",3.788746197000009,3.762432104005711
[0.36830477 0.4518272 ],0.1646989489614613,4,4,0.5384615384615384,0.6923076923076923,0.9615384615384616,0.6923076923076923,0.8076923076923077,1.0,"[-0.88946894  0.19128351 -0.16191602  0.76676247  0.24506535  0.80453306
 -1.53943782  0.13634808 -0.18969817  0.85372111 -1.54085336  0.54422319]","[0.04475339 1.58658483 0.25170477 0.28965083 1.57870257 0.41174776
 0.16954749 1.44036601 0.25000001 0.23531859 1.41348475 0.74655482]","[ 0.19213681  0.78582244 -1.51769311  0.12715302 -0.17349088  0.4070511
  0.30608033 -0.11471658  0.2833797  -0.14005843 -0.99929828 -0.67434014]","[0.05899204 1.64978974 0.25       0.24176341 1.50320946 0.40887823
 0.27193049 1.40000012 0.3864772  0.08368569 1.40000006 0.33643604]",3.8229783360000056,3.748667915991973
[0.07573139 0.88056277],0.19805346203336066,5,5,0.3103448275862069,0.5517241379310345,1.0,0.9655172413793104,0.9655172413793104,1.0,"[-1.09917022  0.4808369   1.18383274 -1.65936006 -0.05634777 -0.94470559
 -0.97975914 -0.24660133 -1.71053106 -1.00938496 -1.46788589 -1.00038152]","[-0.59193339  1.62205109  0.54191127  0.06365635  1.40000031  0.34548254
  0.33850164  1.58473465  0.41417552  0.58100406  1.49144281  0.36305607]","[ 1.17859791 -0.35804859 -0.21562591 -1.19481856 -0.09012026 -0.71420565
  0.37823742  0.25741246  0.27147436 -3.35173271 -1.40101645 -0.5680752 ]","[-0.43856457  1.55487319  0.44411844  0.03316682  1.40064557  0.25318956
  0.62602358  1.68451679  0.74699527  0.36733198  1.43289214  0.25003262]",3.858422719999993,3.8774362429976463
[0.0776665  1.20939938],0.15017208689323958,6,6,0.42857142857142855,0.6428571428571429,0.8928571428571429,0.9642857142857143,1.0,1.0,"[ 0.91438306 -0.01842094 -0.39291557  0.54113526  1.04988054 -0.70117664
  1.92515936  1.37968561 -1.19712678  0.02119966 -0.35028487 -0.07936726]","[-0.16900787  1.68024907  0.44200142  0.09613519  1.7999887   0.40718178
 -0.14768486  1.52015801  0.25       -0.15560887  1.41101028  0.25000077]","[ 0.43716101  0.35617006 -0.24415892 -0.04395338  0.95585857  0.49092278
  0.01129375  0.09113856  1.06379073  0.39074054 -0.08911815 -0.01119241]","[-0.16511466  1.79999187  0.41926478  0.06299726  1.75182398  0.74882603
 -0.18820957  1.47948528  0.74269581 -0.09750666  1.40710047  0.27346299]",4.061135927999999,3.8884827939909883
[0.65985298 1.49708415],0.23657276130998978,7,7,0.4583333333333333,0.625,1.0,0.4166666666666667,0.5416666666666666,0.9583333333333334,"[ 0.4955431  -0.17716283 -0.00895423 -4.52752241  0.58284156  0.75455211
  0.25348417  1.18888266  0.44830004 -0.81578583  1.34664804 -0.23385   ]","[ 0.31806019  1.40005504  0.63670152 -0.48825439  1.75872643  0.74999585
 -0.42791652  1.50689264  0.42154609 -0.05865541  1.76860242  0.25000005]","[-0.3771546  -0.80658147 -1.17614609 -5.77123716  0.1959445   0.82553574
 -3.31643803  0.69800107  1.24621099  0.78214439  0.59243556 -0.19660643]","[ 0.27044066  1.41987324  0.51315757 -0.42970382  1.59960065  0.74999696
 -0.67471437  1.53850745  0.74967112 -0.01621808  1.57008324  0.25      ]",3.230526690000005,3.572423125995556
[0.0265981  1.54976502],0.15029750089810165,8,8,0.5714285714285714,0.8928571428571429,1.0,1.0,1.0,1.0,"[ 2.27020818 -1.71407083 -2.21698368 -0.91208812  0.28275044  0.51239614
 -0.02656857  0.59603311 -0.0957717  -0.11936568  1.0794672  -0.27699811]","[-0.11311942  1.59218307  0.36384501 -0.54947506  1.67648814  0.40354151
  0.02850551  1.76171942  0.25        0.05086656  1.76642898  0.34307694]","[ 1.74698309 -1.26258803 -0.98167113  0.21246694 -0.60574863  0.31441956
  0.17115007  0.71446157  0.3171883   0.64602415  1.00084586  0.71357544]","[-0.0390542   1.40419855  0.2510737  -0.36764879  1.41747255  0.43428096
  0.08870735  1.79866816  0.36350186  0.36138536  1.76594699  0.73960603]",3.747690017999986,3.744770435994724
[0.57562019 0.36933293],0.1532723385162092,9,9,0.2962962962962963,0.4444444444444444,0.8888888888888888,0.48148148148148145,0.7037037037037037,0.9259259259259259,"[ 0.23554194 -0.42080621  0.16396063  0.03027261 -0.18930868 -0.08683138
  0.61598821  0.10959092  0.33583522  0.17218306 -0.3007696   0.07909886]","[ 0.49174927  1.56469052  0.74238621 -0.79961914  1.40774938  0.58751746
  0.5597124   1.52328128  0.52069295  0.4009206   1.48911211  0.39095022]","[-1.16041027 -0.52742348 -1.40976016  1.36874774 -0.25692286 -2.80833117
 -0.35809261  0.73847388 -1.84857866 -0.26874148  1.31421044 -0.02804925]","[ 0.3497722   1.57655299  0.4902795  -0.70300794  1.40004109  0.42322636
  0.40078139  1.55109801  0.31731609  0.34363801  1.68654744  0.37432884]",3.7961859030000085,3.734360624002875
