hyperparameter,loss_score,0.67std_percent_known,1std_percent_known,1.96std_percent_known,0.67std_percent_fit_rand,1std_percent_fit_rand,1.96std_percent_fit_rand,coeff_known_pull,coeff_known,coeff_GP_pull_rand,coeff_GP_rand,runtime_seconds
0.09031990915595581,3560.4064291042364,0.42,0.56,0.94,0.52,0.66,0.94,[-1.52371043 -1.1669196  -0.06710016 -0.07249518],[ 0.22377578 -0.15538401  0.12847326 -0.16106326],[-1.62260381 -1.26170544  0.54180623  0.04229939],[ 0.22484655 -0.15501355  0.1379248  -0.15841886],134.072217834
0.11459466745593287,1444.6414238573004,0.56,0.72,0.94,0.3,0.44,0.68,[-5.27407315 -3.02834837  0.50929475 -0.58067847],[-0.42770375 -0.49815659  0.37861906  0.22902177],[-7.50329559e+00 -3.11968897e+00 -5.14655104e-03 -5.41055600e-01],[-0.42996756 -0.49272771  0.37131894  0.23221038],75.240382807
0.10062964789182774,2856.7062812823006,0.4,0.66,0.96,0.18,0.32,0.48,[ 10.47369491 -10.64472555   6.26602596   6.0115613 ],[ 0.25039968 -0.59940229  0.42148189  0.49022495],[ 13.64745389 -13.05949268   7.82551126   7.4895183 ],[ 0.25064439 -0.59870044  0.41873322  0.48461996],73.960152609
0.104988906063675,4251.902065907111,0.56,0.64,0.96,0.5,0.72,0.98,[-1.53666820e+00 -2.59689168e+00 -1.96639792e-03 -1.45607891e+00],[-0.09209633 -0.16208827  0.48786271 -0.14435591],[-2.28533062 -3.0496482  -0.28624861 -1.34416124],[-0.09316949 -0.15866331  0.48405645 -0.13355347],75.04035694200002
0.08355190574541646,1325.3768757035607,0.54,0.7,0.94,0.46,0.66,0.94,[ 1.74059728  3.53697637 -0.39344242  2.84138885],[ 0.08496383  0.321765   -0.12607605  0.37746137],[ 1.75066429  4.50799194 -0.74600679  3.88411812],[ 0.08370607  0.33373241 -0.13098832  0.39408452],74.86270646900005
0.07353281939074516,4577.7538385306525,0.42,0.58,0.9,0.36,0.64,0.92,[ 5.36308324 -1.31797756  3.11118518  0.46303919],[-0.08274835  0.01099867 -0.36208413 -0.36809658],[ 6.16867041 -1.91210973  3.54025495 -0.0446258 ],[-0.08136642  0.00384068 -0.36113058 -0.38012698],83.41396114500003
0.07933180942951898,2177.00677061913,0.44,0.54,0.94,0.38,0.62,0.8,[ 2.34149298 -2.39616105 -0.60793252  1.88630893],[-0.12704694  0.5001068  -0.06763241 -0.77157597],[ 2.59588941 -2.72203096 -0.3760902   2.2651814 ],[-0.12654818  0.49502898 -0.06327264 -0.76621584],93.24787279500003
0.08964787053348261,3605.979503227439,0.5,0.64,0.94,0.36,0.58,0.9,[-0.8662183  -0.65797447  0.85461815 -1.91414037],[-0.29157306 -0.19261756  0.04162928 -0.25360319],[-1.44466459 -1.23419804  0.85031984 -2.52887354],[-0.29382546 -0.19988754  0.03915924 -0.2593611 ],95.28783814100007
0.061149367389249754,2581.7220721766034,0.34,0.48,0.9,0.48,0.62,0.88,[ 1.1123278  -1.35624671 -2.0900256  -1.12076323],[-0.23916774  0.09851729 -0.31448714 -0.00282423],[ 1.73726391 -0.92064157 -1.97838004 -1.11920944],[-0.23528111  0.10358985 -0.31340239 -0.00449613],211.30265079699996
0.14190990796889624,2517.0351621083,0.7,0.78,0.98,0.04,0.12,0.34,[12.79058484 -4.10048226 -4.24606096  2.09513385],[-0.45570262  0.29338082  0.27422179 -0.23283951],[18.86765629 -6.23644806 -6.63948094  2.80846812],[-0.45674973  0.28734874  0.27042118 -0.23630554],81.918005086
0.11757244893040159,2552.791251994184,0.46,0.76,0.98,0.32,0.54,0.96,[-0.2437453   2.66858918 -1.02883164 -0.29123401],[ 0.01047717  0.74657855 -0.00391242 -0.69544256],[ 0.31775043  3.54534297 -0.85474094 -0.1443186 ],[ 0.01285988  0.75088596  0.00169232 -0.69170729],76.50647121199995
0.08832037195468104,2265.545132177458,0.54,0.64,0.96,0.34,0.48,0.96,[-0.79917415  0.15287108 -2.27096618  3.53301983],[-0.18899436 -0.0497665  -0.34952555  0.42407977],[-1.35042101  0.39344996 -2.98186751  4.27565284],[-0.19087979 -0.04694278 -0.35338781  0.42382557],73.36795489600013
0.09261814580170884,3306.137777319637,0.48,0.66,0.94,0.52,0.64,0.86,[-2.16333475  2.14920753 -0.68452089  2.61267065],[ 0.47303335  0.40626905 -0.25683352 -0.3636812 ],[-3.34658725  2.40156838 -1.63685096  2.88860411],[ 0.47012039  0.40481035 -0.26723263 -0.36847906],81.06084287600015
0.09541941714557751,2493.8812844195527,0.56,0.74,0.96,0.12,0.18,0.28,[-16.68518098  -2.05795095   2.25155663  -4.76234887],[-0.48820906 -0.05327954  0.09684416 -0.42402305],[-21.18916696  -2.83680032   2.45883431  -6.12852375],[-0.48848858 -0.05807758  0.09257901 -0.42959096],99.22658424299993
