coefficients,x_known,y_known,z_known,e_known,hyperparameter,0.67std_percent_known,1std_percent_known,1.96std_percent_known,0.67std_percent_fit_rand,1std_percent_fit_rand,1.96std_percent_fit_rand,coeff_known_pull,coeff_known,coeff_GP_pull_rand,coeff_GP_rand
"[-0.18413246  1.42587761  0.67041054 -0.41561327  1.54380589  0.53845572
 -0.00526093  1.4857917   0.58892067 -0.21569803  1.64586273  0.30032074]","[1.39 1.39 1.39 1.39 1.39 1.39 1.39 1.39 1.55 1.55 1.55 1.55 1.55 1.55
 1.55 1.55 1.68 1.68 1.68 1.68 1.68 1.68 1.68 1.68 1.99 1.99 1.99 1.99]","[-0.7  -0.5  -0.29 -0.2   0.12  0.4   0.47  0.79 -0.68 -0.51 -0.29 -0.09
  0.02  0.41  0.54  0.74 -0.82 -0.5  -0.25 -0.12  0.16  0.21  0.61  0.81
 -0.78 -0.23  0.37  0.77]","[ 0.06649937 -0.15682281 -0.10383747 -0.0308642  -0.15325248 -0.14460285
 -0.25333333 -0.35519126 -0.02169625 -0.1373494  -0.06526316 -0.112
 -0.07977208 -0.15175097 -0.12852665 -0.37540453  0.23844732 -0.0419426
 -0.11991435 -0.08043478 -0.04       -0.03712036 -0.29290323 -0.42857143
  0.13875598 -0.09752066 -0.12138728 -0.22846442]","[0.03534341 0.04457097 0.03341405 0.05552909 0.03281221 0.04465505
 0.03224597 0.03989602 0.04440111 0.04862285 0.04578533 0.03628509
 0.03762229 0.03559703 0.03926202 0.03728382 0.04175323 0.04694275
 0.03248489 0.0328622  0.06661331 0.03351581 0.03434564 0.05856572
 0.06850232 0.040462   0.03773319 0.04212973]",[1.35853916 0.26794344],0.39285714285714285,0.5357142857142857,0.8928571428571429,0.5714285714285714,0.7142857142857143,0.9285714285714286,"[ 0.1186513  -0.10266522 -1.04338966  1.52612868  2.15868338 -2.55287199
 -1.6489294   1.19426852 -5.78628164  0.49103576  0.62348701 -1.12349046]","[-0.17898725  1.4         0.52802116 -0.33606922  1.65351438  0.36744983
 -0.03506312  1.64327765  0.25       -0.20172495  1.68079621  0.25      ]","[ 1.0696441   1.33675489 -0.62425484 -0.65496793 -0.4674867   0.22938782
 -0.18767327  0.52564267 -0.70004816  0.86507358  0.94426542 -0.1027631 ]","[-0.11590338  1.61814747  0.44113912 -0.57163036  1.4000007   0.63528198
 -0.00947685  1.64102232  0.25000001 -0.15648526  1.7413331   0.25981914]"
"[-0.33724087  1.65706727  0.4707041  -0.3294882   1.50292891  0.28286403
  0.30623021  1.77985226  0.36003863  0.22095091  1.51277553  0.39089377]","[1.28 1.28 1.28 1.28 1.28 1.28 1.28 1.28 1.43 1.43 1.43 1.43 1.43 1.66
 1.66 1.66 1.66 1.66 1.66 1.94 1.94 1.94 1.94 1.94]","[-0.71 -0.44 -0.42 -0.1   0.08  0.36  0.61  0.78 -0.79 -0.5   0.    0.44
  0.65 -0.64 -0.48 -0.27  0.28  0.38  0.63 -0.74 -0.36 -0.01  0.18  0.61]","[ 0.11297071 -0.07597536 -0.0049505  -0.20041322 -0.38896747 -0.44855967
 -0.49456522 -0.36585366  0.16005122  0.11283186 -0.4057377  -0.54046243
 -0.5465313   0.09508197  0.00269542 -0.23735409 -0.59798995 -0.62359551
 -0.53629032 -0.03917051 -0.26223776 -0.3984109  -0.46938776 -0.40828402]","[0.06427053 0.04518335 0.03517945 0.03148912 0.03464723 0.02866714
 0.04530708 0.03171723 0.03532153 0.03304711 0.04137436 0.03198402
 0.03444762 0.0329092  0.05191722 0.06059571 0.02540937 0.04143252
 0.03789823 0.03391616 0.04034881 0.03090149 0.04204725 0.04965276]",[0.53189814 0.70718388],0.4583333333333333,0.625,0.9166666666666666,0.625,0.75,0.9583333333333334,"[-1.58077617  0.57162638  0.94971012  0.09001426 -0.07410996  0.54296026
  0.45190968 -0.56079745  0.26832164  0.1330304   0.36223881 -1.15010562]","[-0.47193909  1.8         0.70953879 -0.32354121  1.49807487  0.3284301
  0.3472102   1.73273494  0.39718879  0.23020722  1.5413212   0.27997863]","[-0.94424838  0.47172039  0.53298847  0.09911824 -0.1619637   0.29364064
  0.52620179 -0.66026721  0.33552733  0.11747826  0.21143955 -0.67857032]","[-0.46651301  1.79999968  0.69535537 -0.32100477  1.49249619  0.30659712
  0.35967197  1.72198504  0.40665638  0.23245591  1.53464853  0.30807653]"
"[-0.4825948   1.58126317  0.74174558  0.400451    1.62783683  0.70154171
 -0.3593791   1.74064924  0.35435774 -0.29777126  1.75095709  0.55027452]","[1.27 1.27 1.27 1.27 1.56 1.56 1.56 1.56 1.56 1.56 1.56 1.56 1.76 1.76
 1.76 1.76 1.76 1.76 1.76 1.76 1.76 1.82 1.82 1.82 1.82 1.82 1.82 1.82
 1.82 1.82]","[-0.69 -0.22  0.22  0.63 -0.73 -0.52 -0.34 -0.05  0.16  0.31  0.59  0.8
 -0.67 -0.49 -0.36 -0.17  0.03  0.24  0.38  0.51  0.78 -0.77 -0.53 -0.41
 -0.26 -0.03  0.15  0.35  0.65  0.71]","[-0.44973545 -0.25082873 -0.11818182 -0.0733945  -0.52466368 -0.3676681
 -0.26153846 -0.12662338 -0.06889353  0.07801418 -0.03118503 -0.28125
 -0.57466063 -0.47308133 -0.38193344 -0.21461187  0.02391304  0.11764706
  0.03793627 -0.01709402 -0.28502415 -0.58081335 -0.38690476 -0.34733894
 -0.2952381  -0.07641196  0.0364204   0.06237425 -0.11049724 -0.21611722]","[0.03750927 0.03217846 0.04733903 0.03377294 0.05700791 0.03517421
 0.03785799 0.03996684 0.03223177 0.05936764 0.0455739  0.04897114
 0.0275255  0.02981797 0.03679142 0.06599923 0.0329596  0.03551159
 0.03892643 0.06536249 0.03331088 0.02628662 0.05030575 0.03509402
 0.0466199  0.03318062 0.03223666 0.04476879 0.05223699 0.04178467]",[0.14891142 0.76152001],0.5,0.6,0.9,0.9,0.9333333333333333,1.0,"[-1.29982935  1.39016076  0.02456643 -0.04536555 -0.84031662 -0.04517148
  0.49390584  0.25215609 -0.9326581   4.24839371  1.19590982 -9.78973315]","[-0.50228252  1.70859703  0.74999736  0.39332711  1.40000001  0.68118276
 -0.31668696  1.75726694  0.28184211 -0.19883775  1.8         0.25      ]","[-0.77279601  0.45560871  0.01527046  0.55048792 -0.67499578  0.09798769
  0.25536429  0.15255529 -0.90416297  0.50111327 -0.08813976 -1.1971892 ]","[-0.53201484  1.74681401  0.74913585  0.48164211  1.47010614  0.74999612
 -0.34178702  1.79999992  0.29777746 -0.16074983  1.73133493  0.25068383]"
"[ 0.45872165  1.51300409  0.54824571  0.42959647  1.53785215  0.43807418
  0.21115759  1.77757943  0.62484443 -0.58978498  1.42416691  0.6384396 ]","[1.36 1.36 1.36 1.36 1.36 1.4  1.4  1.4  1.4  1.4  1.4  1.4  1.4  1.4
 1.7  1.7  1.7  1.7  1.82 1.82 1.82 1.82 1.82 1.82 1.82]","[-0.7  -0.39 -0.05  0.44  0.68 -0.8  -0.64 -0.43 -0.17 -0.04  0.19  0.45
  0.62  0.74 -0.65 -0.39  0.34  0.78 -0.63 -0.55 -0.37 -0.02  0.22  0.46
  0.83]","[-0.008      -0.07598784  0.18584071  0.59585492  0.66951567  0.10059172
 -0.03870968 -0.04347826  0.13995943  0.18971848  0.42627346  0.61256545
  0.69354839  0.69850403  0.03614458  0.00546448  0.56278027  0.63898917
 -0.02183406 -0.02090592  0.02599653  0.24714829  0.33609959  0.57985612
  0.61006289]","[0.05163813 0.05497238 0.03081111 0.04087631 0.03964762 0.03422656
 0.04013087 0.03803335 0.04459444 0.03435018 0.03311955 0.0404414
 0.03234737 0.02427528 0.04905599 0.03305849 0.02767683 0.0266838
 0.03814328 0.04173007 0.04161647 0.05974972 0.04289902 0.03090405
 0.04443295]",[0.05670944 1.15610687],0.52,0.68,1.0,0.92,0.96,1.0,"[-1.03165775  1.10644675 -1.07129687  0.97888126 -0.45791793  0.61743264
  0.01595188 -1.00750522  0.14795291  0.55449266  0.68532175 -0.81100276]","[ 0.36458351  1.57696354  0.42202568  0.7258      1.41775838  0.73680837
  0.23684869  1.40004715  0.66395346 -0.3796838   1.52328772  0.40031488]","[ 0.28416167  0.69588585  0.72861611  0.61478579  0.75187492  1.14868677
 -0.99389898 -0.18675812 -0.86675305  1.02286754 -0.06676145 -1.17448914]","[ 0.56961883  1.78666338  0.73956096  0.66939661  1.79978427  0.74916166
  0.05398646  1.71119769  0.25494731 -0.30835549  1.40000895  0.30498941]"
"[ 0.40144398  1.57157971  0.4437927   0.1398288   1.53887054  0.47436496
 -0.03157425  1.49706843  0.2735662   0.3473167   1.63321361  0.69174278]","[1.38 1.38 1.38 1.38 1.38 1.38 1.38 1.38 1.38 1.5  1.5  1.5  1.5  1.5
 1.5  1.66 1.66 1.66 1.66 1.66 1.96 1.96 1.96 1.96 1.96 1.96]","[-0.68 -0.53 -0.4  -0.21 -0.07  0.12  0.38  0.66  0.83 -0.65 -0.46 -0.12
  0.05  0.28  0.76 -0.82 -0.32 -0.02  0.36  0.52 -0.6  -0.38 -0.04  0.02
  0.3   0.79]","[0.23404255 0.34057971 0.3880597  0.4076087  0.40411701 0.31649331
 0.27069351 0.3092182  0.38294011 0.3442623  0.33697135 0.40027137
 0.33984799 0.3910828  0.44567627 0.22299652 0.45520581 0.40512821
 0.32314924 0.29516995 0.24933687 0.24260355 0.26748058 0.40977444
 0.2191358  0.35208333]","[0.03545345 0.05659433 0.04596694 0.04760158 0.03010796 0.03656564
 0.03219635 0.03248524 0.03935406 0.04250081 0.03477565 0.0337559
 0.03098988 0.0328489  0.04215305 0.04068817 0.0309805  0.06547151
 0.03244039 0.04041101 0.03526766 0.04308479 0.03210095 0.03954832
 0.03832889 0.03020826]",[0.16689938 1.02511375],0.5,0.6153846153846154,0.9615384615384616,0.8461538461538461,0.9230769230769231,1.0,"[-0.18231328  1.72022964 -0.15020736  2.15702009  0.35193124  0.55119844
 -0.74741331 -0.29824426  0.55008064 -0.65537666 -0.23951947 -0.63222202]","[ 0.39365254  1.62585505  0.43502606  0.23092901  1.62084345  0.74993289
 -0.0985724   1.4000002   0.45060005  0.23858076  1.55793817  0.44217086]","[ 0.88630081 -0.56380437  1.09011711 -3.71134456 -0.45738295 -0.64484167
 -1.02568993  0.90903095  1.09204667 -1.2384551   0.03302908 -0.09429352]","[ 0.55506547  1.40818569  0.63103176  0.04953129  1.40000084  0.25001765
 -0.10546971  1.79999993  0.74929441  0.19449004  1.64198293  0.66542631]"
"[0.51910188 1.5044357  0.7055647  0.40652557 1.63043969 0.44462976
 0.0312712  1.52095178 0.28675569 0.2689323  1.62302219 0.72479199]","[1.35 1.35 1.35 1.35 1.57 1.57 1.57 1.57 1.66 1.66 1.66 1.66 1.66 1.66
 1.66 1.84 1.84 1.84 1.84 1.84 1.84]","[-0.51 -0.07  0.36  0.55 -0.78 -0.08  0.37  0.82 -0.82 -0.43 -0.35 -0.06
  0.13  0.41  0.71 -0.67 -0.32 -0.08  0.06  0.45  0.7 ]","[0.17312661 0.21100917 0.30247934 0.44173442 0.01075269 0.31358885
 0.34152334 0.54146341 0.02183406 0.19569892 0.09295775 0.2141844
 0.2246696  0.26939351 0.53020134 0.0493653  0.17554241 0.23922414
 0.31045752 0.34453782 0.43452381]","[0.03540148 0.046813   0.0387513  0.04670355 0.05184459 0.03963382
 0.03294254 0.05871873 0.03303305 0.04547721 0.05284468 0.03678816
 0.03734043 0.03616736 0.04010296 0.03751    0.03091607 0.03187347
 0.03842521 0.06085158 0.03474373]",[0.03075945 1.16494325],0.38095238095238093,0.5238095238095238,0.9047619047619048,0.9523809523809523,1.0,1.0,"[ 0.24210116 -0.47344647  0.12113804  0.45579866 -0.43773357  1.1397306
  0.50663576 -0.4123179  -0.06663042 -2.24478811 -0.28333999 -0.95388527]","[0.52641641 1.45365823 0.74999158 0.60286186 1.54218952 0.73687018
 0.04603537 1.40002189 0.25370845 0.09846779 1.53306052 0.26859046]","[-1.02179958  0.55213157 -0.69870396 -1.04210042  0.52867229 -0.47273262
  0.11747524  0.27295863  0.6887775  -0.45517864 -0.18567503 -0.47667705]","[ 2.38372414e-01  1.69610617e+00  4.66210006e-01  1.86316433e-01
  1.78532499e+00  2.50177623e-01  9.18565411e-02  1.60045740e+00
  5.67131225e-01 -2.40704050e-04  1.57274682e+00  5.38957136e-01]"
"[-0.27457451  1.59683438  0.2736179   0.357323    1.4858334   0.68995166
  0.2820971   1.64732737  0.44607371 -0.17678085  1.62847431  0.47659425]","[1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.48 1.48 1.48 1.48 1.48 1.48
 1.48 1.72 1.72 1.72 1.72 1.72 1.9  1.9  1.9  1.9  1.9  1.9 ]","[-0.77 -0.57 -0.26 -0.2   0.17  0.36  0.49  0.69 -0.76 -0.43 -0.22 -0.03
  0.27  0.37  0.75 -0.7  -0.23  0.05  0.38  0.77 -0.67 -0.48 -0.2   0.2
  0.55  0.67]","[-0.25986395 -0.35909091 -0.34554335 -0.29068462 -0.2278481  -0.06627393
  0.00391134  0.03836317 -0.47286822 -0.55084746 -0.59173127 -0.4798331
 -0.30687023 -0.27531083 -0.0969163  -0.43518519 -0.59416446 -0.45293073
 -0.30083565 -0.16137931 -0.46268657 -0.40740741 -0.46357616 -0.24761905
 -0.06329114 -0.07189542]","[0.03561836 0.03146162 0.03279045 0.03205464 0.05477472 0.03829211
 0.03610763 0.0357336  0.05485695 0.05432822 0.04097816 0.03272
 0.037188   0.04051629 0.04671139 0.04331767 0.02929247 0.03757417
 0.03559087 0.03665227 0.04093578 0.03515087 0.05098686 0.06685752
 0.03385467 0.03606151]",[0.06072441 1.09192587],0.5384615384615384,0.6538461538461539,0.9615384615384616,0.9615384615384616,0.9615384615384616,1.0,"[-1.22227587  2.49887793  0.78542694  0.58769677 -0.22761708  0.12743117
 -1.88972496 -1.13338029 -1.5257958  -2.65691314  0.39480918  0.55602852]","[-0.28892454  1.62923751  0.28679437  0.38644536  1.40003086  0.74999959
  0.19507123  1.57371414  0.3058498  -0.40078996  1.78290873  0.74989313]","[ 0.24336691  0.50001046  0.05751276 -0.00660468  1.04323448 -0.1807103
 -0.31560724 -0.69186364 -0.5188039   0.05685252 -0.37526825 -0.62472908]","[-0.24609601  1.67019004  0.29696158  0.34679169  1.79957264  0.6395402
  0.21253989  1.50255386  0.25000543 -0.16199728  1.55170639  0.25026267]"
"[ 0.45365547  1.64437755  0.40762732  0.33177788  1.79636649  0.74421764
 -0.34531984  1.62429972  0.70291687 -0.35886179  1.43428756  0.66861215]","[1.21 1.21 1.21 1.21 1.21 1.21 1.21 1.59 1.59 1.59 1.59 1.59 1.62 1.62
 1.62 1.62 1.62 1.62 1.62 1.62 1.62 1.92 1.92 1.92 1.92 1.92 1.92]","[-0.77 -0.51 -0.28 -0.08  0.21  0.4   0.71 -0.66 -0.22  0.08  0.48  0.78
 -0.78 -0.54 -0.43 -0.17  0.05  0.17  0.47  0.59  0.74 -0.71 -0.44 -0.01
  0.07  0.46  0.59]","[0.05289673 0.0840708  0.         0.25268817 0.39303483 0.43034056
 0.32659933 0.19665272 0.39374326 0.58769932 0.60930233 0.44834504
 0.18257956 0.30013831 0.26769231 0.4349277  0.57905983 0.69257951
 0.60102302 0.64908504 0.53558052 0.05042017 0.22722283 0.49019608
 0.49253731 0.55339806 0.56666667]","[0.03543899 0.03314176 0.0696733  0.05016502 0.0324291  0.03551494
 0.0387805  0.06342154 0.03019116 0.02730511 0.05407792 0.02830885
 0.04023933 0.03547576 0.05344561 0.0300322  0.02664843 0.03032025
 0.04041889 0.02495828 0.0365444  0.04577663 0.03226485 0.03523283
 0.04018632 0.05803207 0.0336375 ]",[1.29660503 0.40870697],0.4074074074074074,0.6666666666666666,0.8888888888888888,0.4074074074074074,0.5925925925925926,0.8148148148148148,"[-1.31812213  0.91847521 -0.71893755  0.08778322  0.01372948 -0.11970007
  0.09485038  0.54683513 -1.53839029 -1.73404514 -0.04247936  0.18507849]","[ 0.42474144  1.66185002  0.39176402  0.3444465   1.8         0.68885168
 -0.33753861  1.79999965  0.49461712 -0.49203172  1.41826148  0.74999633]","[ 0.04884025  1.83422796  0.29866954  1.37130013 -0.0967875   0.01186662
  1.82160373 -0.76448945 -3.2179434  -0.34487752 -0.13126261 -0.10028295]","[ 0.45586443  1.70795747  0.42080186  0.39817317  1.76458507  0.74999795
 -0.21192806  1.56566189  0.31739713 -0.42406151  1.40000001  0.62646199]"
"[ 0.06183456  1.71655889  0.74809777  0.16901445  1.5247259   0.68632801
 -0.38337424  1.74714936  0.25431464 -0.35864042  1.53265876  0.62402813]","[1.26 1.26 1.26 1.26 1.26 1.26 1.26 1.26 1.26 1.55 1.55 1.55 1.55 1.55
 1.55 1.55 1.7  1.7  1.7  1.7  1.7  1.7  1.7  1.7  1.7  1.96 1.96 1.96
 1.96 1.96 1.96 1.96]","[-0.68 -0.65 -0.31 -0.18 -0.05  0.14  0.38  0.53  0.76 -0.63 -0.44 -0.29
 -0.11  0.12  0.45  0.84 -0.73 -0.65 -0.33 -0.15  0.03  0.19  0.36  0.5
  0.78 -0.84 -0.49 -0.29 -0.02  0.35  0.4   0.74]","[-0.16845878 -0.20056497 -0.08955224 -0.05109489  0.00393701  0.11023622
  0.17073171  0.15654952  0.0504451  -0.18518519 -0.04093567  0.01664533
  0.24077329  0.26745718  0.31386861 -0.1459854  -0.27659574 -0.18466196
  0.14014252  0.28291317  0.42957746  0.3853211   0.31308901  0.23502304
 -0.1299435  -0.21419829 -0.04365904  0.07872697  0.27707454  0.26206897
  0.2745491  -0.05355404]","[0.05901284 0.03681864 0.03251997 0.04926193 0.04436748 0.03600539
 0.03357953 0.0322314  0.05440412 0.05459465 0.04411407 0.03577786
 0.04068889 0.03497537 0.03065987 0.059765   0.044327   0.03121974
 0.04825605 0.05076336 0.05358497 0.04419327 0.03073234 0.06598297
 0.03332963 0.03417356 0.03221055 0.04080025 0.03603463 0.03271823
 0.04304592 0.03115954]",[0.15169822 1.20106996],0.5,0.6875,0.96875,0.9375,0.96875,0.96875,"[-6.00902888  0.22440053 -1.59581374 -0.52677964 -0.44228439 -3.28485741
 -0.76907339  0.33438632 -0.0577776  -1.00469853  0.42273716  0.28457288]","[ 0.02167472  1.79998027  0.25000001  0.15230071  1.40000174  0.35486901
 -0.39773568  1.75292353  0.25000049 -0.41878029  1.67485507  0.74999943]","[-1.02566557  0.21081645 -1.04251024  0.05758076 -0.62314513 -0.78769802
  0.00215144 -0.05956074 -0.0099104   0.03110129 -0.54960653 -0.0178236 ]","[ 0.02443595  1.79694208  0.25000004  0.18364329  1.40001019  0.39134858
 -0.38318159  1.74174203  0.25000003 -0.31729988  1.41839172  0.61663014]"
"[-0.24363004  1.61022152  0.62487413  0.26312045  1.56795318  0.56975936
 -0.78936134  1.72663308  0.37385971  0.78936134  1.71023848  0.61756446]","[1.35 1.35 1.35 1.35 1.35 1.35 1.35 1.35 1.55 1.55 1.55 1.55 1.55 1.55
 1.77 1.77 1.77 1.77 1.77 1.77 1.77 1.77 1.91 1.91 1.91 1.91 1.91 1.91]","[-0.71 -0.57 -0.25 -0.08  0.21  0.41  0.63  0.69 -0.64 -0.37 -0.07  0.12
  0.52  0.58 -0.66 -0.57 -0.25 -0.08  0.13  0.31  0.44  0.78 -0.66 -0.41
 -0.12  0.18  0.43  0.66]","[-0.32       -0.05931322  0.11519608  0.19083969 -0.04219409 -0.14903299
 -0.16358839 -0.25030826 -0.21938776  0.20893561  0.20867209  0.19047619
 -0.10769231 -0.22871452 -0.27659574 -0.13142857  0.29040404  0.3173913
  0.15995397  0.00696056 -0.11373391 -0.35555556 -0.21633888  0.14971751
  0.15283843  0.06392199 -0.08579088 -0.21035599]","[0.0345948  0.03220127 0.03477395 0.04951624 0.03244957 0.03335248
 0.03583234 0.03399691 0.03484421 0.03544991 0.0509119  0.03475151
 0.03899512 0.03977587 0.03303939 0.03746859 0.03400211 0.04421447
 0.0334859  0.04816714 0.03254354 0.04926065 0.03797438 0.0371587
 0.03770413 0.03284809 0.03647762 0.05561513]",[1.23101926 0.28027528],0.4642857142857143,0.6785714285714286,0.8928571428571429,0.25,0.39285714285714285,0.8214285714285714,"[ 0.35804806 -0.09390594 -0.27033871 -0.0707276   0.17638744 -0.09761954
  4.37132969 -3.5071318  -3.48638206  0.03852003 -0.35353585  0.28830629]","[-0.20966613  1.60312311  0.52908367  0.24904924  1.62120864  0.53707107
 -0.60240945  1.65967682  0.27449349  0.79651777  1.60539296  0.74608411]","[ 0.41121872 -0.57286708 -0.56248496 -6.18400348  0.42176506 -3.92488647
  0.7911386  -1.14279837 -0.25347296 -0.69390247 -0.84984968 -0.09062045]","[-0.2251285   1.40009232  0.54600268  0.10694317  1.61259376  0.25000011
 -0.71623556  1.6766679   0.36208284  0.61108942  1.40000078  0.58195715]"
