hyperparameter,loss_score,0.67std_percent_known,1std_percent_known,1.96std_percent_known,0.67std_percent_fit_rand,1std_percent_fit_rand,1.96std_percent_fit_rand,coeff_known_pull,coeff_known,coeff_GP_pull_rand,coeff_GP_rand,runtime_seconds
[0.12846623 0.82617333],13.418954633759341,0.5192307692307693,0.7115384615384616,0.9807692307692307,0.6923076923076923,0.75,0.9230769230769231,"[-1.00751254 -0.907005    1.94923147  0.85831435 -0.03267295 -0.21199844
  0.50519967 -0.70171904  0.37905191  0.23440784  0.03117662  0.14685154]","[-0.18756852  1.40000009  0.44636732 -0.08490314  1.4         0.25000087
  0.81057487  1.52361446  0.69510565 -0.36800821  1.57041158  0.47579334]","[ 0.70161293  0.80595069  0.20910777  0.30677471 -0.19692299 -0.15883717
  2.27146798  0.03965197  0.44845011  0.70239836  0.13430813 -0.85945735]","[-0.14911526  1.47340616  0.36622998 -0.0860753   1.40000002  0.25000011
  0.83547463  1.59265099  0.74992929 -0.32223816  1.5810112   0.36361162]",21.21526598930359
[0.60229104 0.31308557],19.279456726976953,0.48,0.6,0.96,0.38,0.48,0.72,"[-0.79600754  0.09308927  0.15446941 -0.8651334  -0.39312046 -0.80131673
  1.38755343  0.22906112 -1.44970594  0.42803224  0.91460247  0.82088829]","[ 0.42715248  1.75527375  0.51861478  0.11854953  1.47252939  0.40753436
 -0.18830248  1.8         0.46602613  0.51590075  1.71244915  0.43986596]","[-0.15302485  1.17674628  1.06680342 -2.74093494 -0.88865098 -3.46612529
  3.72987167  0.52405235 -2.5786801   4.04284175  0.65465001  0.82525484]","[ 0.46130971  1.8         0.55375515  0.0915148   1.48577182  0.30891015
 -0.13366201  1.8         0.38297364  0.82048002  1.73030675  0.74914631]",17.240767002105713
[0.22210606 0.55073413],11.866327014140762,0.4339622641509434,0.7169811320754716,0.9811320754716981,0.2641509433962264,0.33962264150943394,0.6037735849056604,"[-3.25635418 -0.04919128  0.28391523 -1.12843226 -0.07023264  0.08273018
  0.28364431 -0.47411623 -0.0840936   5.01200052 -0.23034425  0.02520025]","[-0.5405982   1.56230855  0.60410974 -0.14399272  1.4000001   0.43313834
  0.25328953  1.40000001  0.59495431  0.61701607  1.73503317  0.27400554]","[-2.21267379  0.19848541  0.3630064  -0.59157696 -0.05136236  0.62900445
  0.09725994 -0.37884878 -0.80137241  3.37363838 -1.09592398 -0.53966144]","[-0.63562946  1.57439372  0.72028413 -0.191841    1.40000005  0.6298312
  0.23210467  1.40000075  0.47388377  0.59587205  1.71539329  0.26553715]",17.981688976287842
[0.250971   0.35486744],23.845640461043313,0.4423076923076923,0.6730769230769231,0.9230769230769231,0.5576923076923077,0.8269230769230769,0.9230769230769231,"[ 0.83125033  0.60113023  0.6224194  -0.03227872 -0.36658522 -0.05330468
 -0.1586932   0.89309291  0.29408582 -0.68782863 -0.02681289 -1.07873216]","[ 0.45363966  1.75855965  0.52654036  0.29283255  1.43267282  0.70105005
 -0.04479718  1.79982128  0.5685549   0.36059442  1.4         0.43039618]","[ 0.7764045   0.4689599   0.4956616  -0.14149584  0.05177116 -0.31742458
  0.36055526  1.14590776 -0.66734175 -0.45322806 -0.02526137 -1.32043972]","[ 0.45513995  1.75447499  0.51637704  0.26697586  1.58698192  0.59168349
 -0.0192774   1.79999815  0.25000018  0.37392085  1.40000143  0.40073253]",13.5808687210083
[1.39766504 0.18376903],27.29825740395647,0.47058823529411764,0.6078431372549019,0.9411764705882353,0.5294117647058824,0.7450980392156863,0.9215686274509803,"[ 4.84780688  0.23825663  0.68564099  1.05752324  1.18437299 -1.41396687
 -0.33148144  0.43781302  0.4066443   0.16934233  1.06330955 -0.23869195]","[ 0.18341495  1.62886675  0.74999987 -0.13900964  1.69811771  0.39519707
 -0.44256226  1.5065169   0.39728847 -0.31167049  1.61622061  0.39814312]","[ 4.9317302  -0.15090468  0.61478057  1.0449349   0.5340514  -0.53258282
 -0.98884001 -0.15731227  0.6873102  -0.1838824  -0.25879176  0.44045488]","[ 0.17920039  1.56621499  0.74999591 -0.11500761  1.65908301  0.42093348
 -0.68520746  1.42753083  0.64017773 -0.39168719  1.43966072  0.61436475]",13.75525689125061
[0.15089491 0.82619503],11.140384498558333,0.5102040816326531,0.7551020408163265,0.9591836734693877,0.5102040816326531,0.7551020408163265,0.9387755102040817,"[ 1.63120959 -0.30342442 -0.57558436  1.11335628 -0.73922995  0.55271251
  0.3931795  -1.46822072  0.10876679 -0.18256139  0.04258478  0.06039531]","[-0.25831597  1.49761946  0.45615722 -0.54984791  1.58255888  0.2895908
  0.84920258  1.6146635   0.74999925  0.66224567  1.76913985  0.74997984]","[ 2.35979245  0.56858681 -1.35744345  0.0901961  -0.22544322  0.51887327
 -0.18169397 -1.5340317   0.05910699 -1.19118385 -0.92141594 -0.63374258]","[-0.23628043  1.53126021  0.40637009 -0.57034792  1.58711493  0.29741488
  0.80965367  1.54781333  0.73720753  0.40811152  1.65691537  0.48708484]",14.293894290924072
[0.67990534 0.34837959],11.695277082732055,0.47058823529411764,0.6862745098039216,0.9803921568627451,0.37254901960784315,0.5882352941176471,0.8823529411764706,"[-1.31107198 -0.8540584   0.40192914  0.01564225  0.37542694 -1.14979141
  1.044846   -1.27069266 -4.94389381 -0.09718293  0.46087623 -0.36052674]","[-0.22829887  1.40006803  0.73387476 -0.39276847  1.61212026  0.48408186
 -0.13359262  1.4         0.31923052 -0.25280301  1.50999005  0.42229496]","[-8.95207316 -1.18924919  0.49533075 -0.83415466  0.83713074  0.14369048
  1.64276895 -1.42705916 -6.36399338 -3.28640298 -0.03725427  0.51664967]","[-0.22915095  1.40000006  0.74998833 -0.51152638  1.68262354  0.65749461
 -0.1280655   1.4         0.32449632 -0.39361853  1.4410123   0.7499018 ]",14.045122385025024
[0.01026891 0.64353653],12.663205453891273,0.4339622641509434,0.6037735849056604,0.8867924528301887,0.9245283018867925,0.9811320754716981,0.9811320754716981,"[ 2.22060218 -0.730514   -2.14000439 -0.55317104  0.13176702 -0.56456628
 -0.42959769  0.31957148 -0.18156915 -3.17987193 -0.55639334 -2.40570193]","[-0.34655731  1.70691661  0.51890503  0.31039531  1.77669251  0.4321842
  0.50059317  1.70248685  0.57114647  0.38547782  1.58641602  0.39082587]","[ 1.96355752 -0.33924802 -1.16262528 -1.12508108 -0.64758909  0.55641118
 -0.44532395 -0.78871199 -0.5546466  -1.0694009   0.35857839 -1.50701264]","[-0.18432173  1.64402893  0.38074023 -0.06663566  1.51285442  0.70960329
  0.44143486  1.4349763   0.44918837  0.3741217   1.73031475  0.29716206]",21.466544151306152
[0.86112168 0.19866026],15.529425053599045,0.4897959183673469,0.673469387755102,0.9591836734693877,0.5306122448979592,0.6938775510204082,0.9591836734693877,"[ 0.78071444 -0.06347229  0.18772533  1.32062605 -1.92382108 -1.65596455
 -0.57474006  1.62580053 -0.71178306  1.35652384 -0.66301432  0.49373287]","[ 0.37353471  1.46565508  0.5572257  -0.1341104   1.47849746  0.3728324
  0.14098702  1.79999983  0.48689375  0.57256444  1.40000001  0.34713718]","[ 0.79339668  0.10980941  0.16774016  1.02809144 -0.7577233  -0.93362795
 -0.22081755  5.08488784 -1.61112135  1.73200043 -0.20611984  1.38110483]","[ 0.37829252  1.4764461   0.55619282 -0.14665046  1.40040799  0.45506345
  0.16199573  1.79999999  0.4509883   0.58850454  1.40000003  0.38170712]",17.1376314163208
[0.03582983 0.65696515],23.17404941457676,0.4117647058823529,0.5882352941176471,0.9215686274509803,0.9215686274509803,0.9411764705882353,0.9607843137254902,"[ 11.27840439  -1.80100243   1.526014    83.55507618   5.92466162
 -30.2900545    2.35725552  -7.75239781  -2.45574259   6.96882326
   0.25672293   1.41404621]","[ 0.37368634  1.6043755   0.75       -1.          1.53844539  0.46325973
  0.02241823  1.4         0.25        0.84439234  1.8         0.74999999]","[-2.09027552 -0.89838969 -0.90853476  0.25264388  1.2574226  -1.43016247
  0.52411    -0.14197811 -0.3215717  -1.92587682 -0.17160027 -1.12826764]","[ 0.12231452  1.50499811  0.26988783 -0.95536286  1.64979695  0.44465111
  0.06224476  1.63962     0.25000001  0.20446462  1.67895909  0.25000001]",13.824870824813843
