hyperparameter,loss_score,0.67std_percent_known,1std_percent_known,1.96std_percent_known,0.67std_percent_fit_rand,1std_percent_fit_rand,1.96std_percent_fit_rand,coeff_known_pull,coeff_known,coeff_GP_pull_rand,coeff_GP_rand,runtime_seconds
0.3609174483106208,168.24894026600032,0.42,0.56,0.94,0.1,0.18,0.38,[-5.62777327 -0.19598513 -0.87560426  0.65842218],[ 0.22377578 -0.15538401  0.12847326 -0.16106326],[-12.48543988  -0.14271225  -1.76320465   1.49687219],[ 0.22349914 -0.15339645  0.12981367 -0.16079626],4.7839823290000005
0.27619973482766413,168.1432466881469,0.56,0.72,0.94,0.48,0.6,0.78,[ 1.29855329 -0.0438327  -1.70089456 -1.62761466],[-0.42770375 -0.49815659  0.37861906  0.22902177],[ 2.44108116  0.11221606 -3.60222202 -3.01619247],[-0.42786016 -0.49677017  0.37604737  0.23076844],4.396615548
0.1957197540798174,172.80141470154183,0.4,0.66,0.96,0.12,0.24,0.28,[ 14.72205124 -15.13592511   8.80557056   8.06089426],[ 0.25039968 -0.59940229  0.42148189  0.49022495],[ 25.17836181 -23.01312673  14.93288387  13.31708683],[ 0.25170116 -0.59869362  0.42451333  0.4857937 ],8.554364965
0.17896088279843703,180.45583024135624,0.56,0.64,0.96,0.08,0.24,0.44,[ 2.63995183 -0.19121128 -8.74996918 -0.0825298 ],[-0.09209633 -0.16208827  0.48786271 -0.14435591],[  4.47602357  -0.03742332 -14.91679548   0.03651763],[-0.0920725  -0.15939546  0.48469875 -0.14173188],7.396938044000002
0.37005012589641595,160.2882491397844,0.54,0.7,0.94,0.54,0.58,0.86,[-1.3329451  -0.96664347  1.37481435 -0.31140666],[ 0.08496383  0.321765   -0.12607605  0.37746137],[-2.80437349 -2.63371594  3.04433709 -1.42535576],[ 0.08530502  0.31645496 -0.12568818  0.36940084],7.092718899999998
0.10658695285474253,138.2544577264136,0.42,0.58,0.9,0.48,0.7,0.88,[ 1.05192537 -0.85653396 -2.2855119  -3.06348988],[-0.08274835  0.01099867 -0.36208413 -0.36809658],[ 1.37241669 -0.42775924 -2.59481612 -3.38831377],[-0.08259549  0.01794322 -0.35852539 -0.36043754],5.899669287999998
0.17404237257477384,140.76375184267692,0.44,0.54,0.94,0.18,0.38,0.66,[ 2.91805664 -3.23294292 -0.53018327  2.69865377],[-0.12704694  0.5001068  -0.06763241 -0.77157597],[ 5.22372166 -4.64392261 -0.23319582  4.41882305],[-0.12546181  0.50232487 -0.0612327  -0.77047898],6.145687134999996
0.19904152838251368,166.45344431607487,0.5,0.64,0.94,0.0,0.06,0.2,[11.52940373  2.49361198  0.45697803  0.30318195],[-0.29157306 -0.19261756  0.04162928 -0.25360319],[20.33239644  4.05374857  1.0366659   0.4844251 ],[-0.29146146 -0.19372127  0.04406362 -0.25442202],7.379280464000004
0.0745706462727514,143.25197069842756,0.34,0.48,0.9,0.5,0.72,0.92,[-0.83634232 -0.98233024 -2.83297293 -1.07333702],[-0.23916774  0.09851729 -0.31448714 -0.00282423],[ 0.19250722 -0.33019383 -1.86124156 -0.61335781],[-0.23307572  0.10798301 -0.29683012  0.00832267],5.600870270999998
1.6483037813527166,186.39301325180753,0.7,0.78,0.98,0.08,0.08,0.16,[-12.99846114   2.48836431   1.67231677  -1.36046841],[-0.45570262  0.29338082  0.27422179 -0.23283951],[-43.14895085  15.9516674    8.20244881   5.98234627],[-0.45450624  0.32373107  0.28441942 -0.17070648],8.283243307999996
