hyperparameter,loss_score,0.67std_percent_known,1std_percent_known,1.96std_percent_known,0.67std_percent_fit_rand,1std_percent_fit_rand,1.96std_percent_fit_rand,coeff_known_pull,coeff_known,coeff_GP_pull_rand,coeff_GP_rand,cpu_runtime,wall_runtime
[0.42890049 0.13840764],0.08399999999999996,0.4957865168539326,0.6853932584269663,0.9466292134831461,0.5941011235955056,0.7570224719101124,0.976123595505618,"[-0.1869374  -0.03453889 -0.36969282  2.10207775  1.13010047  2.24406009
 -0.79941513 -0.99582208 -0.30288068  1.06636099  0.17954318 -1.70757122]","[ 0.55573506  1.77870243  0.4258888   0.4264411   1.7006157   0.49729717
  0.12595626  1.7037217   0.46789247 -0.29810142  1.48793206  0.26352155]","[-0.48490535  0.1437167  -1.0688492   4.88271814  2.03796396  5.70081145
  0.23429036  0.27615389  0.83711185  2.14615608  0.29354583 -3.51427353]","[ 0.55577927  1.7791347   0.42588048  0.41523735  1.694773    0.48306243
  0.14899645  1.77575091  0.56304368 -0.30038027  1.48735134  0.26735243]",4.875315427999999,8.67516700644046
[0.11411897 0.35595811],0.09700000000000002,0.48807854137447404,0.6746143057503506,0.94109396914446,0.5343618513323983,0.7391304347826086,0.9859747545582047,"[-0.20306693  0.5597223   0.08941669  1.34678983 -0.20389823  1.34896563
 -1.97312569 -0.27305897 -2.26198949  0.39697939  0.47598245 -0.32603716]","[-0.97378911  1.49613315  0.6507629   0.87609203  1.68886667  0.7174188
  0.30695798  1.57501115  0.47573253 -0.09514497  1.70530965  0.58359156]","[-3.56331089  0.32569686  3.25897084 -4.42685892 -2.49069461 -4.65692351
 -8.55958223 -0.34130194 -9.80045845  1.38946884  1.43697744 -0.07986824]","[-0.99508869  1.49339113  0.66541451  0.77725189  1.67925058  0.63099636
  0.29680674  1.57803554  0.45823552 -0.09806328  1.64173767  0.64167598]",4.900844525000004,8.049035292118788
[0.15273777 0.35568702],0.07199999999999995,0.5144092219020173,0.7132564841498559,0.9639769452449568,0.484149855907781,0.7146974063400576,0.9654178674351584,"[-0.70434711 -1.50097109 -0.40401719 -0.78233137  0.53689451  0.68516966
 -1.92205198  1.68714865  1.85676496 -0.33436692 -1.07364278 -0.05936144]","[ 0.45577688  1.7455533   0.58798773 -0.51148725  1.45395308  0.46747024
 -0.67222458  1.67478373  0.43197907  0.14120431  1.646628    0.61843639]","[-2.53913143 -4.76000036 -1.68701432 -2.99855424  0.21551572  2.75589933
 -7.06195399  5.31245039  7.01196714 -6.98701465 -8.64565864 -4.33435016]","[ 0.45120756  1.7427934   0.58215197 -0.52925986  1.44630563  0.48373478
 -0.69830875  1.67896796  0.45077849  0.09782885  1.59071053  0.4163917 ]",3.762515006000001,5.31507783383131
[0.08724095 0.60545843],0.118,0.5258620689655172,0.6896551724137931,0.9468390804597702,0.6163793103448276,0.8017241379310345,0.9899425287356322,"[ 0.74621401  1.0233117  -0.95480225  1.32200216 -1.47143433  1.30788097
  2.06684046 -0.78727964 -2.44821394  1.29452557 -0.31530621 -1.59141714]","[-0.54440633  1.60245707  0.45392868  0.56584501  1.41618475  0.48904786
 -0.36829981  1.60968409  0.34108675 -0.63652722  1.6331928   0.43333959]","[  9.51505289   3.94983731 -10.04568042  17.60694832  -0.12726255
  21.6751615   26.72487059  -2.56797367 -28.2037594   13.80496439
   0.30615502 -14.6188906 ]","[-0.5434263   1.60289289  0.4537899   0.57961151  1.40006716  0.49592009
 -0.35916241  1.6125199   0.33095222 -0.62263944  1.63781092  0.4232588 ]",5.112412922000004,7.693665064871311
[0.21216627 0.29868669],0.08299999999999996,0.5121580547112462,0.6793313069908815,0.939209726443769,0.42249240121580545,0.648936170212766,0.9331306990881459,"[ 3.12193174  4.26558409 -3.27278867 -0.13858995  1.4062603  -0.45580226
  0.81376099 -2.22939189  0.7515083  -1.0708286  -0.26332646  1.16104735]","[-0.03069093  1.67907064  0.38774088  0.40707767  1.49844618  0.45019703
  0.83187821  1.53673166  0.47333904 -0.91986793  1.47758826  0.57593518]","[ 22.47178697  20.52299826 -25.34023896   0.31765627   3.04414421
  -0.62261443   1.66106496  -7.50302874   1.32541846  -2.80821754
  -1.32509076   3.13772357]","[-0.02497768  1.69234234  0.28735913  0.41300723  1.49706181  0.45528076
  0.82627709  1.53285227  0.46820389 -0.92644915  1.47117184  0.58072474]",4.456581442000001,6.5655725952237844
[0.35080647 0.17404141],0.07100000000000006,0.4657933042212518,0.6666666666666666,0.9461426491994177,0.5851528384279476,0.777292576419214,0.9767103347889374,"[-0.32989257 -0.02005036 -0.24726046 -0.32013387  0.07538212 -0.37112994
 -1.61109556  0.33084397 -1.28517797  0.40611436  0.5108739   0.32371533]","[0.22255281 1.67916023 0.64233478 0.38391109 1.58561355 0.44701825
 0.13957314 1.46298105 0.40292264 0.33863338 1.6894147  0.58972998]","[-0.67461367  1.20268108 -0.5459229  -0.14529504  0.91966747 -0.14539134
 -5.25745793  2.79590181 -4.45677914  0.16052597  1.66331406 -0.03769866]","[0.22397515 1.6928446  0.64479903 0.38876616 1.589379   0.45534172
 0.13619892 1.4882807  0.38967574 0.31354457 1.69152774 0.54589771]",4.904231331999995,8.187395242974162
[0.75061877 0.13176411],0.08399999999999996,0.4844804318488529,0.6707152496626181,0.9581646423751687,0.5087719298245614,0.6828609986504723,0.9635627530364372,"[ 0.27243898  0.09082261 -0.60215279 -0.21545148 -0.22117502 -0.30473708
 -1.48946229 -2.00176476 -1.63648437 -0.16572603  0.18776928  0.19545338]","[-0.7276352   1.73274385  0.46448014  0.06295961  1.74781742  0.51588643
  0.36470501  1.58739364  0.52081333 -0.34140475  1.63181598  0.61236828]","[-0.76639218  1.42054526 -0.45969325 -3.94869209 -2.57593932 -5.00049348
 -5.78876478 -8.28432253 -6.09907529 -2.43141015  1.32381422  2.4065606 ]","[-0.73236158  1.73440625  0.46725146  0.04947676  1.71512177  0.39883378
  0.35259621  1.57474241  0.50481073 -0.39853589  1.6521108   0.71198045]",4.656995113999983,7.73592722043395
[0.6699022  0.13142574],0.07999999999999996,0.47313432835820896,0.6671641791044776,0.9492537313432836,0.5119402985074627,0.6955223880597015,0.9716417910447761,"[ 0.17833468  0.32061498 -0.3649261  -2.70646452  0.16177176  1.41750476
 -0.79817133 -0.01251714 -1.23842454  0.03447148  0.84234854 -0.33111322]","[-0.02698573  1.68365983  0.58677565 -0.25379908  1.79998613  0.74999696
  0.71865259  1.40000013  0.4429653   0.41080451  1.57271588  0.4400009 ]","[-2.23513112  0.49579083  0.13878379 -6.7083322   0.23715556  5.92773277
 -2.96329245 -0.14928758 -5.55986206  1.16990889  0.83022719 -0.17574041]","[-0.03280453  1.79817876  0.74999995 -0.24916302  1.79999998  0.75
  0.71646814  1.4         0.43756272  0.42043593  1.56438841  0.44771329]",5.0500614160000055,7.542951537296176
[0.73319314 0.0912829 ],0.09099999999999997,0.5138686131386861,0.6744525547445256,0.9474452554744526,0.48613138686131385,0.6744525547445256,0.948905109489051,"[-0.16710007  1.34663208 -0.2501406  -1.81323088  0.42959349 -2.34997092
 -0.61334201 -0.66698277 -0.74781098 -0.6693898  -0.68485617  1.09568781]","[ 0.54497154  1.58077986  0.72653896  0.2106634   1.66180214  0.49440545
  0.6714458   1.72338109  0.63907789 -0.45659081  1.46195363  0.26736207]","[-1.19568853  4.50349463 -1.2672485  -7.84297532 -1.61528532 -9.28307652
 -0.91158437 -1.61170735 -1.01946059 -4.27495966 -2.43902018  6.28554291]","[ 0.53618265  1.58597622  0.71626577  0.19199777  1.63275437  0.44672937
  0.68463764  1.72123956  0.65862005 -0.46942332  1.45955679  0.27912146]",5.2360490899999945,7.131296335719526
[0.41267316 0.13080976],0.07600000000000007,0.480225988700565,0.6850282485875706,0.9279661016949152,0.4632768361581921,0.6129943502824858,0.9392655367231638,"[ 0.88886941 -2.69860173 -0.82894533 -0.2397108  -0.17672234  0.17916414
  1.45571271 -0.06086349  1.29264502  0.11805947  0.23990615  0.07948289]","[-0.83006157  1.657341    0.6844297  -0.70023809  1.7691392   0.57756285
  0.67070834  1.40004561  0.6250399   0.15315622  1.70614636  0.42979558]","[ 1.12416215 -6.51530221  0.61268045  0.30184184 -1.12361678 -1.37558496
  0.59155209  1.76486884  1.12758207  2.32118484  0.25546238  4.09507737]","[-0.8480592   1.65916041  0.7020163  -0.68897766  1.75543969  0.56674479
  0.63264932  1.43547787  0.59127941  0.18691127  1.79129367  0.52705238]",4.5789229300000045,7.198997911065817
