hyperparameter,loss_score,upper_bounds,lower_bounds,0.67std_percent_known,1std_percent_known,1.96std_percent_known,0.67std_percent_fit_rand,1std_percent_fit_rand,1.96std_percent_fit_rand,coeff_known_pull,coeff_known,coeff_GP_pull_rand,coeff_GP_rand,cpu_runtime,wall_runtime
[0.1526328  0.35601567],0.07199999999999995,[0.74 1.68],[7.40e-05 1.68e-04],0.5144092219020173,0.7132564841498559,0.9639769452449568,0.5115273775216138,0.7118155619596542,0.9697406340057637,"[-0.70434711 -1.50097109 -0.40401719 -0.78233137  0.53689451  0.68516966
 -1.92205198  1.68714865  1.85676496 -0.33436692 -1.07364278 -0.05936144]","[ 0.45577688  1.7455533   0.58798773 -0.51148725  1.45395308  0.46747024
 -0.67222458  1.67478373  0.43197907  0.14120431  1.646628    0.61843639]","[-3.07832539 -5.86361035 -2.26045443 -1.85230978  1.75903866  1.7032082
 -5.59895594  5.28917831  5.71729698 -6.31690644 -8.40235527 -4.04417354]","[ 0.44757582  1.73683063  0.57681815 -0.51215958  1.45706114  0.46888938
 -0.68042698  1.67827283  0.43916388  0.10097266  1.59148925  0.42307191]",6.074905533999999,9.568820782005787
[0.1526127  0.35592518],0.07199999999999995,[0.74 1.68],[7.40e-05 1.68e-04],0.5144092219020173,0.7132564841498559,0.9639769452449568,0.5072046109510087,0.7219020172910663,0.9812680115273775,"[-0.70434711 -1.50097109 -0.40401719 -0.78233137  0.53689451  0.68516966
 -1.92205198  1.68714865  1.85676496 -0.33436692 -1.07364278 -0.05936144]","[ 0.45577688  1.7455533   0.58798773 -0.51148725  1.45395308  0.46747024
 -0.67222458  1.67478373  0.43197907  0.14120431  1.646628    0.61843639]","[-1.71424651 -4.34950358 -1.05049593 -1.01170142  1.91101815  0.78401249
 -5.70910124  4.54926808  5.9509615  -2.69567491 -4.04384402 -1.45892194]","[ 0.45670974  1.74331253  0.58817869 -0.50165952  1.45789797  0.45747137
 -0.68118548  1.67553669  0.44061131  0.11675676  1.64039455  0.50565591]",5.379934382000002,9.131477897055447
[0.65391817 0.13386647],0.07799999999999996,[0.74 1.68],[7.40e-05 1.68e-04],0.5144092219020173,0.7132564841498559,0.9639769452449568,0.5994236311239193,0.7694524495677233,0.9639769452449568,"[-0.70434711 -1.50097109 -0.40401719 -0.78233137  0.53689451  0.68516966
 -1.92205198  1.68714865  1.85676496 -0.33436692 -1.07364278 -0.05936144]","[ 0.45577688  1.7455533   0.58798773 -0.51148725  1.45395308  0.46747024
 -0.67222458  1.67478373  0.43197907  0.14120431  1.646628    0.61843639]","[-2.64890577 -5.98576328 -1.78821648 -1.77884951  1.90950518  1.78231862
 -5.74129976  4.67437736  6.03010491 -1.7693422  -3.79667145 -0.90782503]","[ 0.4512883   1.73760891  0.58223966 -0.50778323  1.45604816  0.46606374
 -0.67780931  1.67473785  0.43769476  0.13163601  1.63815659  0.55548802]",7.140735160999995,10.869849640876055
[0.15280311 0.35546502],0.07199999999999995,[0.74 1.68],[7.40e-05 1.68e-04],0.5144092219020173,0.7132564841498559,0.9639769452449568,0.49135446685878964,0.6844380403458213,0.9755043227665706,"[-0.70434711 -1.50097109 -0.40401719 -0.78233137  0.53689451  0.68516966
 -1.92205198  1.68714865  1.85676496 -0.33436692 -1.07364278 -0.05936144]","[ 0.45577688  1.7455533   0.58798773 -0.51148725  1.45395308  0.46747024
 -0.67222458  1.67478373  0.43197907  0.14120431  1.646628    0.61843639]","[ -1.48000124  -5.16095871  -0.5604017   -3.45403258  -0.11890945
   3.32401306  -5.29497983   5.60541001   5.2542863  -13.87816189
 -12.28680961  -9.99412107]","[ 0.45847628  1.73871292  0.59324477 -0.53959856  1.44358771  0.49533664
 -0.67648855  1.67981339  0.43469017  0.08482833  1.59285778  0.33802357]",7.485024612000004,12.261856637895107
[0.15255587 0.35611098],0.07199999999999995,[0.74 1.68],[7.40e-05 1.68e-04],0.5144092219020173,0.7132564841498559,0.9639769452449568,0.5014409221902018,0.7031700288184438,0.9726224783861671,"[-0.70434711 -1.50097109 -0.40401719 -0.78233137  0.53689451  0.68516966
 -1.92205198  1.68714865  1.85676496 -0.33436692 -1.07364278 -0.05936144]","[ 0.45577688  1.7455533   0.58798773 -0.51148725  1.45395308  0.46747024
 -0.67222458  1.67478373  0.43197907  0.14120431  1.646628    0.61843639]","[-1.78361408 -4.6324796  -0.9731214  -2.63107718  0.53105139  2.61392745
 -5.19940113  4.78332369  5.26795101 -6.98615231 -8.58610261 -4.67777374]","[ 0.45637449  1.74251985  0.58903456 -0.5235237   1.44894331  0.48156171
 -0.67412814  1.67504413  0.43470832  0.0991034   1.60667546  0.40772738]",7.750179541999998,12.618670362979174
[0.60542181 0.13907687],0.07699999999999996,[0.74 1.68],[7.40e-05 1.68e-04],0.5144092219020173,0.7132564841498559,0.9639769452449568,0.5979827089337176,0.7651296829971181,0.9639769452449568,"[-0.70434711 -1.50097109 -0.40401719 -0.78233137  0.53689451  0.68516966
 -1.92205198  1.68714865  1.85676496 -0.33436692 -1.07364278 -0.05936144]","[ 0.45577688  1.7455533   0.58798773 -0.51148725  1.45395308  0.46747024
 -0.67222458  1.67478373  0.43197907  0.14120431  1.646628    0.61843639]","[-2.16480016 -5.40049252 -1.4396809  -1.65725896  2.0577891   1.60653823
 -5.63172611  4.95759268  5.8692572  -0.74353673 -2.45077173 -0.07902874]","[ 0.45405005  1.73926851  0.58493609 -0.50671447  1.45705648  0.46466182
 -0.67757746  1.67569792  0.43755953  0.14648016  1.65617708  0.63338554]",6.955812907999984,11.148278302513063
[0.15269061 0.35582681],0.07199999999999995,[0.74 1.68],[7.40e-05 1.68e-04],0.5144092219020173,0.7132564841498559,0.9639769452449568,0.49855907780979825,0.7204610951008645,0.9870317002881844,"[-0.70434711 -1.50097109 -0.40401719 -0.78233137  0.53689451  0.68516966
 -1.92205198  1.68714865  1.85676496 -0.33436692 -1.07364278 -0.05936144]","[ 0.45577688  1.7455533   0.58798773 -0.51148725  1.45395308  0.46747024
 -0.67222458  1.67478373  0.43197907  0.14120431  1.646628    0.61843639]","[ -1.80524075  -5.07951194  -1.03755008  -1.82650469   1.42364226
   1.93873164  -3.81178929   4.2180553    4.06351817  -6.9730492
 -10.52220759  -4.95798462]","[ 0.45621351  1.73954479  0.58839169 -0.51243571  1.45544458  0.47254622
 -0.66018431  1.67283159  0.42539934  0.10041781  1.56260971  0.40404326]",7.223535113999986,11.078676827251911
[0.15250055 0.35622315],0.07199999999999995,[0.74 1.68],[7.40e-05 1.68e-04],0.5144092219020173,0.7132564841498559,0.9639769452449568,0.5259365994236311,0.7377521613832853,0.9726224783861671,"[-0.70434711 -1.50097109 -0.40401719 -0.78233137  0.53689451  0.68516966
 -1.92205198  1.68714865  1.85676496 -0.33436692 -1.07364278 -0.05936144]","[ 0.45577688  1.7455533   0.58798773 -0.51148725  1.45395308  0.46747024
 -0.67222458  1.67478373  0.43197907  0.14120431  1.646628    0.61843639]","[-1.46923218 -4.2103447  -0.74925884 -1.41771158  1.9556896   1.26918907
 -5.37517275  4.81886429  5.52204153 -4.26004666 -5.83172732 -2.63391233]","[ 0.45834659  1.74319805  0.59117562 -0.50575731  1.4572379   0.46276612
 -0.67712495  1.67652249  0.43661499  0.10982672  1.62076065  0.46360912]",7.011295824999991,10.949600744992495
[0.66289375 0.13279686],0.07699999999999996,[0.74 1.68],[7.40e-05 1.68e-04],0.5144092219020173,0.7132564841498559,0.9639769452449568,0.5951008645533141,0.7564841498559077,0.9639769452449568,"[-0.70434711 -1.50097109 -0.40401719 -0.78233137  0.53689451  0.68516966
 -1.92205198  1.68714865  1.85676496 -0.33436692 -1.07364278 -0.05936144]","[ 0.45577688  1.7455533   0.58798773 -0.51148725  1.45395308  0.46747024
 -0.67222458  1.67478373  0.43197907  0.14120431  1.646628    0.61843639]","[-1.39454225 -4.76194802 -0.68276522 -1.85038753  1.85358792  1.86147342
 -5.76821766  4.84169551  6.06112263 -0.63998088 -2.59185686 -0.02964165]","[ 0.45971794  1.74274396  0.59241089 -0.50800516  1.45552867  0.4665075
 -0.67838048  1.67580482  0.43816452  0.14996548  1.65361474  0.64018211]",8.840896850999997,14.9907650006935
[0.15271893 0.35577657],0.07199999999999995,[0.74 1.68],[7.40e-05 1.68e-04],0.5144092219020173,0.7132564841498559,0.9639769452449568,0.5072046109510087,0.7146974063400576,0.9726224783861671,"[-0.70434711 -1.50097109 -0.40401719 -0.78233137  0.53689451  0.68516966
 -1.92205198  1.68714865  1.85676496 -0.33436692 -1.07364278 -0.05936144]","[ 0.45577688  1.7455533   0.58798773 -0.51148725  1.45395308  0.46747024
 -0.67222458  1.67478373  0.43197907  0.14120431  1.646628    0.61843639]","[ -2.1454057   -5.23080322  -1.36732165  -2.57189583   0.93405976
   2.44872398  -5.88679438   5.3041024    5.94222955  -8.74017227
 -10.99764311  -5.91495113]","[ 0.45398774  1.73956565  0.58526746 -0.52235874  1.4512958   0.47981453
 -0.68028909  1.67811405  0.43861065  0.09509169  1.5788715   0.38731022]",6.352964664000012,10.09379731491208
