hyperparameter,loss_score,0.67std_percent_known,1std_percent_known,1.96std_percent_known,0.67std_percent_fit_rand,1std_percent_fit_rand,1.96std_percent_fit_rand,coeff_known_pull,coeff_known,coeff_GP_pull_rand,coeff_GP_rand,runtime_seconds
[0.75281077 0.06954711],0.10703728369975096,0.4957865168539326,0.6853932584269663,0.9466292134831461,0.5533707865168539,0.7359550561797753,0.9620786516853933,"[-0.1869374  -0.03453889 -0.36969282  2.10207775  1.13010047  2.24406009
 -0.79941513 -0.99582208 -0.30288068  1.06636099  0.17954318 -1.70757122]","[ 0.55573506  1.77870243  0.4258888   0.4264411   1.7006157   0.49729717
  0.12595626  1.7037217   0.46789247 -0.29810142  1.48793206  0.26352155]","[ 2.10213235  1.98057431  1.70286803  1.42241774 -0.84798991  1.43317537
 -0.50406636 -0.13299506 -0.27788011  0.70498135  0.75614993 -1.02419034]","[ 0.57492767  1.79002886  0.43964823  0.41303266  1.67055467  0.47483491
  0.1303316   1.75011537  0.46806156 -0.30021655  1.49320841  0.26850343]",14.152819019000002
[0.73458562 0.06785006],0.10118378835547459,0.48807854137447404,0.6746143057503506,0.94109396914446,0.5862552594670407,0.7559607293127629,0.9663394109396914,"[-0.20306693  0.5597223   0.08941669  1.34678983 -0.20389823  1.34896563
 -1.97312569 -0.27305897 -2.26198949  0.39697939  0.47598245 -0.32603716]","[-0.97378911  1.49613315  0.6507629   0.87609203  1.68886667  0.7174188
  0.30695798  1.57501115  0.47573253 -0.09514497  1.70530965  0.58359156]","[ 0.30739127  1.95401018 -0.58112865  1.7243321   1.17918823  1.65449548
 -2.66973163 -0.99221213 -3.06078482  2.28690801  1.13240479 -2.23852071]","[-0.96595696  1.50385936  0.64415379  0.88638683  1.72214175  0.72306654
  0.29826382  1.56106267  0.46043456 -0.07078661  1.63032213  0.40365153]",15.628009202999998
[0.41622925 0.06548791],0.0981846561166716,0.5144092219020173,0.7132564841498559,0.9639769452449568,0.600864553314121,0.7838616714697406,0.9827089337175793,"[-0.70434711 -1.50097109 -0.40401719 -0.78233137  0.53689451  0.68516966
 -1.92205198  1.68714865  1.85676496 -0.33436692 -1.07364278 -0.05936144]","[ 0.45577688  1.7455533   0.58798773 -0.51148725  1.45395308  0.46747024
 -0.67222458  1.67478373  0.43197907  0.14120431  1.646628    0.61843639]","[-0.84322679 -1.64362969 -0.51107489 -1.5428637   0.46296757  1.69086675
 -2.65389729  1.95041709  2.63610972 -6.89635786 -6.73708525 -6.21866004]","[ 0.45196469  1.74245057  0.5842668  -0.55728083  1.45659157  0.52207611
 -0.70618768  1.68086888  0.45699987  0.08121134  1.5007708   0.29337028]",16.606436656
[0.32897443 0.07445002],0.17133049712730875,0.5258620689655172,0.6896551724137931,0.9468390804597702,0.5589080459770115,0.7370689655172413,0.9683908045977011,"[ 0.74621401  1.0233117  -0.95480225  1.32200216 -1.47143433  1.30788097
  2.06684046 -0.78727964 -2.44821394  1.29452557 -0.31530621 -1.59141714]","[-0.54440633  1.60245707  0.45392868  0.56584501  1.41618475  0.48904786
 -0.36829981  1.60968409  0.34108675 -0.63652722  1.6331928   0.43333959]","[ 0.3736665   0.45184519 -0.36013279  5.41713164 -0.68178539  4.44411896
  3.11689956 -1.0693757  -3.49104038  4.80236554 -1.04875558 -5.0859193 ]","[-0.5474279   1.60037671  0.45855006  0.60562679  1.40000169  0.52160621
 -0.3617612   1.6087223   0.33561201 -0.59282159  1.62790409  0.40308892]",14.91184508400002
[0.70087807 0.06974115],0.11077985056029538,0.5121580547112462,0.6793313069908815,0.939209726443769,0.6185410334346505,0.7887537993920972,0.9802431610942249,"[ 3.12193174  4.26558409 -3.27278867 -0.13858995  1.4062603  -0.45580226
  0.81376099 -2.22939189  0.7515083  -1.0708286  -0.26332646  1.16104735]","[-0.03069093  1.67907064  0.38774088  0.40707767  1.49844618  0.45019703
  0.83187821  1.53673166  0.47333904 -0.91986793  1.47758826  0.57593518]","[ 1.49810686  2.539495   -1.48984623 -1.08995075  2.02588828 -0.69366469
  0.38000069 -1.90757066  0.69071215 -1.2052043  -0.98276578  1.06900765]","[-0.03398964  1.63499486  0.46084851  0.38340271  1.5132455   0.4398187
  0.82183772  1.53793271  0.47442661 -0.95040333  1.45354075  0.58212747]",14.56365784899998
[0.00587929 0.0338308 ],0.07231287949564935,0.4657933042212518,0.6666666666666666,0.9461426491994177,0.586608442503639,0.735080058224163,0.9446870451237264,"[-0.32989257 -0.02005036 -0.24726046 -0.32013387  0.07538212 -0.37112994
 -1.61109556  0.33084397 -1.28517797  0.40611436  0.5108739   0.32371533]","[0.22255281 1.67916023 0.64233478 0.38391109 1.58561355 0.44701825
 0.13957314 1.46298105 0.40292264 0.33863338 1.6894147  0.58972998]","[-1.59628024  0.38754621 -0.3388291  -5.07581236 -0.99935944 -0.46551659
 -3.58218929 -0.90981477 -0.86311452 -0.1959163   0.80526825  0.40882471]","[0.19683504 1.69221767 0.6354148  0.31444701 1.57002193 0.44539272
 0.12446193 1.40000147 0.43717075 0.30489915 1.73551963 0.74939175]",13.81425992299998
[0.09944294 0.05873481],0.1172572935782853,0.4844804318488529,0.6707152496626181,0.9581646423751687,0.5910931174089069,0.766531713900135,0.9878542510121457,"[ 0.27243898  0.09082261 -0.60215279 -0.21545148 -0.22117502 -0.30473708
 -1.48946229 -2.00176476 -1.63648437 -0.16572603  0.18776928  0.19545338]","[-0.7276352   1.73274385  0.46448014  0.06295961  1.74781742  0.51588643
  0.36470501  1.58739364  0.52081333 -0.34140475  1.63181598  0.61236828]","[-0.11458326 -0.56890766  0.04016853  1.1044056  -0.49432927  0.31518913
 -1.31877806 -0.18815071 -1.33344537 -0.16983296  1.26406075  0.08859468]","[-0.73103215  1.73005112  0.46846555  0.08371115  1.66176615  0.74907574
  0.36605888  1.62342579  0.53007167 -0.33803096  1.68425349  0.59483355]",16.13238845500001
[0.05381714 0.05370971],0.10866033561147703,0.47313432835820896,0.6671641791044776,0.9492537313432836,0.5238805970149254,0.7522388059701492,0.9776119402985075,"[ 0.17833468  0.32061498 -0.3649261  -2.70646452  0.16177176  1.41750476
 -0.79817133 -0.01251714 -1.23842454  0.03447148  0.84234854 -0.33111322]","[-0.02698573  1.68365983  0.58677565 -0.25379908  1.79998613  0.74999696
  0.71865259  1.40000013  0.4429653   0.41080451  1.57271588  0.4400009 ]","[-0.35352687  0.58446811  0.00429405 -0.81599101 -0.63425163  0.30307033
  0.07973262 -0.00407255  0.10988739  0.91120846  1.46284739  0.44178578]","[-0.03433483  1.79999956  0.70358339 -0.23715555  1.67721995  0.74999433
  0.73117291  1.40000068  0.45725068  0.43486456  1.59255518  0.46443713]",13.288692169
[0.08160533 0.05738646],0.09016986559137669,0.5138686131386861,0.6744525547445256,0.9474452554744526,0.5635036496350365,0.7664233576642335,0.981021897810219,"[-0.16710007  1.34663208 -0.2501406  -1.81323088  0.42959349 -2.34997092
 -0.61334201 -0.66698277 -0.74781098 -0.6693898  -0.68485617  1.09568781]","[ 0.54497154  1.58077986  0.72653896  0.2106634   1.66180214  0.49440545
  0.6714458   1.72338109  0.63907789 -0.45659081  1.46195363  0.26736207]","[ 3.76040665  0.54909292  0.17926543 -0.57392971  0.84594688 -1.10119664
  0.56760995  0.5845388   0.13560176 -0.73074566 -1.37200462  1.65847302]","[ 0.5617349   1.57123474  0.74999993  0.23254719  1.68715208  0.54837919
  0.7701922   1.77322176  0.74531274 -0.45755648  1.45737564  0.27155702]",15.579255468999975
[0.09059835 0.05699895],0.08598162379580121,0.480225988700565,0.6850282485875706,0.9279661016949152,0.5423728813559322,0.7612994350282486,0.9788135593220338,"[ 0.88886941 -2.69860173 -0.82894533 -0.2397108  -0.17672234  0.17916414
  1.45571271 -0.06086349  1.29264502  0.11805947  0.23990615  0.07948289]","[-0.83006157  1.657341    0.6844297  -0.70023809  1.7691392   0.57756285
  0.67070834  1.40004561  0.6250399   0.15315622  1.70614636  0.42979558]","[-1.17541201  0.06238697  1.30846298 -1.80227156  0.96073529  1.17461262
 -0.68539351  0.84587457 -0.59795478 -0.96474384 -0.34325175 -1.18712024]","[-0.89049252  1.67874855  0.73965086 -0.7327708   1.79999505  0.59743078
  0.59852037  1.4463869   0.55917075  0.13549965  1.68337301  0.36660495]",18.460554950000017
[0.65392904 0.06209826],0.14547488224001215,0.5121255349500713,0.7018544935805991,0.9572039942938659,0.637660485021398,0.818830242510699,0.9800285306704708,"[-0.49483159  0.20004115  0.15164633  0.7930208  -0.77083206  0.58471147
  0.31727789 -0.03005588  0.51146319  1.04401309  2.28792091 -0.96841411]","[-0.2703392   1.79331119  0.74229888  0.04655934  1.40417812  0.42849755
 -0.1051327   1.40652856  0.34833197 -0.18129892  1.573299    0.25557442]","[-0.14820277  0.67792826  0.03019534  0.2536871  -0.93793447  1.15062037
  0.20011034  0.21597584  0.01552621 -0.00542733  1.01573343 -0.57418393]","[-0.25616358  1.78810802  0.68799977  0.06210924  1.43326958  0.64505674
 -0.10687802  1.42523262  0.32183462 -0.19006555  1.56142059  0.25682387]",16.36990095899995
[0.03582273 0.04329968],0.1324908172708606,0.4781997187060478,0.6610407876230661,0.9409282700421941,0.6174402250351617,0.7932489451476793,0.9845288326300985,"[ 0.01589545 -0.55989091  0.04568949 -4.90876625 -1.01361836 -4.5495554
 -6.88594405  0.58639563  6.64763568 -6.29549594 -0.80452495 -6.33711187]","[ 0.27051566  1.76098193  0.74998638  0.2591475   1.58889965  0.58709477
 -0.54141281  1.68502658  0.60167679  0.81789007  1.57461467  0.48694715]","[-0.60198902  0.06254663  0.26219694  1.58328753 -1.70837809  0.25675072
 -0.79178941  0.68215555  1.05880463 -1.38999449 -1.27338654 -0.50717658]","[ 0.2671196   1.77798045  0.74999537  0.30564407  1.49198281  0.749999
 -0.5176734   1.69618209  0.58533229  0.81161595  1.56142242  0.50878474]",13.859935618000009
[0.27696161 0.06274783],0.09543751080574958,0.47536617842876167,0.6737683089214381,0.9374167776298269,0.5459387483355526,0.7509986684420772,0.9813581890812251,"[ 1.49618852 -1.17169923  1.34690613  0.42905372 -0.43975266 -0.13392104
 -1.58640895  1.41656805  0.74614507 -0.64903585  0.91897479 -0.97243293]","[ 0.94166487  1.60352313  0.51509779  0.21265576  1.72517203  0.30160677
 -0.78036767  1.63097321  0.74439917  0.06403732  1.44363045  0.29197594]","[ 1.64052689 -1.14359572  1.47721192  0.40160747 -1.64960325 -0.71115583
 -0.61354851  2.40462026  0.5161817  -0.29135403  1.73205848 -1.80444955]","[ 0.94481711  1.60359271  0.51694981  0.21239388  1.71536756  0.29590291
 -0.74853107  1.65442645  0.71262438  0.06778267  1.46287621  0.27579801]",16.887514204000013
[0.02519039 0.04955418],0.09202319342439086,0.5253521126760563,0.7,0.9450704225352112,0.5873239436619718,0.7549295774647887,0.9591549295774648,"[ 0.06318287 -0.57151192 -0.44345247  0.97320193  0.19020013 -0.67194915
 -0.61578887  0.05216665  0.50629048  0.79389858 -0.08383826  0.75001363]","[-0.40095481  1.49736716  0.27529247 -0.01280233  1.68668046  0.33625809
 -0.15217067  1.79972843  0.67922835  0.5957052   1.71998114  0.61262273]","[ 1.95983837 -1.24383633 -0.4231911   2.73372067 -0.09221334 -1.14106553
  0.50092677  0.0571316   0.48220183  1.32176203  0.59456882  1.5914304 ]","[-0.39658326  1.49634695  0.27533485 -0.0204345   1.62491799  0.25000297
 -0.11832179  1.79999999  0.59936524  0.61699028  1.75301175  0.66576488]",16.876924413999973
