hyperparameter,loss_score,0.67std_percent_known,1std_percent_known,1.96std_percent_known,0.67std_percent_fit_rand,1std_percent_fit_rand,1.96std_percent_fit_rand,coeff_known_pull,coeff_known,coeff_GP_pull_rand,coeff_GP_rand,runtime_seconds
[0.60951237 0.03726159],35.26965018691599,0.5302593659942363,0.6801152737752162,0.968299711815562,0.09798270893371758,0.1585014409221902,0.2737752161383285,"[-10.75158249  -0.853228     0.20217235  -0.29479651  -0.30889885
   1.08962832   7.13885372   1.34276692  -2.80669804   0.68649735
   1.13935369   1.17616651]","[ 0.41241313  1.64535258  0.51722521 -0.23298348  1.41825882  0.74285017
 -0.99999992  1.45752078  0.67998741 -0.18426334  1.75862308  0.31762696]","[-15.33231805  -1.8376124   -0.98181698  -0.39010511   0.03656421
   0.5702457   17.44044116   0.88053567  -3.11630752   0.55866426
   1.23187439   1.51353638]","[ 0.39945711  1.63830396  0.49798465 -0.23036419  1.52134322  0.73015494
 -0.99996754  1.44540299  0.68136787 -0.18893628  1.7545695   0.316566  ]",80.40093851089478
[0.0620315  0.20825243],23.548976541669187,0.4622093023255814,0.6540697674418605,0.9331395348837209,0.5087209302325582,0.6395348837209303,0.875,"[ 1.46222594 -1.30471676  0.8330761  -1.76123557  1.25549307  1.0322424
  0.17447402  0.39112372 -0.15716364  2.83177164 -0.65295737 -0.66438677]","[ 0.20491352  1.44233633  0.57270126 -0.27408097  1.72875926  0.30150871
 -0.03560296  1.8         0.58145982  0.8498111   1.62615731  0.33496285]","[ 3.5088625  -1.96312954  2.11654037 -1.62791217  1.10879723  1.37607827
  0.96685632  0.21063439 -0.83477804  3.52589648 -0.90198587  0.00352806]","[ 0.22025947  1.4         0.61375319 -0.27656572  1.72974854  0.31166919
 -0.02706793  1.67078637  0.32160733  0.87126395  1.62419745  0.34132724]",72.81838345527649
[0.6042183  0.03768411],28.831212617093016,0.5089820359281437,0.7125748502994012,0.9461077844311377,0.5958083832335329,0.8023952095808383,0.9640718562874252,"[ 2.24966707 -0.66630389 -3.33901463  0.00387794  1.41743727 -0.98838776
 -2.57258129  0.37149804  0.09143447 -1.69789362 -0.13407607  0.75817244]","[-0.14268271  1.6028572   0.4808353  -0.47901911  1.47316407  0.59817149
 -0.51490743  1.49140607  0.74999972 -0.4597493   1.40000011  0.59417665]","[ 2.89951681  0.44750654 -4.16585264  0.82988166  2.635292   -2.33633684
  0.61977123  1.96264527 -1.30110802 -1.15534926 -0.33452951  0.40980818]","[-0.14143538  1.62885299  0.48223737 -0.45645245  1.51665348  0.57785587
 -0.45577825  1.56737583  0.66752342 -0.52736161  1.40001276  0.70943072]",65.31451439857483
[0.05142147 0.26379094],18.82022338323411,0.5103857566765578,0.6795252225519288,0.9584569732937686,0.08605341246290801,0.142433234421365,0.258160237388724,"[-8.24458369 -0.81148766 -1.27669625  0.02555877  0.66526747  0.89137727
  0.5417033  -1.69409882  0.35177826  0.45672378 -0.13030623  0.29493962]","[ 0.72033628  1.59709285  0.60828448 -0.22803831  1.65247315  0.54000111
 -0.56090031  1.59734554  0.74999932 -0.31614639  1.40000099  0.67690364]","[-4.87884199 -1.05366439  0.09323368 -0.26014837  0.75853204  0.65372003
  0.28299788 -1.01003207  0.26254225  1.47227426  0.60071975 -0.51317976]","[ 0.74847785  1.59393817  0.63882784 -0.25416462  1.70133214  0.64525681
 -0.52534345  1.62989418  0.71612201 -0.23345573  1.50283537  0.5396189 ]",79.29165530204773
[1.21406853 0.02650908],25.816926201731558,0.5294117647058824,0.6970588235294117,0.9382352941176471,0.5205882352941177,0.6823529411764706,0.961764705882353,"[ 1.38161277 -0.5623775  -1.30053597  0.04918081 -0.18971347  0.02026961
 -2.66017919 -2.52777342 -3.05346694  0.93235838 -0.06933465 -0.98521731]","[-0.06238795  1.5841963   0.49041548 -0.5524656   1.48295737  0.36029637
  0.23655621  1.71514574  0.37047785 -0.34143898  1.40000359  0.55947733]","[ 2.95543615 -1.00679408 -3.36583384 -3.1245425  -1.41637341  3.84439403
  0.07882683  0.01943963 -0.337847   -0.08188522 -0.07516606  0.18396924]","[-0.0571644   1.57508614  0.41900294 -0.63064293  1.46796269  0.43218645
  0.29738841  1.79999965  0.47709596 -0.39286977  1.40000006  0.67461144]",60.8108971118927
[0.19941042 0.08426277],20.187040004131394,0.5578635014836796,0.7210682492581603,0.9643916913946587,0.31750741839762614,0.456973293768546,0.771513353115727,"[ 2.08196549 -0.99340263  0.63170894 -0.85053245 -1.0526402   1.09731486
 -0.79030752  0.37321872 -2.37180791 -1.07064404 -0.10629459  0.10817734]","[-0.60993305  1.40486567  0.53862435 -0.33903473  1.43230831  0.6198629
  0.05515216  1.67039565  0.31177761 -0.30098928  1.44342539  0.74888302]","[ 3.14593759 -0.21217832  3.9679558  -3.17829707 -0.33823     3.81573816
 -0.31521261  0.63795621 -3.12137277 -0.16324069  0.05722163  0.06110279]","[-0.62694247  1.40000108  0.55991863 -0.38598573  1.40498439  0.72298946
  0.0613004   1.67953342  0.31511141 -0.28264515  1.48300768  0.72051452]",66.9573917388916
[0.27092508 0.06146591],22.974219933020226,0.4940119760479042,0.6616766467065869,0.9550898203592815,0.3652694610778443,0.5089820359281437,0.781437125748503,"[ -6.90595636  -1.95648984   2.63077918   1.559789    -0.89629572
  -0.56677543 -14.6153892   -0.5036907    0.4566016    1.47827208
   1.41611057  -1.14729377]","[-0.35962744  1.40000012  0.65728634  0.37738788  1.73305911  0.52282703
 -0.51001032  1.60916745  0.74997871  0.19011575  1.45801158  0.31106572]","[ -7.33394713  -5.68682812   2.11101711   1.35434844  -1.05269638
  -0.04603188 -17.7329319   -1.54108191   2.16890123   1.29609203
   1.46140533  -2.9323471 ]","[-0.34811547  1.4         0.62510081  0.39442105  1.72062763  0.55467067
 -0.50641293  1.54727293  0.74999728  0.18136312  1.45093132  0.27438223]",65.54823541641235
[0.07204315 0.21007496],23.324059051528987,0.4666666666666667,0.6696969696969697,0.9333333333333333,0.46060606060606063,0.6515151515151515,0.9272727272727272,"[ 4.84663042  0.29500173 -1.19488536  1.53297041  0.10627716 -0.57582801
 -1.10613712  0.55967478  0.24504659  6.45404237  2.56591399 -4.76532254]","[-0.11086447  1.56903309  0.28213868 -0.17858869  1.49469297  0.29965125
 -0.44174386  1.5443244   0.74983755 -0.26811238  1.50745143  0.38282528]","[ 5.14648815  1.42657469 -0.84676778  0.66469576 -0.47586921  0.49807961
  0.30666089  1.98709914  0.14248065  3.98024427  1.20410231 -2.62733937]","[-0.11065201  1.57819708  0.28647017 -0.18594726  1.4812826   0.32722692
 -0.38954894  1.62536304  0.68005787 -0.28367795  1.4802819   0.43328717]",59.431113719940186
[0.16640585 0.09303991],19.87573544304334,0.5614035087719298,0.7251461988304093,0.956140350877193,0.5877192982456141,0.7368421052631579,0.97953216374269,"[-1.77398238 -0.10324513  0.6938658   0.61262672  0.73182743  0.07473808
 -0.71075933 -0.22942044 -0.26378507  0.75057918 -1.0501828  -1.14192474]","[-0.19436901  1.67027197  0.33922562  0.02841876  1.8         0.35408382
 -0.29769451  1.72462527  0.3240332  -0.52995391  1.6083207   0.40957249]","[-0.98524123 -1.33821452 -0.33244266  0.9066603   0.60433107  0.60325661
 -1.07564284 -0.52462651 -0.54565367  1.35148401 -1.0654727  -1.3588671 ]","[-0.18870064  1.66252373  0.32695023  0.05159423  1.79999999  0.58227175
 -0.30100687  1.72138854  0.31971298 -0.51403894  1.61089621  0.40573521]",69.32505440711975
[0.08911578 0.15844602],25.567828659939366,0.4797687861271676,0.6820809248554913,0.9450867052023122,0.07514450867052024,0.1416184971098266,0.2543352601156069,"[27.8684683  -1.53778315  0.440651   -4.60008016  0.9736878  -0.9437256
 -3.20011083  1.65744647 -0.26322911 -8.18816145 -0.61722408  0.54830629]","[-0.25582487  1.65702111  0.28147305  0.14915565  1.74310661  0.36464275
  0.22036972  1.63516233  0.42611175  0.50388505  1.42331819  0.31007176]","[ 3.25077620e+01 -1.51041430e+00 -1.14677606e-02 -3.93819991e+00
  2.26746476e+00 -1.30178247e-01 -1.88580995e+00  1.26836564e+00
  3.54509294e-01 -8.35603448e+00 -9.90492108e-01  1.05379183e+00]","[-0.25358716  1.65797267  0.27920005  0.1653743   1.79999932  0.40332583
  0.23694117  1.62724207  0.47076139  0.50867637  1.41957143  0.31405018]",81.80746078491211
