hyperparameter,loss_score,0.67std_percent_known,1std_percent_known,1.96std_percent_known,0.67std_percent_fit_rand,1std_percent_fit_rand,1.96std_percent_fit_rand,coeff_known_pull,coeff_known,coeff_GP_pull_rand,coeff_GP_rand,runtime_seconds
[0.11764984 0.45913123],0.17415483817791322,0.391304347826087,0.4782608695652174,0.9130434782608695,0.21739130434782608,0.43478260869565216,0.782608695652174,"[ 3.18470848  1.12818235  0.20217005 -1.59457187 -2.00179196 -3.27226633
  1.53301036 -0.94406735 -2.68808872 -0.58230525 -0.20199648  0.57980935]","[ 0.64999602  1.75446474  0.7499981   0.42471842  1.57860478  0.28202477
 -0.59864317  1.60800473  0.45755381 -0.80383554  1.40000065  0.71378751]","[-1.08650024  0.13299138 -1.43049393 -0.29277978 -1.68810721 -1.38794343
 -1.90746557 -0.03384857  0.02843314  0.78062117  0.51302174  0.0669823 ]","[ 0.48107277  1.66856928  0.53344493  0.47526791  1.58777665  0.30765954
 -0.90295743  1.66701235  0.74989739 -0.47292175  1.53279327  0.47081086]",8.363823048
[0.20500049 0.46752491],0.1600647951055183,0.4166666666666667,0.75,0.9583333333333334,0.625,0.75,0.875,"[ 2.31451526 -0.26485385 -0.81893046  0.37868773 -0.11974521 -0.04668032
  1.0658103   0.33366214  0.20445825  0.74284686 -0.29634683  0.56697037]","[-0.06509457  1.68739343  0.25884013 -0.19349647  1.68610574  0.40357313
  0.44285196  1.65287896  0.26937768  0.71885232  1.42341708  0.42600171]","[ 0.76325611 -0.69781465 -1.30286153  1.99713549 -4.70165645 -2.52785801
  0.79761244  1.27477996  0.31667704  0.23588096  0.0653995   0.93934898]","[-0.08478089  1.63550278  0.35704669 -0.18365358  1.54013688  0.25000003
  0.43153491  1.69599379  0.2759276   0.97919077  1.50757919  0.72896001]",8.555438518000003
[0.30140983 0.5315409 ],0.16702214763031556,0.5454545454545454,0.7272727272727273,1.0,0.4090909090909091,0.6818181818181818,1.0,"[ 0.28418419  1.37109378  0.33177554 -2.45662845  0.13513145 -1.14009464
 -1.90580127  0.64136358 -0.42456411 -7.51187664 -0.58055204 -1.19578678]","[0.55745104 1.68007467 0.48671865 0.02487231 1.8        0.25000007
 0.08988895 1.70842716 0.25428997 0.109533   1.45304499 0.25      ]","[-1.58665346e-03  1.20803141e+00  1.71470429e-01 -2.48610952e-02
 -1.56609370e+00 -5.05210861e-01 -4.69919721e+00  5.99085188e-01
 -5.21720883e-01 -3.38357486e+00 -4.28965876e-01 -1.23232393e+00]","[0.5298808  1.66909623 0.46924382 0.06763042 1.40000097 0.54324642
 0.0863582  1.79999999 0.25000011 0.11578777 1.4211744  0.25000023]",8.591725477000011
[0.23954631 0.39846101],0.14707829408583462,0.5172413793103449,0.7241379310344828,0.9655172413793104,0.5172413793103449,0.7931034482758621,1.0,"[ 0.56083195  0.03584659  0.38187366 -0.21580327  0.64137573 -0.0706829
  2.07843279 -1.55047168 -0.35952202 -3.82802584 -1.0829591  -4.14622903]","[ 0.04520309  1.50452338  0.41162058 -0.9654497   1.67195894  0.69232305
 -0.11028556  1.47690985  0.25000145  0.08319343  1.51526732  0.25000441]","[-0.28422514  0.7940016  -0.03928132 -0.05906855 -0.63496529  0.05002281
  0.92789306 -2.08169901 -1.70068514 -3.86373397 -0.82448463 -3.21870404]","[ 0.02781597  1.5815994   0.25000006 -0.99598745  1.5748185   0.71678772
 -0.12199711  1.44363623  0.25        0.07324738  1.53888634  0.25      ]",8.649043347999992
[0.44644445 0.45739009],0.16242029793453838,0.6,0.72,0.92,0.64,0.84,1.0,"[-0.78650805 -0.20005117  0.14235372  0.93179489  0.16810799  0.57941317
 -1.398652   -0.17370865 -1.61734038  3.36552047 -0.07167152  0.16154582]","[-0.03394246  1.40107074  0.74999999  0.27609042  1.79851165  0.4770741
  0.30344801  1.65774291  0.42112774  0.87430737  1.68799604  0.74999735]","[-0.1856615   1.20831997 -0.39998469  0.62946035  0.11631812 -0.09247513
 -0.84595774  0.30597091 -1.00756391 -0.1770875  -0.27748684 -0.48896345]","[-0.03157827  1.79961458  0.57568285  0.19088195  1.79999748  0.35495224
  0.39818644  1.79999999  0.54688979  0.54774132  1.67648763  0.49574464]",8.580997628000006
[0.69456258 0.51212172],0.16101036912118688,0.56,0.8,0.96,0.76,0.84,0.96,"[ 0.22191041 -0.3775446  -1.37661098  0.11976958 -0.39105993 -0.00783195
  1.28352667 -0.84484574 -1.68292307  0.81454883  0.61128586  0.05231668]","[-0.18289183  1.70095183  0.31392345  0.51479894  1.73244658  0.58990949
 -0.31148773  1.68740895  0.31008209 -0.02340259  1.79999776  0.73918413]","[ 0.3506904   0.11668518 -1.19067779 -0.17744205 -1.164942   -0.87096634
  0.62245015 -0.63196601 -1.07158921  1.49823028 -0.5136505  -1.26472617]","[-0.17899821  1.71860888  0.30626189  0.47172873  1.6701451   0.4593929
 -0.32604141  1.69585194  0.31857735  0.04120587  1.40600327  0.26315754]",8.609752294999993
[0.38933318 0.5471425 ],0.16306209530945504,0.5652173913043478,0.6521739130434783,0.9565217391304348,0.391304347826087,0.6521739130434783,1.0,"[-15.50991063  -3.02705194 -10.17325176   0.02765072   0.49764803
  -0.05189308   0.30491209  -0.20558798  -1.85911763  -3.32828478
  -0.21316431  -0.74005818]","[ 0.1167994   1.64472381  0.25       -0.42637504  1.53309324  0.25042279
 -0.11816177  1.40002386  0.31723556  0.04895587  1.74385416  0.25000159]","[-16.43321729  -3.20581812  -0.98323731  -0.62944942  -0.13383658
   0.83673222   1.83198148  -0.06761967  -0.53516804   0.13661627
  -1.16463248   0.4031427 ]","[ 0.12016313  1.62648386  0.25000035 -0.53168822  1.49321973  0.35458424
 -0.08415605  1.46139184  0.25000004  0.18486035  1.4000053   0.7420159 ]",8.655170895999987
[0.53919426 0.57958228],0.19411769221079733,0.5,0.6923076923076923,1.0,0.46153846153846156,0.6923076923076923,1.0,"[ 1.27629921 -0.77320259  0.02691113  0.32434549  0.15078196 -0.65825966
 -0.86954779  0.37079249 -2.01126304  0.01193407 -0.05658595 -0.25018484]","[ 0.32892131  1.68858146  0.74999988 -0.17268911  1.43568924  0.33588422
  0.29028379  1.8         0.4411186  -0.12887952  1.4         0.37520171]","[ 0.18164154 -0.15942455  0.0136787   0.4876348   0.14875839 -0.66870813
 -3.41342246  2.67682573 -5.67281112  0.85636246 -0.07257978 -0.35168263]","[ 0.31557297  1.75825673  0.74686578 -0.1539123   1.45411781  0.33329793
  0.2189301   1.8         0.31252587 -0.08706012  1.40000008  0.32983978]",8.640791811000014
[0.49852773 0.40375871],0.16952188431985182,0.5238095238095238,0.6666666666666666,0.8571428571428571,0.38095238095238093,0.5714285714285714,1.0,"[-0.27168979  0.96065536  1.18035747 -0.23624243 -0.57205202 -0.37254668
  1.60159466 -2.62893648 -1.81077393  1.23208656  0.80824685  0.85624448]","[-0.5013326   1.67467143  0.31864889  0.09025797  1.68148746  0.25
  0.20542174  1.62319404  0.25        0.32122705  1.60112541  0.74999933]","[ 1.3529743  -0.3878803  -0.0460494   0.63394964 -0.07957882 -0.42115371
  2.10665478 -1.02608856 -1.46204665  0.27610671  0.77582436 -0.27672394]","[-0.40874956  1.63336834  0.28755727  0.1607035   1.73330025  0.25
  0.31739741  1.67317157  0.25000001  0.33860592  1.69320775  0.44913108]",8.413892445999977
[0.44904544 1.04293705],0.22817646195365016,0.4782608695652174,0.7391304347826086,1.0,0.4782608695652174,0.782608695652174,1.0,"[ 0.38793181 -0.52172816 -0.49253125  3.27187047  1.01439674 -3.50918074
 -1.39296776 -0.30991442  1.02203618 -0.21885428  1.52866185 -0.60424993]","[-0.0069678   1.40000001  0.25000823 -0.28028163  1.49270931  0.31599805
 -0.92144974  1.40000003  0.66060635  0.39897046  1.67604743  0.43796005]","[ 0.09957634 -0.12931267  0.32254501  4.08768945 -0.30079354 -3.50780538
 -5.31732813 -0.4262114   3.47569837  2.07330155 -0.14422978  1.44209546]","[-0.00634397  1.56803719  0.6388539  -0.44242913  1.40000513  0.49996919
 -0.92169088  1.41661028  0.68895349  0.56194677  1.40087649  0.74838395]",8.431027323000023
